date,open,close,high,low,volume
2025-01-02 05:00:00,5903.259765625,5868.5498046875,5935.08984375,5829.5297851562,3621680000
2025-01-03 05:00:00,5891.0698242188,5942.4702148438,5949.33984375,5888.66015625,3667340000
2025-01-06 05:00:00,5982.8100585938,5975.3798828125,6021.0400390625,5960.009765625,4940120000
2025-01-07 05:00:00,5993.259765625,5909.0297851562,6000.6801757812,5890.6801757812,4517330000
2025-01-08 05:00:00,5910.66015625,5918.25,5927.8901367188,5874.7797851562,4441740000
2025-01-10 05:00:00,5890.3500976562,5827.0400390625,5890.3500976562,5807.7797851562,4751930000
2025-01-13 05:00:00,5782.0200195312,5836.2202148438,5838.6098632812,5773.3100585938,4421200000
2025-01-14 05:00:00,5859.2700195312,5842.91015625,5871.919921875,5805.419921875,4142280000
2025-01-15 05:00:00,5905.2099609375,5949.91015625,5960.6098632812,5905.2099609375,4544570000
2025-01-16 05:00:00,5963.6098632812,5937.33984375,5964.6899414062,5930.7202148438,4285810000
2025-01-17 05:00:00,5995.3999023438,5996.66015625,6014.9599609375,5978.4399414062,4366830000
2025-01-21 05:00:00,6014.1201171875,6049.240234375,6051.509765625,6006.8798828125,4702920000
2025-01-22 05:00:00,6081.3901367188,6086.3701171875,6100.8100585938,6076.1298828125,4323040000
2025-01-23 05:00:00,6076.3198242188,6118.7099609375,6118.7299804688,6074.669921875,4432250000
2025-01-24 05:00:00,6121.4301757812,6101.240234375,6128.1801757812,6088.740234375,4214250000
2025-01-27 05:00:00,5969.0400390625,6012.2797851562,6017.169921875,5962.919921875,5198750000
2025-01-28 05:00:00,6026.9702148438,6067.7001953125,6074.5400390625,5994.6298828125,4473640000
2025-01-29 05:00:00,6057.7001953125,6039.3100585938,6062.830078125,6012.9599609375,4115310000
2025-01-30 05:00:00,6050.75,6071.169921875,6086.6401367188,6027.4599609375,4634620000
2025-01-31 05:00:00,6096.7900390625,6040.5297851562,6120.91015625,6030.9301757812,4843770000
2025-02-03 05:00:00,5969.6499023438,5994.5698242188,6022.1298828125,5923.9301757812,4797210000
2025-02-04 05:00:00,5998.1401367188,6037.8798828125,6042.4799804688,5990.8701171875,4410160000
2025-02-05 05:00:00,6020.4501953125,6061.4799804688,6062.8598632812,6007.0600585938,4756250000
2025-02-06 05:00:00,6072.2202148438,6083.5698242188,6084.0297851562,6046.830078125,4847120000
2025-02-07 05:00:00,6083.1298828125,6025.990234375,6101.2797851562,6019.9599609375,4766900000
2025-02-10 05:00:00,6046.3999023438,6066.4399414062,6073.3798828125,6044.83984375,4458760000
2025-02-11 05:00:00,6049.3198242188,6068.5,6076.2797851562,6042.33984375,4324880000
2025-02-12 05:00:00,6025.080078125,6051.9702148438,6063.0,6003.0,4627960000
2025-02-13 05:00:00,6060.58984375,6115.0698242188,6116.91015625,6050.9501953125,4763800000
