datetime,open,close,high,low,volume
2026-01-02 14:30:00,6878.1098632812,6850.08984375,6894.8701171875,6842.3100585938,0
2026-01-02 15:30:00,6850.2900390625,6844.3198242188,6871.259765625,6830.7797851562,348515267
2026-01-02 16:30:00,6844.3500976562,6850.3701171875,6851.7900390625,6828.990234375,235171932
2026-01-02 17:30:00,6850.4501953125,6835.8598632812,6853.9399414062,6832.3598632812,198587000
2026-01-02 18:30:00,6835.9301757812,6855.0498046875,6855.6401367188,6824.3100585938,215318000
2026-01-02 19:30:00,6855.08984375,6858.6899414062,6865.2001953125,6855.0698242188,242181000
2026-01-02 20:30:00,6858.6201171875,6858.5400390625,6860.1499023438,6846.6401367188,366637000
2026-01-05 14:30:00,6892.1899414062,6912.8798828125,6913.3701171875,6891.5600585938,0
2026-01-05 15:30:00,6912.83984375,6912.830078125,6915.1801757812,6906.330078125,429597243
2026-01-05 16:30:00,6913.25,6909.91015625,6920.3798828125,6908.58984375,357080000
2026-01-05 17:30:00,6909.9799804688,6910.0297851562,6914.169921875,6903.2202148438,290295000
2026-01-05 18:30:00,6910.1098632812,6908.3598632812,6914.2202148438,6907.2299804688,269003000
2026-01-05 19:30:00,6908.3198242188,6905.5698242188,6909.3901367188,6899.4399414062,318720000
2026-01-05 20:30:00,6905.5498046875,6902.740234375,6907.490234375,6897.740234375,443689000
2026-01-06 14:30:00,6908.0297851562,6932.5200195312,6934.6000976562,6904.0200195312,0
2026-01-06 15:30:00,6932.5600585938,6916.3901367188,6932.5600585938,6909.919921875,397549982
2026-01-06 16:30:00,6916.08984375,6929.8500976562,6932.16015625,6914.259765625,307009000
2026-01-06 17:30:00,6929.8901367188,6934.5600585938,6937.669921875,6929.8901367188,278722000
2026-01-06 18:30:00,6935.41015625,6945.7001953125,6947.0,6934.669921875,266783000
2026-01-06 19:30:00,6945.7700195312,6945.41015625,6947.490234375,6943.8798828125,325965000
2026-01-06 20:30:00,6945.3901367188,6946.3500976562,6948.6899414062,6945.0498046875,289339000
2026-01-07 14:30:00,6945.0698242188,6943.1499023438,6957.3999023438,6937.2202148438,0
2026-01-07 15:30:00,6943.1499023438,6948.240234375,6954.33984375,6936.580078125,403973792
2026-01-07 16:30:00,6948.240234375,6962.9702148438,6965.6899414062,6947.8198242188,288188000
2026-01-07 17:30:00,6962.9599609375,6947.4799804688,6963.6401367188,6946.9301757812,286768000
2026-01-07 18:30:00,6947.58984375,6942.3999023438,6957.509765625,6940.3798828125,299182000
2026-01-07 19:30:00,6942.5297851562,6928.9301757812,6947.2299804688,6927.1098632812,323312000
2026-01-07 20:30:00,6928.8901367188,6921.5297851562,6928.8901367188,6919.1899414062,461884000
2026-01-08 14:30:00,6914.1098632812,6921.83984375,6925.240234375,6899.330078125,0
2026-01-08 15:30:00,6921.8798828125,6916.4702148438,6925.0200195312,6910.8198242188,394520670
2026-01-08 16:30:00,6916.330078125,6918.7299804688,6925.9501953125,6910.080078125,303705000
2026-01-08 17:30:00,6918.8598632812,6920.9599609375,6931.2797851562,6913.8999023438,286586000
2026-01-08 18:30:00,6921.0400390625,6915.0600585938,6923.3701171875,6908.4599609375,268263000
2026-01-08 19:30:00,6915.1499023438,6921.0600585938,6921.83984375,6911.5200195312,322524000
2026-01-08 20:30:00,6921.1401367188,6921.1000976562,6925.8598632812,6918.0498046875,450404000
