date,dte,method,p95_lo,p95_hi,p97_lo,p97_hi,p98_lo,p98_hi,p99_lo,p99_hi,actual_close,actual_return_pct,p95_hit,p97_hit,p98_hit,p99_hit,p95_width_pct,p97_width_pct,p98_width_pct,p99_width_pct,midpoint,midpoint_error_pct,vix,position_vs_sma20,return_5d,vol_regime
2025-09-12,1,baseline,23386.297012649597,24686.95182019168,23211.448046666475,24732.477777927732,23127.594997053664,24757.993147914112,22860.16810218295,24988.179513813815,24293.78116970626,0.8367352275943348,True,True,True,True,5.398656698783647,6.313371772515426,6.767329692542146,8.832784068356508,23971.962912297102,1.3357781642587143,14.76,2.1279733093824085,1.3883040750009863,medium
2025-09-12,1,conditional,23376.606336118322,24388.29398916754,23376.606336118322,24412.268691417932,23376.606336118322,24437.41988815592,23376.606336118322,24463.315899620004,24293.78116970626,0.8367352275943348,True,True,True,True,4.199234334536648,4.298746661831243,4.4031422908364215,4.510629438811175,23894.437513768127,1.657564551905445,14.76,2.1279733093824085,1.3883040750009863,medium
2025-09-12,1,ensemble,23043.4799774151,25110.536455479934,22927.339804838073,25219.129849932186,22794.000578502375,25283.28316673101,22600.631490165822,25554.082183265506,24293.78116970626,0.8367352275943348,True,True,True,True,8.57977707640756,9.512583667402225,10.332320337555199,12.258953164492041,24073.23482738513,0.9154265847171543,14.76,2.1279733093824085,1.3883040750009863,medium
2025-09-12,1,ensemble_combined,23043.4799774151,25110.536455479934,22927.339804838073,25219.129849932186,22794.000578502375,25283.28316673101,22600.631490165822,25554.082183265506,24293.78116970626,0.8367352275943348,True,True,True,True,8.57977707640756,9.512583667402225,10.332320337555199,12.258953164492041,24073.23482738513,0.9154265847171543,14.76,2.1279733093824085,1.3883040750009863,medium
2025-09-12,2,baseline,23256.75291846481,25074.377945375632,23114.85737662742,25299.820364574,23032.029967039525,25393.98402837208,22743.08773275268,25760.278087855088,24274.249179605704,0.755663363956499,True,True,True,True,7.544456431105323,9.069174236754952,9.803815002636403,12.523518790401267,24207.33887060071,0.2777261006016821,14.76,2.1279733093824085,1.3883040750009863,medium
2025-09-12,2,conditional,23460.54352453764,24466.647874913742,23311.239823061373,24508.538227703048,23241.830061197168,24530.60397678516,23125.297896970493,24554.835152072625,24274.249179605704,0.755663363956499,True,True,True,True,4.176059596548699,4.969652989540511,5.34934241757426,5.9336119265973695,23909.88902538221,1.5123577570022262,14.76,2.1279733093824085,1.3883040750009863,medium
2025-09-12,2,ensemble,23137.418479037377,25098.532246393494,22993.78607168192,25224.554993530233,22976.388995554207,25286.39423316177,22943.4591371989,25436.55867266991,24274.249179605704,0.755663363956499,True,True,True,True,8.14003832209829,9.259301940484397,9.588189870148826,10.348163424959687,24109.170532606076,0.6851955940060938,14.76,2.1279733093824085,1.3883040750009863,medium
2025-09-12,2,ensemble_combined,23137.418479037377,25098.532246393494,22993.78607168192,25224.554993530233,22976.388995554207,25286.39423316177,22943.4591371989,25436.55867266991,24274.249179605704,0.755663363956499,True,True,True,True,8.14003832209829,9.259301940484397,9.588189870148826,10.348163424959687,24109.170532606076,0.6851955940060938,14.76,2.1279733093824085,1.3883040750009863,medium
2025-09-12,3,baseline,23017.98193915406,25431.532880177005,22760.55831665997,25606.26011019907,22457.52161347576,25809.132985925135,21728.179830830428,26260.784953267008,24223.68741785472,0.5457955403061207,True,True,True,True,10.01797931322951,11.811717422136551,13.911607509287444,18.813584407861097,24183.40921342952,0.1671836346386141,14.76,2.1279733093824085,1.3883040750009863,medium
2025-09-12,3,conditional,23292.22736867648,24556.762418411985,23198.36736854293,24570.102951484143,23023.1798133022,24586.034171077492,23017.006256029006,24608.70268974787,24223.68741785472,0.5457955403061207,True,True,True,True,5.248733620569361,5.69369324655793,6.4869741755471955,6.606689618566118,23884.235160013537,1.4089720001686414,14.76,2.1279733093824085,1.3883040750009863,medium
2025-09-12,3,ensemble,23041.455722701692,25180.7061084779,22878.18945728161,25247.123930090962,22835.221086777234,25378.231614884597,22788.240622929432,25517.336799162418,24223.68741785472,0.5457955403061207,True,True,True,True,8.879433927108717,9.832788751059857,10.555330086841625,11.32771990539722,24062.656693686287,0.668393791112601,14.76,2.1279733093824085,1.3883040750009863,medium
2025-09-12,3,ensemble_combined,23041.455722701692,25180.7061084779,22878.18945728161,25247.123930090962,22835.221086777234,25378.231614884597,22788.240622929432,25517.336799162418,24223.68741785472,0.5457955403061207,True,True,True,True,8.879433927108717,9.832788751059857,10.555330086841625,11.32771990539722,24062.656693686287,0.668393791112601,14.76,2.1279733093824085,1.3883040750009863,medium
2025-09-12,4,baseline,22907.761615787243,25573.943266774157,22774.324686225056,25644.35022011093,22177.299746526845,25770.032371347457,21639.278176401986,26177.693519319946,24454.894467521026,1.505471758968486,True,True,True,True,11.066579192887675,11.912678509583532,14.912434828561372,18.837701018618482,24209.337453167995,1.0192389347143604,14.76,2.1279733093824085,1.3883040750009863,medium
2025-09-12,4,conditional,23215.110689607805,24614.941435738107,23209.045776904073,24633.648234050135,23072.659309125902,24696.247577444752,22910.58390201271,24912.45247225255,24454.894467521026,1.505471758968486,True,True,True,True,5.81030846227441,5.913128951492679,6.739063762344568,8.309200184507889,23921.347005477102,2.2146072604196663,14.76,2.1279733093824085,1.3883040750009863,medium
