method,dte_bucket,n_samples,p95_hit_rate,p97_hit_rate,p98_hit_rate,p99_hit_rate,p95_avg_width,p97_avg_width,p98_avg_width,p99_avg_width,avg_midpoint_error,median_midpoint_error
baseline,3DTE,30,100.0,100.0,100.0,100.0,9.650305123295123,11.811717422136557,13.911607509287453,18.813584407861107,1.309921858080017,1.2232737280154704
baseline,5DTE,30,100.0,100.0,100.0,100.0,11.779306051111137,13.900271853131184,15.891431111339106,18.507167428939535,1.4811549828793074,1.2466496774311806
baseline,7DTE,30,100.0,100.0,100.0,100.0,14.1787969233577,15.59412287842582,18.10809822494721,20.070307438562182,1.3414630819787767,1.1185320149529834
baseline,10DTE,30,100.0,100.0,100.0,100.0,16.219918806312176,17.61565652362874,19.718452461763114,23.135078979723364,1.0698479286084455,1.020644148945117
baseline,1-3DTE,90,100.0,100.0,100.0,100.0,7.4977614881850965,9.05216005619116,10.143005526648226,13.389962422206297,1.0987898461007648,0.9910195361852079
baseline,4-7DTE,120,100.0,100.0,100.0,100.0,12.632962752587472,13.993596419012393,16.318667351944146,19.092806598172803,1.4416010233197056,1.1794172762425694
baseline,8-14DTE,210,100.0,100.0,100.0,100.0,17.559275406618767,19.149438424144137,21.249679139791876,23.741493417780536,1.1533590997828242,0.9334876647189911
baseline,15-20DTE,180,100.0,100.0,100.0,100.0,23.888627277530688,26.48304075921017,27.88439337921998,29.390775892747556,2.5164778223460136,2.3887421977169208
conditional,1DTE,30,100.0,100.0,100.0,100.0,3.471641303558916,3.8119479638422638,4.440224961967192,5.213799356280787,0.7522343166792911,0.6805841345821676
conditional,2DTE,30,96.66666666666667,96.66666666666667,96.66666666666667,96.66666666666667,4.40590365656143,5.130307128587204,5.547911043757019,6.117879785236111,1.0973635575278764,1.1446680005630037
conditional,3DTE,30,96.66666666666667,96.66666666666667,96.66666666666667,96.66666666666667,5.519623653395195,6.119613394514946,6.659464056353529,7.918346156104485,1.315302411569815,1.3045735235572824
conditional,5DTE,30,90.0,93.33333333333333,96.66666666666667,100.0,6.833364606837119,7.761573632139399,8.582099958665326,9.877945975912253,1.677831072719685,1.3350946597749929
conditional,7DTE,30,100.0,100.0,100.0,100.0,8.501495659911262,9.986334916412506,11.264147315605493,13.742388959722184,2.1299924393285683,1.9178148379580648
conditional,10DTE,30,100.0,100.0,100.0,100.0,10.014869839748481,11.829093497719738,12.97340717234471,14.912062591213312,2.2432006419657613,2.291881218102514
conditional,1-3DTE,90,97.77777777777777,97.77777777777777,97.77777777777777,97.77777777777777,4.465722871171847,5.020622828981472,5.549200020692579,6.416675099207127,1.054966761925661,0.9205072396122082
conditional,4-7DTE,120,93.33333333333333,95.83333333333334,97.5,100.0,7.348399680460654,8.48514799711081,9.321816514216437,10.889316707520232,1.8367404874035276,1.5292831509406821
conditional,8-14DTE,210,100.0,100.0,100.0,100.0,10.565193806681481,12.447821344575104,13.73182811379681,15.67716316255974,2.3594150568194983,2.321778640268898
conditional,15-20DTE,180,100.0,100.0,100.0,100.0,14.296353025811529,15.650329626663508,16.29745356443725,17.02632211904344,2.703628228734963,2.695518319386682
ensemble,1DTE,30,100.0,100.0,100.0,100.0,9.273733373916286,10.250812738706417,10.997827155534434,12.137327467260128,0.8271275353258648,0.6837489584609944
ensemble,2DTE,30,100.0,100.0,100.0,100.0,10.174356073396844,11.194962179150028,12.017876821524052,13.275997422412798,1.205583029964958,0.9710674306954028
ensemble,3DTE,30,100.0,100.0,100.0,100.0,11.154273455105393,12.344040519310663,13.210486212920538,14.612413713311074,1.7715209188744192,1.6163292514181986
ensemble,5DTE,30,100.0,100.0,100.0,100.0,12.682663469696259,13.978203100984217,14.948104461566817,16.610197826307243,1.9277848837011946,1.4350325852727301
ensemble,7DTE,30,100.0,100.0,100.0,100.0,15.290264381186486,16.955800538269663,18.146117273995984,20.013624758713274,1.717907364918241,1.5109276658403301
ensemble,10DTE,30,100.0,100.0,100.0,100.0,15.07078234262944,16.557590228465504,17.63855140136511,19.695256143601615,1.5388159527900318,1.1323911356455123
ensemble,1-3DTE,90,100.0,100.0,100.0,100.0,10.200787634139507,11.263271812389036,12.075396729993013,13.341912867661334,1.2680771613884139,1.0961552005875828
ensemble,4-7DTE,120,99.16666666666667,99.16666666666667,100.0,100.0,13.484332788958598,14.882115782374063,15.935199529660762,17.51196235405792,1.853883051458738,1.5109276658403301
ensemble,8-14DTE,210,100.0,100.0,100.0,100.0,15.612120723881786,17.22145384651227,18.370029250510665,20.358188897321277,1.7793278263108738,1.5302487502860402
ensemble,15-20DTE,180,100.0,100.0,100.0,100.0,14.770722599415326,16.297973221592752,17.455175208888395,19.257794493223344,2.4188373645447387,2.30427462892883
ensemble_combined,1DTE,30,100.0,100.0,100.0,100.0,9.273733373916286,10.250812738706417,10.997827155534434,12.137327467260128,0.8271275353258648,0.6837489584609944
ensemble_combined,2DTE,30,100.0,100.0,100.0,100.0,10.174356073396844,11.194962179150028,12.017876821524052,13.275997422412798,1.205583029964958,0.9710674306954028
ensemble_combined,3DTE,30,100.0,100.0,100.0,100.0,11.154273455105393,12.344040519310663,13.210486212920538,14.612413713311074,1.7715209188744192,1.6163292514181986
ensemble_combined,5DTE,30,100.0,100.0,100.0,100.0,12.682663469696259,13.978203100984217,14.948104461566817,16.610197826307243,1.9277848837011946,1.4350325852727301
ensemble_combined,7DTE,30,100.0,100.0,100.0,100.0,15.290264381186486,16.955800538269663,18.146117273995984,20.013624758713274,1.7155753659106283,1.5109276658403301
ensemble_combined,10DTE,30,100.0,100.0,100.0,100.0,15.07078234262944,16.557590228465504,17.63855140136511,19.703408899695344,1.4388253275308729,0.994449009169388
ensemble_combined,1-3DTE,90,100.0,100.0,100.0,100.0,10.200787634139507,11.263271812389036,12.075396729993013,13.341912867661334,1.2680771613884139,1.0961552005875828
ensemble_combined,4-7DTE,120,99.16666666666667,99.16666666666667,100.0,100.0,13.484332788958598,14.882115782374063,15.935199529660762,17.51196235405792,1.8524199423314072,1.5109276658403301
ensemble_combined,8-14DTE,210,100.0,100.0,100.0,100.0,15.612120723881786,17.22145384651227,18.38264085027371,20.364378450833925,1.6074147104685377,1.306814746336448
ensemble_combined,15-20DTE,180,100.0,100.0,100.0,100.0,15.263256322905164,16.475352521812077,17.512138277894145,19.262386797845274,1.745339970837687,1.3410137040469468
