dte,band,band_description,max_width_cap,time_pst,time_et,time_bucket_id,time_bucket,spread_type,flow_mode,spread_width,n_trades,win_rate_pct,avg_credit,avg_max_risk,n_contracts,avg_credit_30k,roi_pct,avg_pnl,avg_pnl_30k,total_pnl_30k,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days,pass_win_rate,pass_roi,pass_min_trades,pass_sharpe,pass_avg_pnl,successful,score_balanced,score_risk_adjusted,capital_efficiency,score_capital_efficient
5,P100,0.0/100.0 pct (min/max of 100d moves),86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,75,54,90.7,25372.35,10882.48,2,50744.7,233.15,1113.03,2226.06,120207.2,272.0,-8858.0,5686.5,2414.68,0.461,3.4,True,True,True,True,True,True,119.905,79.47500000000001,0.10227723827656932,12.53272382765693
3,P98,1.0/99.0 pct of 100d moves,69,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,25,63,93.7,20060.6,8617.21,3,60181.8,232.8,653.83,1961.49,123573.9,200.0,-8718.0,11555.0,2453.41,0.266,2.9,True,True,True,True,True,True,119.35,78.95,0.07587490614711724,8.917490614711724
3,P98,1.0/99.0 pct of 100d moves,69,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,25,63,93.7,20060.6,8617.21,3,60181.8,232.8,653.83,1961.49,123573.9,200.0,-8718.0,11555.0,2453.41,0.266,2.9,True,True,True,True,True,True,119.35,78.95,0.07587490614711724,8.917490614711724
3,P98,1.0/99.0 pct of 100d moves,69,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,15,71,93.0,18422.99,7930.87,3,55268.97,232.29,731.82,2195.46,155877.7,213.0,-8750.0,11555.0,2495.13,0.293,2.9,True,True,True,True,True,True,119.11699999999999,78.795,0.09227487022230853,10.692487022230853
3,P98,1.0/99.0 pct of 100d moves,69,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,20,71,93.0,18428.21,7930.87,3,55284.63,232.36,722.43,2167.29,153877.6,213.0,-8750.0,11555.0,2504.53,0.288,2.9,True,True,True,True,True,True,119.088,78.72,0.09109088914583141,10.549088914583141
3,P100,0.0/100.0 pct (min/max of 100d moves),86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,25,61,90.2,20714.26,8782.0,3,62142.78,235.87,460.54,1381.62,84278.8,106.5,-4860.0,5502.0,1472.65,0.313,2.7,True,True,True,True,True,True,118.99099999999999,76.85500000000002,0.052441357321794585,6.809135732179458
5,P100,0.0/100.0 pct (min/max of 100d moves),86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,80,55,90.9,24938.71,10885.29,2,49877.42,229.1,1115.61,2231.22,122717.1,249.0,-8915.0,5686.5,2356.38,0.473,3.4,True,True,True,True,True,True,118.91,79.81500000000001,0.10248785287300566,12.613785287300566
5,P100,0.0/100.0 pct (min/max of 100d moves),86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,80,55,90.9,24938.71,10885.29,2,49877.42,229.1,1115.61,2231.22,122717.1,249.0,-8915.0,5686.5,2356.38,0.473,3.4,True,True,True,True,True,True,118.91,79.81500000000001,0.10248785287300566,12.613785287300566
5,P100,0.0/100.0 pct (min/max of 100d moves),86,07:15,10:15,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,15,55,98.2,17046.62,7652.65,3,51139.86,222.75,1012.77,3038.31,167107.0,159.5,-40.0,26895.0,3647.27,0.278,3.7,True,True,True,True,True,True,118.70500000000001,82.73,0.13234239119782037,14.624239119782038
5,P100,0.0/100.0 pct (min/max of 100d moves),86,07:15,10:15,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,15,55,98.2,17046.62,7652.65,3,51139.86,222.75,1012.77,3038.31,167107.0,159.5,-40.0,26895.0,3647.27,0.278,3.7,True,True,True,True,True,True,118.70500000000001,82.73,0.13234239119782037,14.624239119782038
