dte,band,band_description,max_width_cap,time_pst,time_et,time_bucket_id,time_bucket,spread_type,flow_mode,spread_width,n_trades,win_rate_pct,avg_credit,avg_max_risk,n_contracts,avg_credit_30k,roi_pct,avg_pnl,avg_pnl_30k,total_pnl_30k,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days,pass_win_rate,pass_roi,pass_min_trades,pass_sharpe,pass_avg_pnl,successful,score_balanced,score_risk_adjusted,capital_efficiency,score_capital_efficient
1,P99,0.5/99.5 pct of 100d moves,60,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,20,16,100.0,414.56,5616.69,5,2072.8,7.38,207.28,1036.4,16582.4,150.75,2.0,570.0,211.71,0.979,1.0,True,True,True,True,True,True,62.004,94.685,0.03690429772695306,8.585429772695306
1,P100,0.0/100.0 pct (min/max of 100d moves),60,08:00,11:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,25,16,100.0,869.88,4473.88,6,5219.28,19.44,434.94,2609.64,41754.2,357.0,4.0,1561.0,445.86,0.975,1.0,True,True,True,True,True,True,65.582,94.625,0.0972176276520604,14.59676276520604
10,P95,2.5/97.5 pct of 100d moves,52,07:00,10:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,5,11,100.0,1201.73,6480.09,4,4806.92,18.54,600.86,2403.44,26437.8,525.0,5.0,1987.0,617.4,0.973,8.1,True,True,True,True,True,True,65.292,94.595,0.09272402080835297,14.137402080835297
10,P95,2.5/97.5 pct of 100d moves,52,07:00,10:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,20,11,100.0,1201.73,6480.09,4,4806.92,18.54,600.86,2403.44,26437.8,525.0,5.0,1987.0,617.4,0.973,8.1,True,True,True,True,True,True,65.292,94.595,0.09272402080835297,14.137402080835297
10,P95,2.5/97.5 pct of 100d moves,52,07:00,10:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,10,11,100.0,1201.73,6480.09,4,4806.92,18.54,600.86,2403.44,26437.8,525.0,5.0,1987.0,617.4,0.973,8.1,True,True,True,True,True,True,65.292,94.595,0.09272402080835297,14.137402080835297
10,P95,2.5/97.5 pct of 100d moves,52,07:00,10:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,15,11,100.0,1201.73,6480.09,4,4806.92,18.54,600.86,2403.44,26437.8,525.0,5.0,1987.0,617.4,0.973,8.1,True,True,True,True,True,True,65.292,94.595,0.09272402080835297,14.137402080835297
3,P99,0.5/99.5 pct of 100d moves,86,07:00,10:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,55,20,100.0,1244.4,12830.6,2,2488.8,9.7,622.2,1244.4,24888.0,401.25,1.0,2045.0,640.19,0.972,3.0,True,True,True,True,True,True,62.629999999999995,94.58,0.048493445357192966,9.709344535719296
3,P99,0.5/99.5 pct of 100d moves,86,07:00,10:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,60,20,100.0,1244.4,12830.6,2,2488.8,9.7,622.2,1244.4,24888.0,401.25,1.0,2045.0,640.19,0.972,3.0,True,True,True,True,True,True,62.629999999999995,94.58,0.048493445357192966,9.709344535719296
5,P97,1.5/98.5 pct of 100d moves,52,11:00,14:00,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),put_spread,with_flow,10,12,100.0,745.42,7962.92,3,2236.26,9.36,372.71,1118.13,13417.6,331.25,11.5,1422.0,384.21,0.97,4.0,True,True,True,True,True,True,62.507999999999996,94.55,0.04680569439351393,9.530569439351392
3,P97,1.5/98.5 pct of 100d moves,52,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,10,20,100.0,327.6,3297.4,9,2948.4,9.94,164.5,1480.5,29610.0,75.0,0.5,446.5,170.03,0.968,3.0,True,True,True,True,True,True,62.662,94.52,0.049887790380299626,9.828779038029962
