dte,band,spread_type,flow_mode,spread_width,entry_time_pst,entry_time_et,time_bucket,expected_win_pct,expected_roi_pct,sharpe,expected_credit,max_risk_per_contract,avg_pnl,n_trades,trade_score
3,P97,iron_condor,with_flow,15,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.4,314.56,0.358,21267.87,6761.08,1072.09,61,140.502107284635
3,P98,iron_condor,against_flow,40,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.7,303.98,0.493,22106.19,7272.25,783.24,57,139.50918048059404
3,P98,iron_condor,with_flow,40,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.7,303.98,0.493,22106.19,7272.25,783.24,57,139.50918048059404
3,P98,iron_condor,against_flow,35,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.8,302.67,0.499,21759.95,7189.36,787.18,58,139.32138879121368
3,P98,iron_condor,with_flow,35,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.8,302.67,0.499,21759.95,7189.36,787.18,58,139.32138879121368
3,P98,iron_condor,against_flow,45,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.6,296.35,0.495,22524.23,7600.55,773.46,56,137.43888851793622
3,P98,iron_condor,with_flow,45,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.6,296.35,0.495,22524.23,7600.55,773.46,56,137.43888851793622
3,P97,iron_condor,against_flow,25,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.4,302.11,0.351,21291.08,7047.43,1060.97,61,137.21341396296236
3,P97,iron_condor,with_flow,25,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.4,302.11,0.351,21291.08,7047.43,1060.97,61,137.21341396296236
3,P97,iron_condor,neutral,10,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.9,299.31,0.387,20367.55,6804.76,1192.01,66,137.2026190872272
3,P97,iron_condor,neutral,5,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.9,299.05,0.385,20357.36,6807.36,1186.92,66,137.12049652141212
3,P98,iron_condor,against_flow,50,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.6,293.98,0.494,22544.5,7668.68,783.59,56,136.81501076586844
3,P98,iron_condor,with_flow,50,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.6,293.98,0.494,22544.5,7668.68,783.59,56,136.81501076586844
5,P100,iron_condor,neutral,10,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.2,302.4,0.564,25445.88,8414.55,923.05,51,136.60883536255653
5,P100,iron_condor,neutral,5,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.2,302.27,0.563,25434.47,8414.55,917.34,51,136.56833536255652
3,P97,iron_condor,against_flow,30,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),96.6,290.43,0.378,22433.62,7724.16,1202.53,58,136.18077831634767
3,P97,iron_condor,with_flow,30,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),96.6,290.43,0.378,22433.62,7724.16,1202.53,58,136.18077831634767
5,P100,iron_condor,neutral,15,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.0,299.19,0.577,25976.16,8682.14,952.49,50,135.71707953223515
3,P98,iron_condor,neutral,40,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),95.1,287.64,0.493,20722.98,7204.41,765.07,61,135.69007743035166
5,P100,iron_condor,neutral,20,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.0,299.03,0.573,25961.84,8682.14,945.33,50,135.64507953223514
3,P98,iron_condor,neutral,35,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),95.2,286.5,0.5,20421.39,7127.97,769.05,62,135.55084794829384
3,P98,iron_condor,neutral,45,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),95.1,277.23,0.491,20745.9,7483.41,744.02,61,132.96807841010983
3,P97,iron_condor,with_flow,35,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.7,283.65,0.328,22827.12,8047.68,1107.45,57,132.8416882778639
3,P97,iron_condor,against_flow,35,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.7,283.65,0.328,22827.12,8047.68,1107.45,57,132.8416882778639
3,P97,iron_condor,against_flow,40,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.8,282.64,0.35,22661.79,8017.93,1202.47,58,132.8344094049212
3,P97,iron_condor,with_flow,40,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.8,282.64,0.35,22661.79,8017.93,1202.47,58,132.8344094049212
3,P97,iron_condor,neutral,20,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),92.6,282.53,0.34,19529.94,6912.44,1008.39,68,131.8058343363559
3,P97,iron_condor,neutral,15,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),92.6,282.47,0.34,19525.59,6912.44,1006.21,68,131.7908343363559
3,P98,iron_condor,neutral,50,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),95.2,271.7,0.485,20430.89,7519.73,741.81,62,131.58466996155445
5,P100,iron_condor,against_flow,30,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.0,284.57,0.528,26459.18,9297.94,1078.28,50,131.51751409559537
5,P100,iron_condor,with_flow,30,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.0,284.57,0.528,26459.18,9297.94,1078.28,50,131.51751409559537
5,P100,iron_condor,neutral,25,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.7,283.1,0.454,24127.8,8522.85,813.31,54,131.17363287515326
3,P97,iron_condor,with_flow,45,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),95.0,275.36,0.346,21921.78,7961.13,1170.14,60,131.12020618178576
3,P97,iron_condor,against_flow,45,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),95.0,275.36,0.346,21921.78,7961.13,1170.14,60,131.12020618178576
3,P97,iron_condor,against_flow,50,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),95.0,275.06,0.346,21920.97,7969.53,1169.7,60,131.04255828009934
3,P97,iron_condor,with_flow,50,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),95.0,275.06,0.346,21920.97,7969.53,1169.7,60,131.04255828009934
5,P100,iron_condor,with_flow,35,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.2,281.48,0.53,26213.65,9312.71,1079.56,51,130.8776025775526
5,P100,iron_condor,against_flow,35,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.2,281.48,0.53,26213.65,9312.71,1079.56,51,130.8776025775526
