dte,band,band_description,max_width_cap,time_pst,time_et,time_bucket_id,time_bucket,spread_type,flow_mode,spread_width,n_trades,win_rate_pct,avg_credit,avg_max_risk,n_contracts,avg_credit_30k,roi_pct,avg_pnl,avg_pnl_30k,total_pnl_30k,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days,pass_win_rate,pass_roi,pass_min_trades,pass_sharpe,pass_avg_pnl,successful,score_balanced,score_risk_adjusted,capital_efficiency,score_capital_efficient,profile
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,5,48,91.7,25347.9,6553.4,4,101391.6,386.79,630.54,2522.16,121063.7,98.5,-1416.0,7906.0,1524.86,0.414,2.6,True,True,True,True,True,True,166.02700000000002,79.57,0.09621570482497635,11.691570482497635,aggressive
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,10,49,91.8,24884.82,6442.16,4,99539.28,386.28,644.79,2579.16,126378.8,111.5,-1416.0,7906.0,1508.55,0.427,2.7,True,True,True,True,True,True,166.05399999999997,79.845,0.10008910055012604,12.143910055012604,aggressive
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,10,49,91.8,24884.82,6442.16,4,99539.28,386.28,644.79,2579.16,126378.8,111.5,-1416.0,7906.0,1508.55,0.427,2.7,True,True,True,True,True,True,166.05399999999997,79.845,0.10008910055012604,12.143910055012604,aggressive
5,P95,2.5/97.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,neutral,25,38,94.7,30432.16,7975.74,3,91296.48,381.56,60.38,181.14,6883.3,37.75,-8750.0,2950.0,1633.45,0.037,3.8,True,True,True,True,True,True,162.18800000000002,76.31500000000001,0.0075704574121022005,0.9420457412102201,aggressive
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,15,56,89.3,22054.59,5916.36,5,110272.95,372.77,554.33,2771.65,155212.4,216.0,-2987.0,5502.0,1297.76,0.427,2.7,True,True,True,True,True,True,160.75099999999998,77.845,0.09369443373966427,11.504443373966426,aggressive
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,15,56,89.3,22054.59,5916.36,5,110272.95,372.77,554.33,2771.65,155212.4,216.0,-2987.0,5502.0,1297.76,0.427,2.7,True,True,True,True,True,True,160.75099999999998,77.845,0.09369443373966427,11.504443373966426,aggressive
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,20,55,89.1,22327.51,6000.25,4,89310.04,372.11,500.37,2001.48,110081.4,192.5,-2987.0,5502.0,1244.71,0.402,2.7,True,True,True,True,True,True,160.20299999999997,77.31,0.08339152535311029,10.349152535311028,aggressive
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,20,55,89.1,22327.51,6000.25,4,89310.04,372.11,500.37,2001.48,110081.4,192.5,-2987.0,5502.0,1244.71,0.402,2.7,True,True,True,True,True,True,160.20299999999997,77.31,0.08339152535311029,10.349152535311028,aggressive
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,15,53,90.6,22877.87,6167.74,4,91511.48,370.93,378.36,1513.44,80212.3,99.5,-4348.0,5512.0,1201.7,0.315,2.7,True,True,True,True,True,True,159.72899999999998,77.205,0.0613449983300204,7.70949983300204,aggressive
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,15,53,90.6,22877.87,6167.74,4,91511.48,370.93,378.36,1513.44,80212.3,99.5,-4348.0,5512.0,1201.7,0.315,2.7,True,True,True,True,True,True,159.72899999999998,77.205,0.0613449983300204,7.70949983300204,aggressive
