dte,band,band_description,max_width_cap,time_pst,time_et,time_bucket_id,time_bucket,spread_type,flow_mode,spread_width,n_trades,win_rate_pct,avg_credit,avg_max_risk,n_contracts,avg_credit_30k,roi_pct,avg_pnl,avg_pnl_30k,total_pnl_30k,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days,pass_win_rate,pass_roi,pass_min_trades,pass_sharpe,pass_avg_pnl,successful,score_balanced,score_risk_adjusted,capital_efficiency,score_capital_efficient,rank_metric,rank
1,P97,1.5/98.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,neutral,35,57,96.5,1980.67,4148.39,7,13864.69,47.75,1210.47,8473.29,482977.5,101.5,-3992.0,24672.0,4228.47,0.286,1.0,True,True,True,True,True,True,65.435,81.49000000000001,0.29179271958518843,30.609271958518843,total_pnl,65
1,P95,2.5/97.5 pct of 100d moves,36,07:15,10:15,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,15,39,94.9,2673.74,2837.21,10,26737.4,94.24,1238.15,12381.5,482878.5,70.0,-2313.0,12065.0,2758.19,0.449,1.0,True,True,True,True,True,True,80.212,82.655,0.43639702383679746,45.884702383679745,total_pnl,66
1,P95,2.5/97.5 pct of 100d moves,36,07:15,10:15,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,15,39,94.9,2673.74,2837.21,10,26737.4,94.24,1238.15,12381.5,482878.5,70.0,-2313.0,12065.0,2758.19,0.449,1.0,True,True,True,True,True,True,80.212,82.655,0.43639702383679746,45.884702383679745,total_pnl,67
1,P95,2.5/97.5 pct of 100d moves,36,10:30,13:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,neutral,10,53,92.5,2177.68,3199.62,9,19599.12,68.06,1005.55,9049.95,479647.4,101.0,-997.0,12912.5,2617.36,0.384,1.0,True,True,True,True,True,True,70.508,79.76,0.3142716947637532,33.34716947637532,total_pnl,68
1,P95,2.5/97.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,with_flow,15,36,100.0,1894.14,2032.19,14,26517.96,93.21,949.08,13287.12,478336.3,277.5,1.0,8946.0,1827.38,0.519,1.0,True,True,True,True,True,True,83.15299999999999,87.785,0.467023260620316,49.2973260620316,total_pnl,69
1,P95,2.5/97.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,against_flow,15,36,100.0,1894.14,2032.19,14,26517.96,93.21,949.08,13287.12,478336.3,277.5,1.0,8946.0,1827.38,0.519,1.0,True,True,True,True,True,True,83.15299999999999,87.785,0.467023260620316,49.2973260620316,total_pnl,70
1,P95,2.5/97.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,neutral,20,42,100.0,1746.52,2181.71,13,22704.76,80.05,874.99,11374.87,477744.5,236.75,0.5,8946.0,1720.9,0.508,1.0,True,True,True,True,True,True,79.095,87.62,0.4010569690747166,42.64569690747166,total_pnl,71
1,P98,1.0/99.0 pct of 100d moves,48,11:30,14:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,against_flow,15,50,100.0,2394.9,3402.32,8,19159.2,70.39,1194.03,9552.24,477612.0,258.0,0.5,14460.0,2490.52,0.479,1.0,True,True,True,True,True,True,75.907,87.185,0.3509458252016271,37.48958252016271,total_pnl,72
1,P98,1.0/99.0 pct of 100d moves,48,11:30,14:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,with_flow,15,50,100.0,2394.9,3402.32,8,19159.2,70.39,1194.03,9552.24,477612.0,258.0,0.5,14460.0,2490.52,0.479,1.0,True,True,True,True,True,True,75.907,87.185,0.3509458252016271,37.48958252016271,total_pnl,73
1,P95,2.5/97.5 pct of 100d moves,36,10:30,13:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,with_flow,10,51,92.2,2252.41,3139.69,9,20271.69,71.74,1039.65,9356.85,477199.4,101.0,-997.0,12912.5,2663.22,0.39,1.0,True,True,True,True,True,True,71.52199999999999,79.61,0.3311314174329313,35.06314174329313,total_pnl,74
1,P95,2.5/97.5 pct of 100d moves,36,10:30,13:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,against_flow,10,51,92.2,2252.41,3139.69,9,20271.69,71.74,1039.65,9356.85,477199.4,101.0,-997.0,12912.5,2663.22,0.39,1.0,True,True,True,True,True,True,71.52199999999999,79.61,0.3311314174329313,35.06314174329313,total_pnl,75
1,P98,1.0/99.0 pct of 100d moves,48,11:30,14:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,against_flow,20,50,100.0,2375.06,3462.16,8,19000.48,68.6,1182.29,9458.32,472916.0,232.25,0.5,14460.0,2494.43,0.474,1.0,True,True,True,True,True,True,75.32,87.11,0.3414891281743189,36.51891281743189,total_pnl,76
1,P98,1.0/99.0 pct of 100d moves,48,11:30,14:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,with_flow,20,50,100.0,2375.06,3462.16,8,19000.48,68.6,1182.29,9458.32,472916.0,232.25,0.5,14460.0,2494.43,0.474,1.0,True,True,True,True,True,True,75.32,87.11,0.3414891281743189,36.51891281743189,total_pnl,77
1,P95,2.5/97.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,with_flow,20,35,100.0,1916.8,2099.0,14,26835.2,91.32,960.47,13446.58,470630.3,270.0,1.0,8946.0,1852.82,0.518,1.0,True,True,True,True,True,True,82.576,87.77,0.45758456407813247,48.348456407813245,total_pnl,78
1,P95,2.5/97.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,against_flow,20,35,100.0,1916.8,2099.0,14,26835.2,91.32,960.47,13446.58,470630.3,270.0,1.0,8946.0,1852.82,0.518,1.0,True,True,True,True,True,True,82.576,87.77,0.45758456407813247,48.348456407813245,total_pnl,79
1,P97,1.5/98.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,with_flow,35,49,95.9,2223.35,4201.31,7,15563.45,52.92,1367.76,9574.32,469141.7,165.0,-3992.0,24672.0,4545.85,0.301,1.0,True,True,True,True,True,True,66.836,81.23500000000001,0.3255556005150774,34.06056005150774,total_pnl,80
1,P97,1.5/98.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,against_flow,35,49,95.9,2223.35,4201.31,7,15563.45,52.92,1367.76,9574.32,469141.7,165.0,-3992.0,24672.0,4545.85,0.301,1.0,True,True,True,True,True,True,66.836,81.23500000000001,0.3255556005150774,34.06056005150774,total_pnl,81
1,P95,2.5/97.5 pct of 100d moves,36,07:15,10:15,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,5,40,97.5,2035.82,2681.5,11,22394.02,75.92,1045.9,11504.9,460196.0,94.25,-935.0,7605.0,2119.49,0.493,1.0,True,True,True,True,True,True,76.456,85.395,0.3900428864441544,41.46928864441544,total_pnl,82
1,P95,2.5/97.5 pct of 100d moves,36,10:00,13:00,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,with_flow,5,43,100.0,2331.23,3350.98,8,18649.84,69.57,1332.22,10657.76,458283.7,61.5,2.0,16729.0,3435.75,0.388,1.0,True,True,True,True,True,True,74.751,85.82,0.39756131042262266,41.696131042262266,total_pnl,83
1,P95,2.5/97.5 pct of 100d moves,36,10:00,13:00,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,against_flow,5,43,100.0,2331.23,3350.98,8,18649.84,69.57,1332.22,10657.76,458283.7,61.5,2.0,16729.0,3435.75,0.388,1.0,True,True,True,True,True,True,74.751,85.82,0.39756131042262266,41.696131042262266,total_pnl,84
1,P97,1.5/98.5 pct of 100d moves,36,08:30,11:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,25,58,96.6,2477.05,4478.6,6,14862.3,55.31,1316.09,7896.54,457999.3,282.0,-2977.0,24354.0,3602.35,0.365,1.0,True,True,True,True,True,True,68.54299999999999,82.755,0.2938619211360693,31.211192113606927,total_pnl,85
1,P95,2.5/97.5 pct of 100d moves,36,08:00,11:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,10,50,98.0,1600.62,2791.72,10,16006.2,57.33,904.26,9042.6,452130.0,170.0,-975.0,13276.0,2270.4,0.398,1.0,True,True,True,True,True,True,70.179,84.37,0.32390784176063503,34.38078417606351,total_pnl,86
1,P95,2.5/97.5 pct of 100d moves,36,08:00,11:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,10,50,98.0,1600.62,2791.72,10,16006.2,57.33,904.26,9042.6,452130.0,170.0,-975.0,13276.0,2270.4,0.398,1.0,True,True,True,True,True,True,70.179,84.37,0.32390784176063503,34.38078417606351,total_pnl,87
1,P98,1.0/99.0 pct of 100d moves,48,12:00,15:00,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,neutral,10,55,98.2,2158.29,3640.75,8,17266.32,59.28,1026.64,8213.12,451721.6,123.5,-2776.0,16111.0,2940.26,0.349,1.0,True,True,True,True,True,True,70.374,83.795,0.2819858545629335,29.943585456293352,total_pnl,88
1,P95,2.5/97.5 pct of 100d moves,36,08:00,11:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,5,50,98.0,1594.42,2791.72,10,15944.2,57.11,901.16,9011.6,450580.0,139.75,-975.0,13276.0,2271.52,0.397,1.0,True,True,True,True,True,True,70.103,84.355,0.3227974152135601,34.26474152135601,total_pnl,89
1,P95,2.5/97.5 pct of 100d moves,36,08:00,11:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,5,50,98.0,1594.42,2791.72,10,15944.2,57.11,901.16,9011.6,450580.0,139.75,-975.0,13276.0,2271.52,0.397,1.0,True,True,True,True,True,True,70.103,84.355,0.3227974152135601,34.26474152135601,total_pnl,90
1,P98,1.0/99.0 pct of 100d moves,48,11:30,14:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,neutral,5,54,100.0,1861.13,3329.98,9,16750.17,55.89,926.12,8335.08,450094.3,184.0,0.5,14025.0,2101.62,0.441,1.0,True,True,True,True,True,True,71.17699999999999,86.615,0.27811578447918606,30.016578447918604,total_pnl,91
1,P95,2.5/97.5 pct of 100d moves,36,08:00,11:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,30,68,94.1,2106.6,4277.59,7,14746.2,49.25,942.4,6596.8,448582.4,248.25,-4982.0,13446.0,2439.91,0.386,1.0,True,True,True,True,True,True,65.685,81.07000000000001,0.22031096949450507,23.961096949450507,total_pnl,92
1,P99,0.5/99.5 pct of 100d moves,60,11:00,14:00,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,with_flow,10,57,100.0,2622.32,4969.37,6,15733.92,52.77,1311.28,7867.68,448457.8,210.0,0.5,18203.5,3152.04,0.416,1.0,True,True,True,True,True,True,69.991,86.24,0.26387248282981546,28.467248282981544,total_pnl,93
1,P99,0.5/99.5 pct of 100d moves,60,11:00,14:00,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,against_flow,10,57,100.0,2622.32,4969.37,6,15733.92,52.77,1311.28,7867.68,448457.8,210.0,0.5,18203.5,3152.04,0.416,1.0,True,True,True,True,True,True,69.991,86.24,0.26387248282981546,28.467248282981544,total_pnl,94
1,P95,2.5/97.5 pct of 100d moves,36,08:45,11:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,5,46,95.7,1990.93,2969.98,10,19909.3,67.04,968.73,9687.3,445615.8,156.5,-955.0,12133.5,2237.99,0.433,1.0,True,True,True,True,True,True,72.292,83.055,0.326173913629048,34.782391362904804,total_pnl,95
1,P95,2.5/97.5 pct of 100d moves,36,08:45,11:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,5,46,95.7,1990.93,2969.98,10,19909.3,67.04,968.73,9687.3,445615.8,156.5,-955.0,12133.5,2237.99,0.433,1.0,True,True,True,True,True,True,72.292,83.055,0.326173913629048,34.782391362904804,total_pnl,96
1,P95,2.5/97.5 pct of 100d moves,36,07:15,10:15,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,5,35,97.1,2250.74,2536.2,11,24758.14,88.74,1157.36,12730.96,445583.6,70.0,-935.0,7605.0,2245.92,0.515,1.0,True,True,True,True,True,True,80.322,85.405,0.4563362510842993,48.208625108429935,total_pnl,97
1,P95,2.5/97.5 pct of 100d moves,36,07:15,10:15,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,5,35,97.1,2250.74,2536.2,11,24758.14,88.74,1157.36,12730.96,445583.6,70.0,-935.0,7605.0,2245.92,0.515,1.0,True,True,True,True,True,True,80.322,85.405,0.4563362510842993,48.208625108429935,total_pnl,98
1,P98,1.0/99.0 pct of 100d moves,48,11:30,14:30,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,neutral,10,54,100.0,1842.31,3329.98,9,16580.79,55.32,916.71,8250.39,445521.1,144.5,0.5,14025.0,2104.42,0.436,1.0,True,True,True,True,True,True,70.956,86.54,0.2752899416813314,29.70899416813314,total_pnl,99
1,P99,0.5/99.5 pct of 100d moves,60,11:00,14:00,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,against_flow,5,57,100.0,2605.04,4959.26,6,15630.24,52.53,1302.64,7815.84,445502.9,177.5,0.5,18203.5,3154.74,0.413,1.0,True,True,True,True,True,True,69.889,86.195,0.2626682206619536,28.33182206619536,total_pnl,100
