dte,time_pst,spread_type,roi_pct,win_rate_pct,sharpe,avg_pnl,avg_max_risk,n_trades,n_configs,composite_score
10,07:30,iron_condor,307.6056756756757,87.3,0.31667567567567567,986.1848648648647,9615.11027027027,1747,37,139.09845945945946
5,11:30,call_spread,295.41,85.7,0.015,37.32,12780.71,28,2,131.62300000000002
5,07:45,iron_condor,258.00545454545454,91.16193181818181,0.12507954545454544,316.1269318181818,9819.947670454545,10896,176,124.23339772727272
5,07:45,call_spread,247.20904761904762,93.91904761904762,0.1911904761904762,157.5947619047619,7537.478571428571,514,21,123.03414285714285
10,07:15,iron_condor,239.87,85.5,0.207,1046.67,12646.67,55,1,116.78099999999999
3,11:30,iron_condor,236.06428571428572,88.25535714285715,0.1112857142857143,451.63714285714286,9420.389821428571,2981,56,116.05982142857142
3,11:30,call_spread,226.456,87.3,0.1272,266.118,10903.333999999999,300,10,112.8588
10,07:45,iron_condor,209.88333333333333,92.3,0.03866666666666666,113.85000000000001,10495.346666666666,336,6,109.50166666666667
3,07:30,iron_condor,188.79601990049753,91.72338308457712,0.3465223880597015,585.2187064676617,8136.7156218905475,11703,201,105.96572139303484
3,07:45,iron_condor,187.94099999999997,92.64111111111112,0.21575555555555553,577.2440555555556,8931.183722222222,11427,180,104.8604111111111
3,07:45,call_spread,177.38100000000003,94.82799999999999,0.22182,262.16560000000004,8508.1844,1397,50,102.8465
5,07:30,iron_condor,177.25040229885056,89.10689655172413,0.35954022988505746,658.495459770115,9293.122126436781,9624,174,101.3239712643678
3,09:00,iron_condor,182.52801418439716,87.59716312056739,0.12314893617021277,332.67879432624113,9965.280283687944,7983,141,99.78847517730497
5,09:00,iron_condor,155.51444444444445,85.83333333333333,0.15814814814814818,581.1685185185185,10852.065925925925,1588,27,91.15248148148149
10,08:45,iron_condor,138.13,86.4,0.124,188.235,8621.02,176,4,85.879
1,09:00,iron_condor,100.5722695035461,95.05744680851065,0.3414609929078014,926.8845390070923,6235.698794326241,7773,141,81.11501418439715
5,10:00,iron_condor,111.33837837837838,89.1117117117117,0.21033333333333334,472.78414414414414,9569.75009009009,5460,111,80.0607027027027
5,12:00,iron_condor,109.24233333333333,85.64333333333335,0.1983,568.758,8932.957333333334,1668,30,77.57736666666668
5,08:00,iron_condor,101.86409937888197,87.8695652173913,0.1589751552795031,444.56111801242236,9862.55701863354,9416,161,76.08376397515528
10,06:30,call_spread,82.86794871794872,93.34871794871795,0.4340512820512821,213.79923076923077,10742.365897435899,709,39,75.87525641025641
1,11:30,iron_condor,71.96014184397163,96.27801418439716,0.4246595744680851,944.1265957446809,6153.322482269504,7245,141,73.97364539007091
1,08:00,iron_condor,77.22985815602837,94.81063829787233,0.3158156028368794,844.8937588652483,5935.553333333333,8423,141,73.73243262411347
3,08:00,iron_condor,90.26151724137931,87.43931034482759,0.16947586206896553,386.3926206896552,8876.954206896553,8436,145,72.49286896551725
5,08:45,iron_condor,79.91929824561403,87.29298245614035,0.23210526315789473,582.0610526315791,8679.60350877193,3157,57,69.94333333333333
5,07:15,iron_condor,62.50064676616915,95.62985074626864,0.2633134328358209,1011.7687064676618,9222.007960199006,11099,201,69.19825373134327
1,12:00,iron_condor,54.64645390070922,96.10709219858157,0.4159503546099291,960.0916312056738,5863.688156028369,8172,141,68.60698581560284
3,07:15,iron_condor,53.058606965174135,93.66517412935323,0.2900199004975124,1130.9435820895524,8446.832039800995,11098,201,65.65036815920398
1,10:00,iron_condor,37.90382978723404,97.98368794326241,0.5012056737588653,888.4433333333333,6456.673687943262,7584,141,65.37504964539008
1,06:30,iron_condor,42.95489361702128,96.74609929078015,0.38097872340425537,639.6958865248226,4137.918156028369,6307,141,65.06930496453901
1,07:00,iron_condor,37.29255319148936,97.12624113475177,0.46539716312056734,840.9637588652482,4837.216382978723,7567,141,64.40485815602837
3,10:00,iron_condor,48.734029850746275,92.6089552238806,0.3438208955223881,899.6090547263682,9674.465373134328,11074,201,64.36289552238806
5,08:00,call_spread,51.0158,93.154,0.24526,359.64419999999996,7755.523,1508,50,64.33434
3,12:00,iron_condor,60.022571428571425,86.58380952380952,0.2559047619047619,652.8176190476191,9100.661047619047,5880,105,63.857723809523804
3,11:00,iron_condor,54.870961538461536,89.16442307692309,0.26182692307692307,698.9354807692307,7725.8629807692305,5473,104,63.66176923076923
1,06:30,put_spread,29.82990909090909,98.48545454545454,0.5313,325.07154545454546,3279.124363636364,2185,110,63.5047
1,08:45,iron_condor,40.45524822695035,94.40354609929078,0.38799290780141843,950.2957446808512,6144.65390070922,7637,141,63.21827659574468
3,12:00,put_spread,44.746521739130436,93.8944099378882,0.22788819875776395,318.7885714285714,6699.7397515527955,4504,161,62.65004347826087
1,07:15,iron_condor,33.95858156028369,96.04609929078015,0.4407659574468085,818.2780141843972,6138.287375886525,8028,141,62.61828368794326
5,12:30,iron_condor,51.518269230769235,87.70897435897436,0.3269166666666667,870.5905128205128,8460.691794871795,8908,156,62.57913461538462
1,08:30,iron_condor,33.85581560283688,95.6063829787234,0.43366666666666664,817.2256028368794,6641.039716312057,7804,141,62.29660283687943
1,11:30,put_spread,24.4875,98.90661764705882,0.5451985294117647,421.1835294117647,5232.866249999999,3309,136,62.25154411764706
1,12:30,iron_condor,30.647092198581557,97.3936170212766,0.4204964539007092,752.9106382978723,5398.986028368795,8069,141,62.095900709219855
1,08:15,iron_condor,30.559929078014182,96.08014184397163,0.47200709219858156,948.457659574468,7379.38829787234,7922,141,61.928120567375885
