date,dte,model,p95_lo,p95_hi,p97_lo,p97_hi,p98_lo,p98_hi,p99_lo,p99_hi,actual_close,current_price,actual_return_pct,p95_hit,p97_hit,p98_hit,p99_hit,p95_width,p97_width,p98_width,p99_width,midpoint_error,vix,vol_regime
2025-10-31,1,baseline,25075.94538703695,26471.22059148774,24912.823003485166,26545.342629221843,24822.823612705823,26572.72824924267,24535.79460508462,26819.787035921785,25972.94309113969,25858.12596754833,0.44402724209578087,True,True,True,True,5.39588679474238,6.313371772515423,6.767329692542143,8.83278406835651,0.9430701787601553,17.44,medium
2025-10-31,1,conditional,25329.14481691461,26126.20547953453,25185.997674287937,26177.15896439,25091.9375630519,26227.901041368747,24956.50655485223,26256.313166722914,25972.94309113969,25858.12596754833,0.44402724209578087,True,True,True,True,3.082437851916343,3.8330747222206285,4.393061893744618,5.026685280680928,1.1267822430998258,17.44,medium
2025-10-31,1,ensemble,24773.741660279495,27077.23069127046,24703.702833873842,27155.350037426244,24637.833477750493,27194.93116610952,24495.428286486007,27404.662966232645,25972.94309113969,25858.12596754833,0.44402724209578087,True,True,True,True,8.90818241771201,9.481148040771373,9.888952090217815,11.250756081077554,0.16790333353675677,17.44,medium
2025-10-31,1,ensemble_combined,24773.741660279495,27077.23069127046,24703.702833873842,27155.350037426244,24637.833477750493,27194.93116610952,24495.428286486007,27404.662966232645,25972.94309113969,25858.12596754833,0.44402724209578087,True,True,True,True,8.90818241771201,9.481148040771373,9.888952090217815,11.250756081077554,0.16790333353675677,17.44,medium
2025-10-31,2,baseline,24923.220676276687,26912.303722703244,24809.152337974207,27154.270836330743,24720.253765564943,27255.336598572067,24410.132366566162,27648.479630957707,25435.7040201831,25858.12596754833,-1.63361392815305,True,True,True,True,7.6922938998859935,9.069174236754955,9.803815002636405,12.523518790401267,2.111551191507869,17.44,medium
2025-10-31,2,conditional,25179.97841676495,26275.21834258127,25020.675581060652,26304.902257391386,24946.176950217967,26328.43692164159,24917.2654954325,26330.628229416296,25435.7040201831,25858.12596754833,-1.63361392815305,True,True,True,True,4.235573479651366,4.966433677144373,5.345553553101046,5.465835906892672,0.8781955015916763,17.44,medium
2025-10-31,2,ensemble,24856.235654767013,27207.648491773514,24764.793333751288,27276.95688025989,24664.20889330001,27350.575993228387,24603.36118542545,27553.32219585387,25435.7040201831,25858.12596754833,-1.63361392815305,True,True,True,True,9.093516057418464,9.71518024802471,10.388870033736167,11.408255239109714,2.2630065595506443,17.44,medium
2025-10-31,2,ensemble_combined,24856.235654767013,27207.648491773514,24764.793333751288,27276.95688025989,24664.20889330001,27350.575993228387,24603.36118542545,27553.32219585387,25435.7040201831,25858.12596754833,-1.63361392815305,True,True,True,True,9.093516057418464,9.71518024802471,10.388870033736167,11.408255239109714,2.2630065595506443,17.44,medium
2025-10-31,5,baseline,24599.46773461123,27645.37553141059,24161.047302128613,27755.397107742938,23723.08871753571,27832.31499235194,23343.621015654688,28129.227682454948,25059.80805697154,25858.12596754833,-3.087299951971278,True,True,True,True,11.77930605111114,13.90027185313118,15.891431111339108,18.507167428939532,3.4743977544688853,17.44,medium
2025-10-31,5,conditional,24782.63115614655,26449.486435446845,24644.099288886875,26607.107677784046,24602.05499682738,26648.262500248806,24194.211138124818,26665.29139470355,25059.80805697154,25858.12596754833,-3.087299951971278,True,True,True,True,6.446156544338047,7.591456516843972,7.913208814859179,9.556300637099184,2.1880759149908595,17.44,medium
