date,hour,model,p95_lo,p95_hi,p97_lo,p97_hi,p98_lo,p98_hi,p99_lo,p99_hi,actual_close,current_price,p95_hit,p97_hit,p98_hit,p99_hit,p95_width,p97_width,p98_width,p99_width,midpoint_error,vix
2025-11-14,9:30,percentile,24107.65915220794,25064.904547812064,24053.60393993452,25104.897568641336,23986.917298644938,25146.72085978465,23960.649615240207,25184.418705891145,25008.2416107317,24556.8187394675,True,True,True,True,3.898083891728403,4.281066044671272,4.722938966339673,4.9834186733809585,1.746931721877727,18.69
2025-11-14,9:30,statistical,24512.698262480393,24600.144819281944,24498.123836346804,24614.719245415534,24483.54941021321,24629.293671549127,24454.400557946028,24658.442523816313,25008.2416107317,24556.8187394675,False,False,False,False,0.35609888124884786,0.47479850833177745,0.5934981354147366,0.8308973895806401,1.839896586948253,18.69
2025-11-14,9:30,combined,24107.65915220794,25064.904547812064,24053.60393993452,25104.897568641336,23986.917298644938,25146.72085978465,23960.649615240207,25184.418705891145,25008.2416107317,24556.8187394675,True,True,True,True,3.898083891728403,4.281066044671272,4.722938966339673,4.9834186733809585,1.746931721877727,18.69
2025-11-14,10:00,percentile,24299.23886403347,25296.3528374973,24197.09582147852,25345.29248862637,24150.94245409469,25356.57095016161,24128.469951030056,25447.61625093275,25008.2416107317,24822.45817220226,True,True,True,True,4.016983195405125,4.625636426426427,4.857006859284629,5.314325804282985,0.9549717197014547,18.69
2025-11-14,10:00,statistical,24782.088243376835,24873.643303421133,24766.829066702787,24888.902480095185,24751.56989002874,24904.16165676923,24721.05153668064,24934.68001011733,25008.2416107317,24822.45817220226,False,False,False,False,0.3688396185790637,0.4917861581054183,0.6147326976317435,0.8606257766844526,0.7266638786593292,18.69
2025-11-14,10:00,combined,24299.23886403347,25296.3528374973,24197.09582147852,25345.29248862637,24150.94245409469,25356.57095016161,24128.469951030056,25447.61625093275,25008.2416107317,24822.45817220226,True,True,True,True,4.016983195405125,4.625636426426427,4.857006859284629,5.314325804282985,0.9549717197014547,18.69
2025-11-14,10:30,percentile,24569.894771394123,25340.307544487034,24557.339086606607,25358.00204245759,24527.870690792548,25390.259133706833,24467.179171059957,25442.750434889113,25008.2416107317,24922.07663472555,True,True,True,True,3.0912864300378735,3.212665491668401,3.4603394233715807,3.9144862530028033,0.20291666276773404,18.69
2025-11-14,10:30,statistical,24883.961107394396,24966.914139990087,24870.135601961778,24980.739645422706,24856.310096529163,24994.565150855324,24828.659085663934,25022.21616172055,25008.2416107317,24922.07663472555,False,False,False,True,0.33284960082382276,0.44379946776512136,0.5547493347064053,0.7766490685889295,0.33225155452770055,18.69
2025-11-14,10:30,combined,24569.894771394123,25340.307544487034,24557.339086606607,25358.00204245759,24527.870690792548,25390.259133706833,24467.179171059957,25442.750434889113,25008.2416107317,24922.07663472555,True,True,True,True,3.0912864300378735,3.212665491668401,3.4603394233715807,3.9144862530028033,0.20291666276773404,18.69
2025-11-14,11:00,percentile,24599.348486361254,25305.81117132334,24551.165539741778,25353.779567583442,24482.91135593315,25399.9439521185,24469.273955889654,25404.29399674073,25008.2416107317,25010.93658980988,True,True,True,True,2.824615073591122,3.2090522678333864,3.6665264129251987,3.73844472994277,0.22297868322057154,18.69
2025-11-14,11:00,statistical,24980.80515150794,25057.56725230121,24968.01146804239,25070.360935766756,24955.217784576846,25083.1546192323,24929.630417645752,25108.741986163397,25008.2416107317,25010.93658980988,True,True,True,True,0.3069141394111048,0.40921885254814944,0.5115235656851794,0.7161329919592833,0.043759221625197846,18.69
2025-11-14,11:00,combined,24599.348486361254,25305.81117132334,24551.165539741778,25353.779567583442,24482.91135593315,25399.9439521185,24469.273955889654,25404.29399674073,25008.2416107317,25010.93658980988,True,True,True,True,2.824615073591122,3.2090522678333864,3.6665264129251987,3.73844472994277,0.22297868322057154,18.69
2025-11-14,11:30,percentile,24769.620169130976,25414.13110755318,24737.038100809594,25471.34432549139,24703.697484379703,25507.23064195014,24695.14345825999,25543.995204538627,25008.2416107317,25123.88336756203,True,True,True,True,2.565331676608349,2.9227417351804585,3.1982840622795403,3.3786645713162597,0.3819059379278776,18.69
2025-11-14,11:30,statistical,25096.112736312025,25155.495728988128,25086.21557086601,25165.392894434142,25076.318405419992,25175.290059880164,25056.52407452796,25195.084390772197,25008.2416107317,25123.88336756203,False,False,False,False,0.23636072420545207,0.3151476322739168,0.3939345403424249,0.5515083564793832,0.46793172933672944,18.69
2025-11-14,11:30,combined,24769.620169130976,25414.13110755318,24737.038100809594,25471.34432549139,24703.697484379703,25507.23064195014,24695.14345825999,25543.995204538627,25008.2416107317,25123.88336756203,True,True,True,True,2.565331676608349,2.9227417351804585,3.1982840622795403,3.3786645713162597,0.3819059379278776,18.69
2025-11-14,12:00,percentile,24841.964139385454,25474.86655676989,24774.542369558152,25514.2291053932,24752.416400216047,25534.740800228752,24689.86753627148,25565.509600866393,25008.2416107317,25156.18437393385,True,True,True,True,2.5158919491790397,2.9403773038072085,3.1098690818283563,3.480822256582882,0.5411954560368291,18.69
2025-11-14,12:00,statistical,25130.313712278377,25186.32260898078,25120.978896161312,25195.65742509785,25111.644080044243,25204.99224121491,25092.97444781011,25223.661873449044,25008.2416107317,25156.18437393385,False,False,False,False,0.22264464224724403,0.2968595229963254,0.37107440374539225,0.5195041652435549,0.5965791459748764,18.69
2025-11-14,12:00,combined,24841.964139385454,25474.86655676989,24774.542369558152,25514.2291053932,24752.416400216047,25534.740800228752,24689.86753627148,25565.509600866393,25008.2416107317,25156.18437393385,True,True,True,True,2.5158919491790397,2.9403773038072085,3.1098690818283563,3.480822256582882,0.5411954560368291,18.69
2025-11-14,12:30,percentile,24859.277137943573,25391.12370023283,24812.631044366142,25413.234442020326,24799.179010105676,25426.172869751303,24749.163953938736,25444.229873661876,25008.2416107317,25151.34093116158,True,True,True,True,2.114585316722895,2.387957760574342,2.4928844206028185,2.763534245054819,0.4162447352133964,18.69
2025-11-14,12:30,statistical,25125.762261624135,25181.623390582845,25116.45207346435,25190.933578742635,25107.141885304565,25200.24376690242,25088.52150898499,25218.86414322199,25008.2416107317,25151.34093116158,False,False,False,False,0.22210000298433344,0.2961333373124735,0.3701666716405702,0.5182333402968069,0.5783040187395448,18.69
2025-11-14,12:30,combined,24859.277137943573,25391.12370023283,24812.631044366142,25413.234442020326,24799.179010105676,25426.172869751303,24749.163953938736,25444.229873661876,25008.2416107317,25151.34093116158,True,True,True,True,2.114585316722895,2.387957760574342,2.4928844206028185,2.763534245054819,0.4162447352133964,18.69
2025-11-14,13:00,percentile,24764.794348293846,25314.770830461573,24692.316207748114,25329.674497557007,24688.849516945942,25366.864452569036,24684.38759203055,25395.357138347317,25008.2416107317,25052.23101113294,True,True,True,True,2.1953193786346756,2.5441178852520494,2.706405410846609,2.837949027377319,0.010992002746727268,18.69
2025-11-14,13:00,statistical,25022.34328638381,25094.763891486502,25010.273185533362,25106.83399233695,24998.203084682915,25118.904093187397,24974.06288298202,25143.044294888285,25008.2416107317,25052.23101113294,False,False,True,True,0.2890784659877568,0.3854379546503328,0.48179744331290875,0.6745164206380315,0.20082833413558027,18.69
2025-11-14,13:00,combined,24764.794348293846,25314.770830461573,24692.316207748114,25329.674497557007,24688.849516945942,25366.864452569036,24684.38759203055,25395.357138347317,25008.2416107317,25052.23101113294,True,True,True,True,2.1953193786346756,2.5441178852520494,2.706405410846609,2.837949027377319,0.010992002746727268,18.69
2025-11-14,13:30,percentile,24807.24894207383,25362.303478987382,24787.04568121956,25372.921691651285,24776.687628015752,25377.91508747372,24727.527275225337,25385.34586389746,25008.2416107317,25082.33683292288,True,True,True,True,2.21292992200388,2.3358111101622314,2.397015331796366,2.6226367704650015,0.2860262828842708,18.69
2025-11-14,13:30,statistical,25054.35268201441,25122.0186898096,25043.075014048547,25133.296357775464,25031.797346082683,25144.574025741324,25009.242010150952,25167.129361673055,25008.2416107317,25082.33683292288,False,False,False,False,0.26977553266237675,0.35970071021649264,0.44962588777059403,0.6294762428788548,0.31872658322398,18.69
2025-11-14,13:30,combined,24807.24894207383,25362.303478987382,24787.04568121956,25372.921691651285,24776.687628015752,25377.91508747372,24727.527275225337,25385.34586389746,25008.2416107317,25082.33683292288,True,True,True,True,2.21292992200388,2.3358111101622314,2.397015331796366,2.6226367704650015,0.2860262828842708,18.69
2025-11-14,14:00,percentile,24900.48990977137,25267.537563666945,24885.1865906586,25277.051281570308,24876.02050118576,25282.984211324645,24869.278752814156,25296.058493143784,25008.2416107317,25061.48353619361,True,True,True,True,1.4645886919083866,1.563613304638493,1.6238612113730198,1.7029308728402928,0.29079413945109894,18.69
2025-11-14,14:00,statistical,25033.63256246808,25103.072289299565,25022.05927466283,25114.645577104817,25010.485986857588,25126.218864910064,24987.33941124709,25149.365440520556,25008.2416107317,25061.48353619361,False,False,False,True,0.27707747919711817,0.3694366389295054,0.46179579866186365,0.6465141181266091,0.23985337925151357,18.69
2025-11-14,14:00,combined,24900.48990977137,25267.537563666945,24885.1865906586,25277.051281570308,24876.02050118576,25282.984211324645,24869.278752814156,25296.058493143784,25008.2416107317,25061.48353619361,True,True,True,True,1.4645886919083866,1.563613304638493,1.6238612113730198,1.7029308728402928,0.29079413945109894,18.69
2025-11-14,14:30,percentile,24940.703553852836,25267.74632108466,24929.050262834546,25308.047558971495,24913.670729481648,25312.184935289664,24903.47318453962,25319.93952493873,25008.2416107317,25103.73469645486,True,True,True,True,1.3027653900358118,1.5097247509967961,1.5874697953380394,1.6589816034740201,0.43940593503363323,18.69
2025-11-14,14:30,statistical,25077.318537309096,25139.820188916678,25066.9015953745,25150.237130851277,25056.4846534399,25160.65407278587,25035.650769570708,25181.48795665507,25008.2416107317,25103.73469645486,False,False,False,False,0.248973518734675,0.33196469164624304,0.41495586455779654,0.5809382103809325,0.39965269548262367,18.69
2025-11-14,14:30,combined,24940.703553852836,25267.74632108466,24929.050262834546,25308.047558971495,24913.670729481648,25312.184935289664,24903.47318453962,25319.93952493873,25008.2416107317,25103.73469645486,True,True,True,True,1.3027653900358118,1.5097247509967961,1.5874697953380394,1.6589816034740201,0.43940593503363323,18.69
2025-11-14,15:00,percentile,25051.474891435206,25239.295236968654,25016.893092994735,25242.74331626835,25012.623571157168,25255.034602360756,24998.78848681049,25289.4546438655,25008.2416107317,25145.53369055952,False,False,False,True,0.7469332241851041,0.8981723197961212,0.9640321585005669,1.1559355256959172,0.4834918017488133,18.69
2025-11-14,15:00,statistical,25124.14840488579,25169.617881814767,25116.57015873096,25177.1961279696,25108.991912576133,25184.774374124434,25093.83542026647,25199.930866434093,25008.2416107317,25145.53369055952,False,False,False,False,0.18082526101265006,0.24110034801688118,0.3013754350210979,0.42192560902954573,0.5513564926666424,18.69
2025-11-14,15:00,combined,25051.474891435206,25239.295236968654,25016.893092994735,25242.74331626835,25012.623571157168,25255.034602360756,24998.78848681049,25289.4546438655,25008.2416107317,25145.53369055952,False,False,False,True,0.7469332241851041,0.8981723197961212,0.9640321585005669,1.1559355256959172,0.4834918017488133,18.69
2025-11-14,15:30,percentile,24905.71667518687,25246.993581669725,24880.71068563724,25262.801356532516,24877.244892220122,25266.74815752797,24862.906303003103,25279.985005861035,25008.2416107317,25059.44961031925,True,True,True,True,1.361869122386147,1.5247368830396573,1.55431691982355,1.6643569964369183,0.2534549295409255,18.69
2025-11-14,15:30,statistical,25032.47847464733,25098.850147896606,25021.416529105783,25109.91209343815,25010.354583564233,25120.9740389797,24988.230692481142,25143.09793006279,25008.2416107317,25059.44961031925,False,False,False,True,0.26485686749458587,0.35314248999277636,0.4414281124910103,0.6179993574873912,0.22914589679025507,18.69
2025-11-14,15:30,combined,24905.71667518687,25246.993581669725,24880.71068563724,25262.801356532516,24877.244892220122,25266.74815752797,24862.906303003103,25279.985005861035,25008.2416107317,25059.44961031925,True,True,True,True,1.361869122386147,1.5247368830396573,1.55431691982355,1.6643569964369183,0.2534549295409255,18.69
2025-11-17,9:30,percentile,24665.21268010585,25291.555063961856,24647.454649533618,25304.688919373373,24642.560926348648,25332.841766195943,24621.403059712935,25359.032267926807,24799.91783393158,24998.93369553805,True,True,True,True,2.505476399450581,2.629049214035325,2.7612411323387787,2.9506426841938773,0.7046458567685077,14.21
2025-11-17,9:30,statistical,24963.26418749734,25033.225279880975,24951.6040054334,25044.885461944916,24939.943823369464,25056.545644008853,24916.623459241586,25079.866008136727,24799.91783393158,24998.93369553805,False,False,False,False,0.2798563060156464,0.3731417413542098,0.466427176692744,0.6529980473698271,0.7933414367708592,14.21
2025-11-17,9:30,combined,24665.21268010585,25291.555063961856,24647.454649533618,25304.688919373373,24642.560926348648,25332.841766195943,24621.403059712935,25359.032267926807,24799.91783393158,24998.93369553805,True,True,True,True,2.505476399450581,2.629049214035325,2.7612411323387787,2.9506426841938773,0.7046458567685077,14.21
2025-11-17,10:00,percentile,24790.37477909217,25229.81892757114,24708.135211891098,25248.569561255914,24645.698409250097,25257.510820221763,24615.047710868057,25264.40512085376,24799.91783393158,25031.16149629105,True,True,True,True,1.7555883235545628,2.1590462330119746,2.444203042924399,2.594196078683447,0.7128496720712023,14.21
2025-11-17,10:00,statistical,24997.344245131982,25064.74239237381,24986.111220591676,25075.975416914112,24974.878196051373,25087.20844145442,24952.412146970764,25109.67449053503,24799.91783393158,25031.16149629105,False,False,False,False,0.2692569709632286,0.35900929461763814,0.44876161827204764,0.6282662655808813,0.923351019310712,14.21
2025-11-17,10:00,combined,24790.37477909217,25229.81892757114,24708.135211891098,25248.569561255914,24645.698409250097,25257.510820221763,24615.047710868057,25264.40512085376,24799.91783393158,25031.16149629105,True,True,True,True,1.7555883235545628,2.1590462330119746,2.444203042924399,2.594196078683447,0.7128496720712023,14.21
2025-11-17,10:30,percentile,24811.608897807157,25234.93289044815,24796.45283630112,25244.91835340328,24744.443858701823,25261.21687381489,24672.16410060171,25284.01314650615,24799.91783393158,25001.00462861146,False,True,True,True,1.6932279279550946,1.793789984698986,2.067008997397112,2.4472978386005857,0.8830355587709827,14.21
2025-11-17,10:30,statistical,24967.814110741874,25032.914964360345,24956.96396847213,25043.76510663009,24946.113826202385,25054.615248899834,24924.413541662896,25076.315533439323,24799.91783393158,25001.00462861146,False,False,False,False,0.26039295054554984,0.34719060072739494,0.43398825090924,0.6075835512729303,0.8017545958538695,14.21
2025-11-17,10:30,combined,24811.608897807157,25234.93289044815,24796.45283630112,25244.91835340328,24744.443858701823,25261.21687381489,24672.16410060171,25284.01314650615,24799.91783393158,25001.00462861146,False,True,True,True,1.6932279279550946,1.793789984698986,2.067008997397112,2.4472978386005857,0.8830355587709827,14.21
2025-11-17,11:00,percentile,24777.906319376874,25187.34961612766,24732.780333374398,25191.31334092295,24724.963900671944,25221.271468104227,24703.415578374996,25253.833774542432,24799.91783393158,24964.8926977693,True,True,True,True,1.6400763332236181,1.8367113093561278,1.9880220333437664,2.2047689242286164,0.6494279994705434,14.21
2025-11-17,11:00,statistical,24936.93441962078,24993.980347483623,24927.42676497697,25003.488002127426,24917.919110333165,25012.995656771236,24898.90380104555,25032.010966058846,24799.91783393158,24964.8926977693,False,False,False,False,0.22850459865161513,0.30467279820213405,0.3808409977526821,0.5331773968537346,0.6630893696387081,14.21
2025-11-17,11:00,combined,24777.906319376874,25187.34961612766,24732.780333374398,25191.31334092295,24724.963900671944,25221.271468104227,24703.415578374996,25253.833774542432,24799.91783393158,24964.8926977693,True,True,True,True,1.6400763332236181,1.8367113093561278,1.9880220333437664,2.2047689242286164,0.6494279994705434,14.21
2025-11-17,11:30,percentile,24800.45575333724,25163.292221044587,24698.178145035105,25165.693526688116,24653.15220736056,25188.534189449583,24612.81094507211,25228.050279591447,24799.91783393158,25008.86743776541,False,True,True,True,1.450831264591516,1.8693984556334804,2.140768603061784,2.460084752139861,0.5278847683069006,14.21
2025-11-17,11:30,statistical,24979.206111396466,25035.78337402514,24969.776567625024,25045.212917796583,24960.347023853577,25054.642461568026,24941.487936310685,25073.50154911092,24799.91783393158,25008.86743776541,False,False,False,False,0.22622880771976953,0.30163841029300176,0.3770480128662486,0.5278672180127713,0.830013231489912,14.21
2025-11-17,11:30,combined,24800.45575333724,25163.292221044587,24698.178145035105,25165.693526688116,24653.15220736056,25188.534189449583,24612.81094507211,25228.050279591447,24799.91783393158,25008.86743776541,False,True,True,True,1.450831264591516,1.8693984556334804,2.140768603061784,2.460084752139861,0.5278847683069006,14.21
2025-11-17,12:00,percentile,24874.752939348156,25255.46502078794,24868.150350960237,25260.55565220444,24865.003910932617,25270.79186725116,24851.346096089965,25289.868419555143,24799.91783393158,25083.41181312006,False,False,False,False,1.5177842802096324,1.5644016219474235,1.6177542327247971,1.7482562848001653,1.054223283582351,14.21
2025-11-17,12:00,statistical,25056.15132498485,25107.08812122104,25047.661858945485,25115.577587260403,25039.17239290612,25124.067053299772,25022.193460827388,25141.0459853785,24799.91783393158,25083.41181312006,False,False,False,False,0.2030696486414476,0.2707595315219205,0.3384494144024224,0.47382918016338266,1.1230604961962036,14.21
2025-11-17,12:00,combined,24874.752939348156,25255.46502078794,24868.150350960237,25260.55565220444,24865.003910932617,25270.79186725116,24851.346096089965,25289.868419555143,24799.91783393158,25083.41181312006,False,False,False,False,1.5177842802096324,1.5644016219474235,1.6177542327247971,1.7482562848001653,1.054223283582351,14.21
2025-11-17,12:30,percentile,24871.756787619102,25214.514958511525,24851.13418574483,25222.02472488088,24827.251741621232,25233.23596294415,24807.342237581357,25258.18887944477,24799.91783393158,25062.08710838985,False,False,False,False,1.3676361805385315,1.4798868806576337,1.6199138546087344,1.7989189803449608,0.944301327969019,14.21
2025-11-17,12:30,statistical,25037.06816847576,25082.57709497527,25029.483347392506,25090.161916058518,25021.89852630925,25097.746737141773,25006.728884142747,25112.916379308277,24799.91783393158,25062.08710838985,False,False,False,False,0.18158474313289177,0.2421129908438412,0.3026412385548341,0.42369773397676197,1.0370437093681775,14.21
