dte,band,time_pst,time_et,spread_type,flow_mode,spread_width,n_trades,n_wins,win_rate_pct,avg_credit,avg_max_risk,avg_pnl,total_pnl,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days
3,P98,12:00,15:00,iron_condor,against_flow,150,38,34,89.5,7958.71,15301.97,1664.37,63246.0,830.75,-3646.0,8591.5,2877.7,0.578,2.6
3,P98,12:00,15:00,iron_condor,with_flow,150,38,34,89.5,7958.71,15301.97,1664.37,63246.0,830.75,-3646.0,8591.5,2877.7,0.578,2.6
2,P99,12:00,15:00,iron_condor,against_flow,100,59,52,88.1,5578.0,10564.08,1066.19,62905.5,245.0,-8584.0,17887.5,3435.34,0.31,1.9
2,P99,12:00,15:00,iron_condor,with_flow,100,59,52,88.1,5578.0,10564.08,1066.19,62905.5,245.0,-8584.0,17887.5,3435.34,0.31,1.9
5,P99,08:45,11:45,iron_condor,neutral,150,49,41,83.7,17212.16,15426.61,1282.02,62819.0,382.0,-7755.0,18292.0,4320.35,0.297,3.1
2,P95,10:00,13:00,iron_condor,with_flow,100,55,51,92.7,3240.53,10173.58,1141.17,62764.5,156.0,-8807.0,13629.0,3101.48,0.368,1.9
2,P95,10:00,13:00,iron_condor,against_flow,100,55,51,92.7,3240.53,10173.58,1141.17,62764.5,156.0,-8807.0,13629.0,3101.48,0.368,1.9
5,P98,07:15,10:15,iron_condor,neutral,200,36,34,94.4,3694.25,17614.08,1742.5,62730.0,442.25,-6343.0,26895.0,5421.02,0.321,3.7
1,P98,10:00,13:00,iron_condor,against_flow,150,49,48,98.0,3168.59,15268.35,1279.31,62686.0,348.5,-14949.0,10567.0,3411.52,0.375,1.0
1,P98,10:00,13:00,iron_condor,with_flow,150,49,48,98.0,3168.59,15268.35,1279.31,62686.0,348.5,-14949.0,10567.0,3411.52,0.375,1.0
2,P100,07:15,10:15,iron_condor,against_flow,50,57,55,96.5,2262.68,6999.72,1099.05,62646.0,121.5,-5680.0,26895.0,4115.0,0.267,1.9
2,P100,07:15,10:15,iron_condor,with_flow,50,57,55,96.5,2262.68,6999.72,1099.05,62646.0,121.5,-5680.0,26895.0,4115.0,0.267,1.9
