rank,strategy.config.slope_detection.skip_slope,strategy.config.tiers.call.0.spread_width,strategy.config.tiers.call.1.spread_width,strategy.config.tiers.call.2.spread_width,strategy.config.tiers.put.0.spread_width,strategy.config.tiers.put.1.spread_width,strategy.config.tiers.put.2.spread_width,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
177,False,55,50,15,55,50,15,293,3.1,48108.0,48108.0,0,48108.0,inf,4.91
178,False,55,50,20,55,50,20,293,3.4,48044.0,48044.0,0,48044.0,inf,4.74
179,True,45,45,20,45,45,20,293,3.4,78018.0,77148.0,29130.0,48018.0,2.65,4.39
180,True,30,45,20,30,45,20,293,3.4,77911.0,75765.0,27854.0,47911.0,2.72,4.13
181,False,55,20,20,55,20,20,293,3.4,47777.0,47777.0,0,47777.0,inf,4.63
182,False,55,20,15,55,20,15,293,3.4,47723.0,47723.0,0,47723.0,inf,4.77
183,False,55,40,15,55,40,15,293,3.1,47664.0,47664.0,0,47664.0,inf,5.03
184,False,55,40,20,55,40,20,293,3.4,47600.0,47600.0,0,47600.0,inf,4.84
185,True,35,40,20,35,40,20,293,3.8,77198.0,75226.0,28028.0,47198.0,2.68,3.59
186,False,55,20,30,55,20,30,293,3.4,47141.0,47141.0,0,47141.0,inf,4.7
187,False,55,50,30,55,50,30,293,3.1,46960.0,46960.0,0,46960.0,inf,4.77
188,False,55,20,25,55,20,25,293,3.4,46938.0,46938.0,0,46938.0,inf,4.67
189,False,55,45,15,55,45,15,293,3.1,46736.0,46736.0,0,46736.0,inf,4.89
190,False,55,45,20,55,45,20,293,3.4,46563.0,46563.0,0,46563.0,inf,4.7
191,False,55,50,25,55,50,25,293,3.1,46542.0,46542.0,0,46542.0,inf,4.74
192,False,60,50,15,60,50,15,293,3.4,46476.0,46476.0,0,46476.0,inf,4.57
193,False,60,40,15,60,40,15,293,3.4,46472.0,46472.0,0,46472.0,inf,4.67
194,False,60,20,20,60,20,20,293,3.8,46471.0,46471.0,0,46471.0,inf,4.29
195,True,35,45,15,35,45,15,293,3.8,76440.0,74178.0,27738.0,46440.0,2.67,3.58
196,False,55,40,30,55,40,30,293,3.1,46424.0,46424.0,0,46424.0,inf,4.87
197,False,60,20,15,60,20,15,293,3.8,46417.0,46417.0,0,46417.0,inf,4.41
198,False,60,50,20,60,50,20,293,3.8,46412.0,46412.0,0,46412.0,inf,4.41
199,False,60,40,20,60,40,20,293,3.8,46408.0,46408.0,0,46408.0,inf,4.51
200,False,40,50,15,40,50,15,293,2.7,46400.0,46400.0,0,46400.0,inf,4.48
201,False,55,40,25,55,40,25,293,3.1,46118.0,46118.0,0,46118.0,inf,4.84
202,False,40,50,20,40,50,20,293,3.1,46079.0,46079.0,0,46079.0,inf,4.35
203,True,45,30,15,45,30,15,293,3.1,75981.0,74821.0,28840.0,45981.0,2.59,4.52
204,False,60,45,15,60,45,15,293,3.4,45653.0,45653.0,0,45653.0,inf,4.56
205,False,55,25,20,55,25,20,293,3.4,45650.0,45650.0,0,45650.0,inf,4.41
206,False,60,20,30,60,20,30,293,3.8,45631.0,45631.0,0,45631.0,inf,4.35
207,False,55,30,20,55,30,20,293,3.4,45580.0,45580.0,0,45580.0,inf,4.64
208,False,55,20,10,55,20,10,293,3.8,45482.0,45482.0,0,45482.0,inf,4.65
209,False,55,45,30,55,45,30,293,3.1,45479.0,45479.0,0,45479.0,inf,4.74
210,False,60,20,25,60,20,25,293,3.8,45428.0,45428.0,0,45428.0,inf,4.31
211,False,55,30,15,55,30,15,293,3.1,45417.0,45417.0,0,45417.0,inf,4.79
212,False,60,40,30,60,40,30,293,3.4,45388.0,45388.0,0,45388.0,inf,4.54
213,False,55,35,20,55,35,20,293,3.4,45384.0,45384.0,0,45384.0,inf,4.47
214,False,55,25,15,55,25,15,293,3.4,45378.0,45378.0,0,45378.0,inf,4.54
215,False,60,45,20,60,45,20,293,3.8,45371.0,45371.0,0,45371.0,inf,4.39
216,False,60,50,30,60,50,30,293,3.4,45236.0,45236.0,0,45236.0,inf,4.43
217,False,55,45,25,55,45,25,293,3.1,45061.0,45061.0,0,45061.0,inf,4.71
218,False,55,35,15,55,35,15,293,3.1,45020.0,45020.0,0,45020.0,inf,4.6
219,False,55,25,30,55,25,30,293,3.4,45014.0,45014.0,0,45014.0,inf,4.47
220,False,40,50,30,40,50,30,293,2.7,44964.0,44964.0,0,44964.0,inf,4.32
221,False,60,50,25,60,50,25,293,3.4,44930.0,44930.0,0,44930.0,inf,4.41
222,False,60,40,25,60,40,25,293,3.4,44926.0,44926.0,0,44926.0,inf,4.5
223,False,55,30,30,55,30,30,293,3.1,44852.0,44852.0,0,44852.0,inf,4.72
224,True,35,45,20,35,45,20,293,3.8,74840.0,72868.0,28028.0,44840.0,2.6,3.4
225,False,40,50,25,40,50,25,293,2.7,44814.0,44814.0,0,44814.0,inf,4.31
226,False,55,35,30,55,35,30,293,3.1,44656.0,44656.0,0,44656.0,inf,4.53
227,False,60,30,20,60,30,20,293,3.8,44601.0,44601.0,0,44601.0,inf,4.32
228,False,60,35,20,60,35,20,293,3.8,44517.0,44517.0,0,44517.0,inf,4.17
229,False,55,25,25,55,25,25,293,3.4,44484.0,44484.0,0,44484.0,inf,4.43
230,True,30,20,30,30,20,30,293,2.7,76448.0,74244.0,29796.0,44448.0,2.49,4.04
231,False,60,25,20,60,25,20,293,3.8,44344.0,44344.0,0,44344.0,inf,4.09
232,False,60,30,15,60,30,15,293,3.4,44329.0,44329.0,0,44329.0,inf,4.44
233,False,55,30,25,55,30,25,293,3.1,44322.0,44322.0,0,44322.0,inf,4.67
234,False,60,25,15,60,25,15,293,3.8,44290.0,44290.0,0,44290.0,inf,4.21
235,False,60,35,15,60,35,15,293,3.4,44245.0,44245.0,0,44245.0,inf,4.29
236,False,60,45,30,60,45,30,293,3.4,44195.0,44195.0,0,44195.0,inf,4.42
237,False,55,50,10,55,50,10,293,3.1,44190.0,44190.0,0,44190.0,inf,4.73
238,False,55,35,25,55,35,25,293,3.1,44126.0,44126.0,0,44126.0,inf,4.49
239,True,45,30,20,45,30,20,293,3.4,74103.0,73233.0,29130.0,44103.0,2.51,4.23
240,False,60,45,25,60,45,25,293,3.4,43981.0,43981.0,0,43981.0,inf,4.38
241,False,60,20,10,60,20,10,293,4.1,43972.0,43972.0,0,43972.0,inf,4.29
242,False,60,30,30,60,30,30,293,3.4,43917.0,43917.0,0,43917.0,inf,4.38
243,False,40,40,15,40,40,15,293,2.4,43848.0,43848.0,0,43848.0,inf,4.45
244,False,60,35,30,60,35,30,293,3.4,43833.0,43833.0,0,43833.0,inf,4.22
245,False,55,40,10,55,40,10,293,3.1,43654.0,43654.0,0,43654.0,inf,4.84
246,True,30,20,25,30,20,25,293,2.7,75561.0,73357.0,29796.0,43561.0,2.46,4.02
247,False,60,25,30,60,25,30,293,3.8,43504.0,43504.0,0,43504.0,inf,4.14
248,False,40,40,20,40,40,20,293,2.7,43435.0,43435.0,0,43435.0,inf,4.31
249,True,45,35,15,45,35,15,293,3.1,73414.0,72254.0,28840.0,43414.0,2.51,4.14
250,False,60,30,25,60,30,25,293,3.4,43343.0,43343.0,0,43343.0,inf,4.33
251,False,55,30,10,55,30,10,293,3.4,43193.0,43193.0,0,43193.0,inf,4.66
252,False,60,35,25,60,35,25,293,3.4,43147.0,43147.0,0,43147.0,inf,4.17
253,False,55,45,10,55,45,10,293,3.1,43036.0,43036.0,0,43036.0,inf,4.71
254,False,55,25,10,55,25,10,293,3.8,43028.0,43028.0,0,43028.0,inf,4.41
255,False,60,25,25,60,25,25,293,3.8,42974.0,42974.0,0,42974.0,inf,4.09
256,False,40,45,15,40,45,15,293,2.4,42928.0,42928.0,0,42928.0,inf,4.35
257,True,45,35,20,45,35,20,293,3.4,72801.0,71931.0,29130.0,42801.0,2.47,3.95
258,False,40,20,20,40,20,20,293,2.7,42744.0,42744.0,0,42744.0,inf,4.08
259,True,30,30,15,30,30,15,293,2.7,72723.0,70287.0,27564.0,42723.0,2.55,4.1
260,False,55,35,10,55,35,10,293,3.4,42670.0,42670.0,0,42670.0,inf,4.47
261,False,60,50,10,60,50,10,293,3.4,42578.0,42578.0,0,42578.0,inf,4.38
262,False,40,20,15,40,20,15,293,2.7,42506.0,42506.0,0,42506.0,inf,4.17
263,False,60,40,10,60,40,10,293,3.4,42482.0,42482.0,0,42482.0,inf,4.48
264,False,40,40,30,40,40,30,293,2.4,42476.0,42476.0,0,42476.0,inf,4.29
265,False,40,45,20,40,45,20,293,2.7,42297.0,42297.0,0,42297.0,inf,4.2
266,False,40,50,10,40,50,10,293,3.1,42218.0,42218.0,0,42218.0,inf,4.28
267,False,40,40,25,40,40,25,293,2.4,42170.0,42170.0,0,42170.0,inf,4.26
268,True,30,20,10,30,20,10,293,3.8,74151.0,71947.0,29796.0,42151.0,2.41,3.79
269,True,35,20,30,35,20,30,293,3.4,73924.0,71894.0,29970.0,41924.0,2.4,3.25
270,True,30,30,20,30,30,20,293,2.7,71875.0,69729.0,27854.0,41875.0,2.5,3.9
271,False,60,45,10,60,45,10,293,3.4,41864.0,41864.0,0,41864.0,inf,4.37
272,False,60,25,10,60,25,10,293,4.1,41845.0,41845.0,0,41845.0,inf,4.07
273,False,40,20,30,40,20,30,293,2.7,41748.0,41748.0,0,41748.0,inf,4.09
274,False,40,20,25,40,20,25,293,2.7,41701.0,41701.0,0,41701.0,inf,4.07
275,False,50,50,15,50,50,15,293,2.7,41695.0,41695.0,0,41695.0,inf,4.4
276,False,60,30,10,60,30,10,293,3.8,41683.0,41683.0,0,41683.0,inf,4.3
277,False,60,35,10,60,35,10,293,3.8,41487.0,41487.0,0,41487.0,inf,4.14
278,False,50,40,15,50,40,15,293,2.7,41360.0,41360.0,0,41360.0,inf,4.51
279,True,35,20,25,35,20,25,293,3.4,73289.0,71259.0,29970.0,41289.0,2.38,3.23
280,False,50,50,20,50,50,20,293,3.1,41255.0,41255.0,0,41255.0,inf,4.26
281,False,40,45,30,40,45,30,293,2.4,41182.0,41182.0,0,41182.0,inf,4.17
282,False,50,40,20,50,40,20,293,3.1,41138.0,41138.0,0,41138.0,inf,4.36
283,False,30,50,15,30,50,15,293,2.7,41122.0,41122.0,0,41122.0,inf,4.61
284,False,40,30,20,40,30,20,293,2.7,41079.0,41079.0,0,41079.0,inf,4.12
285,False,50,20,20,50,20,20,293,3.1,41078.0,41078.0,0,41078.0,inf,4.21
286,False,50,20,15,50,20,15,293,3.1,41073.0,41073.0,0,41073.0,inf,4.31
287,False,40,45,25,40,45,25,293,2.4,41032.0,41032.0,0,41032.0,inf,4.16
288,False,35,50,15,35,50,15,293,3.1,40947.0,40947.0,0,40947.0,inf,3.88
289,False,40,30,15,40,30,15,293,2.4,40846.0,40846.0,0,40846.0,inf,4.22
290,False,30,50,20,30,50,20,293,2.7,40801.0,40801.0,0,40801.0,inf,4.43
291,True,30,35,15,30,35,15,293,3.1,70799.0,68363.0,27564.0,40799.0,2.48,3.8
292,False,45,50,15,45,50,15,293,2.4,40755.0,40755.0,0,40755.0,inf,4.82
293,False,40,25,20,40,25,20,293,2.7,40729.0,40729.0,0,40729.0,inf,3.88
294,False,40,35,20,40,35,20,293,2.7,40535.0,40535.0,0,40535.0,inf,3.98
295,False,40,25,15,40,25,15,293,2.7,40491.0,40491.0,0,40491.0,inf,3.97
296,False,50,20,30,50,20,30,293,3.1,40488.0,40488.0,0,40488.0,inf,4.24
297,True,30,20,15,30,20,15,293,2.7,78484.0,76048.0,35564.0,40484.0,2.14,3.72
298,False,35,50,20,35,50,20,293,3.1,40408.0,40408.0,0,40408.0,inf,3.75
299,False,50,50,25,50,50,25,293,2.7,40350.0,40350.0,0,40350.0,inf,4.24
300,False,50,45,15,50,45,15,293,2.7,40331.0,40331.0,0,40331.0,inf,4.4
301,False,50,50,30,50,50,30,293,2.7,40329.0,40329.0,0,40329.0,inf,4.26
302,False,45,50,20,45,50,20,293,2.7,40295.0,40295.0,0,40295.0,inf,4.63
303,False,40,30,30,40,30,30,293,2.4,40258.0,40258.0,0,40258.0,inf,4.14
304,False,40,20,10,40,20,10,293,3.1,40225.0,40225.0,0,40225.0,inf,4.04
305,False,50,40,30,50,40,30,293,2.7,40120.0,40120.0,0,40120.0,inf,4.36
306,False,50,45,20,50,45,20,293,3.1,40000.0,40000.0,0,40000.0,inf,4.26
307,False,50,20,25,50,20,25,293,3.1,39958.0,39958.0,0,39958.0,inf,4.2
308,False,40,30,25,40,30,25,293,2.4,39840.0,39840.0,0,39840.0,inf,4.1
309,False,50,40,25,50,40,25,293,2.7,39814.0,39814.0,0,39814.0,inf,4.33
310,True,35,20,10,35,20,10,293,4.4,71767.0,69737.0,29970.0,39767.0,2.33,3.05
311,True,30,35,20,30,35,20,293,3.1,69744.0,67598.0,27854.0,39744.0,2.43,3.57
312,False,40,25,30,40,25,30,293,2.7,39733.0,39733.0,0,39733.0,inf,3.89
313,False,30,50,30,30,50,30,293,2.7,39594.0,39594.0,0,39594.0,inf,4.41
314,False,40,40,10,40,40,10,293,2.7,39482.0,39482.0,0,39482.0,inf,4.23
315,False,30,50,25,30,50,25,293,2.7,39444.0,39444.0,0,39444.0,inf,4.4
316,False,40,25,25,40,25,25,293,2.7,39359.0,39359.0,0,39359.0,inf,3.86
317,False,40,35,15,40,35,15,293,2.4,39302.0,39302.0,0,39302.0,inf,4.04
318,False,35,50,30,35,50,30,293,3.1,39293.0,39293.0,0,39293.0,inf,3.72
319,False,45,50,25,45,50,25,293,2.4,39278.0,39278.0,0,39278.0,inf,4.62
320,True,30,20,20,30,20,20,293,2.7,77245.0,74867.0,35622.0,39245.0,2.1,3.57
321,False,40,35,30,40,35,30,293,2.4,39223.0,39223.0,0,39223.0,inf,4.01
322,True,35,30,15,35,30,15,293,3.4,69193.0,66931.0,27738.0,39193.0,2.41,3.18
323,False,35,50,25,35,50,25,293,3.1,39143.0,39143.0,0,39143.0,inf,3.71
324,False,45,50,30,45,50,30,293,2.4,39101.0,39101.0,0,39101.0,inf,4.62
