rank,percent_beyond,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,0.0355:0.0282,60,100.0,2959459.0,2959459.0,0.0,2959459.0,inf,9.89
2,0.0330:0.0257,79,100.0,5821135.0,1619381.09,0.0,1619381.09,inf,4.11
3,0.0305:0.0232,127,90.55,13051647.0,1188183.38,5815370.75,-4627187.38,0.2043,-7.3
4,0.0205:0.0132,539,88.5,78643628.0,38697843.27,28532427.77,10165415.5,1.3563,3.78
5,0.0230:0.0157,358,86.31,51347999.0,20046434.74,23958818.75,-3912384.01,0.8367,-2.19
6,0.0255:0.0182,254,85.83,33192092.0,8786361.39,17472137.75,-8685776.36,0.5029,-6.85
7,0.0280:0.0207,166,83.73,20265812.0,2708526.85,11884335.75,-9175808.9,0.2279,-11.08
