rank,percent_beyond,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,0.020:0.030,8,100.0,219265.0,219265.0,0.0,219265.0,inf,13.8
2,0.020:0.025,8,100.0,219265.0,219265.0,0.0,219265.0,inf,13.8
3,0.020:0.020,8,100.0,219265.0,219265.0,0.0,219265.0,inf,13.8
4,0.020:0.015,12,100.0,235077.0,235077.0,0.0,235077.0,inf,9.87
5,0.015:0.020,13,100.0,412308.0,412308.0,0.0,412308.0,inf,15.97
6,0.015:0.030,13,100.0,412308.0,412308.0,0.0,412308.0,inf,15.97
7,0.015:0.025,13,100.0,412308.0,412308.0,0.0,412308.0,inf,15.97
8,0.015:0.015,17,100.0,428120.0,428120.0,0.0,428120.0,inf,12.68
9,0.025:0.020,4,100.0,36826.0,36826.0,0.0,36826.0,inf,4.65
10,0.025:0.030,4,100.0,36826.0,36826.0,0.0,36826.0,inf,4.65
11,0.025:0.025,4,100.0,36826.0,36826.0,0.0,36826.0,inf,4.65
12,0.030:0.025,1,100.0,5440.0,5440.0,0.0,5440.0,inf,2.74
13,0.025:0.015,8,100.0,52638.0,52638.0,0.0,52638.0,inf,3.32
14,0.030:0.020,1,100.0,5440.0,5440.0,0.0,5440.0,inf,2.74
15,0.030:0.030,1,100.0,5440.0,5440.0,0.0,5440.0,inf,2.74
16,0.030:0.015,5,100.0,21252.0,21252.0,0.0,21252.0,inf,2.14
