rank,dynamic_spread_width,max_trading_hour,min_trading_hour,percent_beyond,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
29,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",12,9,0.025:0.025,7,100.0,227833.0,227833.0,0.0,227833.0,inf,6.52
30,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",12,9,0.025:0.030,7,100.0,227833.0,227833.0,0.0,227833.0,inf,6.52
31,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",12,10,0.025:0.020,12,100.0,224261.0,224261.0,0.0,224261.0,inf,3.75
32,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,9,0.030:0.025,4,100.0,217081.0,217081.0,0.0,217081.0,inf,10.88
33,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,9,0.030:0.025,4,100.0,217081.0,217081.0,0.0,217081.0,inf,10.88
34,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,9,0.030:0.025,3,100.0,216588.0,216588.0,0.0,216588.0,inf,14.47
35,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,9,0.030:0.025,3,100.0,216588.0,216588.0,0.0,216588.0,inf,14.47
36,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,10,0.030:0.025,3,100.0,206667.0,206667.0,0.0,206667.0,inf,13.8
37,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,10,0.030:0.025,3,100.0,206667.0,206667.0,0.0,206667.0,inf,13.8
38,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,10,0.030:0.025,2,100.0,202908.0,202908.0,0.0,202908.0,inf,20.35
39,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,10,0.030:0.025,2,100.0,202908.0,202908.0,0.0,202908.0,inf,20.35
40,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,9,0.030:0.030,2,100.0,199044.0,199044.0,0.0,199044.0,inf,19.95
41,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,9,0.030:0.030,2,100.0,199044.0,199044.0,0.0,199044.0,inf,19.95
42,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,9,0.030:0.035,2,100.0,199044.0,199044.0,0.0,199044.0,inf,19.95
43,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,9,0.030:0.035,2,100.0,199044.0,199044.0,0.0,199044.0,inf,19.95
44,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,9,0.030:0.030,2,100.0,195778.0,195778.0,0.0,195778.0,inf,19.65
45,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,9,0.030:0.030,2,100.0,195778.0,195778.0,0.0,195778.0,inf,19.65
46,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,9,0.030:0.035,2,100.0,195778.0,195778.0,0.0,195778.0,inf,19.65
47,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,9,0.030:0.035,2,100.0,195778.0,195778.0,0.0,195778.0,inf,19.65
48,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,10,0.030:0.030,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
49,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,10,0.030:0.030,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
50,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,10,0.030:0.030,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
51,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,10,0.030:0.030,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
52,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,10,0.030:0.035,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
53,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,10,0.030:0.035,1,100.0,185364.0,185364.0,0.0,185364.0,inf,37.17
