rank,percent_beyond,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,0.0349:0.0262,39,100.0,3167458.0,3167458.0,0.0,3167458.0,inf,16.28
2,0.0224:0.0137,273,90.11,35905171.0,19936884.95,12456127.43,7480757.52,1.6006,5.49
3,0.0199:0.0112,373,88.47,55455682.0,24918733.04,19068408.38,5850324.66,1.3068,3.14
4,0.0249:0.0162,182,87.36,25384829.0,14258032.17,11307170.75,2950861.42,1.261,3.25
5,0.0299:0.0212,91,84.62,11095939.0,4589469.01,5710575.91,-1121106.9,0.8037,-2.47
6,0.0324:0.0237,70,84.29,7919301.0,3024722.17,5317388.75,-2292666.58,0.5688,-6.56
7,0.0274:0.0187,120,83.33,17572208.0,6366108.17,9809867.75,-3443759.58,0.6489,-5.75
