rank,percent_beyond,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,0.0355:0.0282,37,100.0,1830536.0,1830536.0,0.0,1830536.0,inf,9.92
2,0.0330:0.0257,47,100.0,3888333.0,3375565.03,0.0,3375565.03,inf,14.39
3,0.0205:0.0132,307,90.88,41776301.0,23756871.9,12579417.98,11177453.93,1.8886,7.3
4,0.0230:0.0157,210,89.05,29056796.0,17315355.74,11307342.75,6008012.99,1.5313,5.73
5,0.0305:0.0232,83,86.75,9320565.0,4149968.17,5317370.75,-1167402.58,0.7805,-2.82
6,0.0255:0.0182,155,86.45,21000035.0,10032167.17,10309099.75,-276932.58,0.9731,-0.36
7,0.0280:0.0207,107,83.18,12735564.0,4595560.85,8809567.75,-4214006.9,0.5217,-7.89
