rank,percent_beyond,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,0.035:0.035,39,100.0,879166.0,879166.0,0.0,879166.0,inf,11.33
2,0.035:0.030,52,100.0,976849.0,976849.0,0.0,976849.0,inf,9.45
3,0.040:0.030,33,100.0,617940.0,617940.0,0.0,617940.0,inf,9.42
4,0.040:0.035,20,100.0,520257.0,520257.0,0.0,520257.0,inf,13.06
5,0.040:0.040,18,100.0,502196.0,502196.0,0.0,502196.0,inf,14.01
6,0.030:0.030,89,98.88,2253125.0,-410360.94,199200.0,-609560.94,-2.06,-3.45
7,0.025:0.030,177,97.18,5376199.0,2654682.0,994483.0,1660199.0,2.6694,4.72
8,0.020:0.030,262,96.18,11909530.0,5749016.58,1857016.03,3892000.55,3.0958,7.47
9,0.020:0.025,287,94.08,13362935.0,6245678.42,2538017.21,3707661.21,2.4608,6.5
10,0.025:0.025,202,94.06,6829604.0,3151343.84,1675484.18,1475859.66,1.8809,3.67
11,0.030:0.025,114,92.98,3706530.0,86300.91,880201.18,-793900.27,0.098,-3.5
12,0.035:0.025,77,90.91,2430254.0,1473510.84,681001.18,792509.66,2.1637,5.18
13,0.020:0.020,333,88.89,17729968.0,6398777.14,6801457.53,-402680.39,0.9408,-0.61
14,0.040:0.025,58,87.93,2071345.0,1114601.84,681001.18,433600.66,1.6367,3.76
15,0.025:0.020,248,87.1,11196637.0,3304442.56,5938924.51,-2634481.95,0.5564,-5.34
16,0.020:0.015,466,85.41,29984326.0,11630270.35,13215626.53,-1585356.18,0.88,-1.71
17,0.015:0.030,397,83.63,26571613.0,5884362.74,12671531.97,-6787169.23,0.4644,-8.6
18,0.025:0.015,381,83.46,23450995.0,8535935.77,12353093.51,-3817157.73,0.691,-5.04
19,0.015:0.025,422,82.94,28025018.0,6381024.59,13352533.15,-6971508.56,0.4779,-8.31
20,0.030:0.020,160,82.5,8073563.0,239399.62,5143641.51,-4904241.88,0.0465,-15.41
21,0.015:0.020,468,80.34,32392051.0,6534123.3,17615973.48,-11081850.17,0.3709,-11.9
22,0.030:0.015,293,79.86,20327921.0,5470892.84,11557810.51,-6086917.67,0.4734,-10.45
23,0.015:0.015,601,79.53,44646409.0,11765616.52,24030142.48,-12264525.96,0.4896,-10.26
24,0.035:0.020,123,78.05,6797287.0,1626609.56,4944441.51,-3317831.95,0.329,-13.56
