rank,percent_beyond,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,0.025:0.030,110,100.0,2896307.0,2896307.0,0.0,2896307.0,inf,13.25
2,0.030:0.030,54,100.0,1244016.0,1244016.0,0.0,1244016.0,inf,11.6
3,0.035:0.030,33,100.0,530046.0,530046.0,0.0,530046.0,inf,8.08
4,0.035:0.035,21,100.0,436647.0,436647.0,0.0,436647.0,inf,10.46
5,0.040:0.030,23,100.0,388691.0,388691.0,0.0,388691.0,inf,8.5
6,0.040:0.040,9,100.0,277231.0,277231.0,0.0,277231.0,inf,15.47
7,0.040:0.035,11,100.0,295292.0,295292.0,0.0,295292.0,inf,13.48
8,0.020:0.030,159,98.74,6753732.0,3518822.58,262620.03,3256202.55,13.3989,10.3
9,0.020:0.025,173,94.8,8026074.0,3834421.42,943621.21,2890800.21,4.0635,8.4
10,0.025:0.025,124,94.35,4168649.0,3211905.84,681001.18,2530904.66,4.7164,10.27
11,0.020:0.015,251,90.04,14822140.0,7090144.03,4777689.53,2312454.5,1.484,4.63
12,0.020:0.020,196,89.8,10551520.0,3928173.14,3777501.53,150671.61,1.0399,0.39
13,0.030:0.025,68,89.71,2516358.0,1559614.84,681001.18,878613.66,2.2902,6.5
14,0.025:0.015,202,88.61,10964715.0,6467628.45,4515069.51,1952558.95,1.4325,4.86
15,0.025:0.020,147,87.76,6694095.0,3305657.56,3514881.51,-209223.95,0.9405,-0.72
16,0.035:0.025,47,85.11,1802388.0,845644.84,681001.18,164643.66,1.2418,1.76
17,0.030:0.015,146,84.25,9312424.0,4815337.45,4515069.51,300267.95,1.0665,1.03
18,0.040:0.025,37,81.08,1661033.0,704289.84,681001.18,23288.66,1.0342,0.32
19,0.030:0.020,91,80.22,5041804.0,1653366.56,3514881.51,-1861514.95,0.4704,-10.29
20,0.015:0.030,235,80.0,16999461.0,802606.74,9087427.97,-8284821.23,0.0883,-17.73
21,0.015:0.015,327,78.59,25067869.0,4373928.2,13602497.48,-9228569.28,0.3216,-14.19
22,0.015:0.025,249,78.31,18271803.0,1118205.59,9768429.15,-8650223.56,0.1145,-17.46
23,0.015:0.020,272,76.1,20797249.0,1211957.3,12602309.48,-11390352.17,0.0962,-21.05
24,0.035:0.020,70,74.29,4327834.0,939396.56,3514881.51,-2575484.95,0.2673,-18.5
