rank,percent_beyond,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,0.0349:0.0262,68,100.0,4527139.0,4527139.0,0.0,4527139.0,inf,13.34
2,0.0324:0.0237,106,88.68,10278632.0,638983.13,5814758.75,-5175775.62,0.1099,-9.79
3,0.0299:0.0212,140,88.57,16845492.0,1675683.21,6255978.91,-4580295.7,0.2679,-6.56
4,0.0224:0.0137,478,87.66,69175568.0,30953123.32,27408334.23,3544789.09,1.1293,1.49
5,0.0199:0.0112,677,84.93,109295365.0,41051567.4,47384435.72,-6332868.32,0.8664,-1.87
6,0.0249:0.0162,304,84.21,44609475.0,15255672.17,23461764.75,-8206092.58,0.6502,-5.41
7,0.0274:0.0187,199,82.41,28707040.0,4342645.17,16973672.75,-12631027.58,0.2558,-12.72
