trial	hash	status	op	score	ann_sharpe	hold_sharpe	ann_roi	max_dd	win_d	improvement_pct	profit_target	stop_loss	apply_dtes	apply_tiers	apply_sides
55	5907e22	discard	rand	10.9799	10.980	11.220	62217.88	0.00	100.00	-2.1	90	300	0,1,2,3	aggressive,conservative,moderate	call,put
56	87adb03	discard	rand	10.7815	10.939	11.220	44796.17	0.43	97.55	-2.5	35	50	0,1	conservative,moderate	call,put
57	2f7f529	discard	rand	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	75	9999	0,1,2	aggressive	call
58	39c98d7	discard	rand	11.0126	11.013	11.220	61027.24	0.00	100.00	-1.8	85	9999	0,1,2,3	aggressive,moderate	call,put
59	793b98e	discard	rand	11.1392	11.139	11.220	58671.58	0.00	100.00	-0.7	70	150	3	moderate	call
60	6ac0d9e	discard	rand	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	80	200	1	aggressive	call
61	93394db	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	90	100	0,1,3	conservative	call
62	cc8250f	discard	swap_tiers	10.5073	10.680	11.220	48077.86	0.48	97.55	-4.8	90	100	0,1,3	conservative,moderate	call,put
63	93394db	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	90	100	0,1,3	conservative	call
64	93394db	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	90	100	0,1,3	conservative	call
65	eb37990	discard	shift_stop_loss	11.6333	11.633	11.220	58467.64	0.00	100.00	+3.7	90	150	0,1,3	conservative	call,put
66	a50a76a	discard	swap_tiers	11.6575	11.657	11.220	58029.41	0.00	100.00	+3.9	90	100	0,1,3	conservative	call,put
67	eb37990	discard	shift_stop_loss	11.6333	11.633	11.220	58467.64	0.00	100.00	+3.7	90	150	0,1,3	conservative	call,put
68	93394db	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	90	100	0,1,3	conservative	call
69	eb37990	discard	shift_stop_loss	11.6333	11.633	11.220	58467.64	0.00	100.00	+3.7	90	150	0,1,3	conservative	call,put
70	368f511	discard	swap_tiers	10.4381	10.548	11.220	54413.89	0.31	97.86	-6.0	90	100	0,1,3	aggressive	call,put
71	dee590d	discard	toggle_dte	11.2819	11.282	11.220	59022.94	0.00	100.00	+0.6	90	100	0,3	conservative	call,put
72	b637594	discard	toggle_dte	11.5694	11.569	11.220	56969.25	0.00	100.00	+3.1	90	100	0,1,2,3	conservative	call,put
73	5c5b075	discard	toggle_dte	11.6145	11.615	11.220	58580.22	0.00	100.00	+3.5	90	100	1,3	conservative	call,put
74	d6e9b4e	discard	shift_stop_loss	11.6000	11.600	11.220	57724.82	0.00	100.00	+3.4	90	50	0,1,3	conservative	call,put
75	eb37990	discard	shift_stop_loss	11.6333	11.633	11.220	58467.64	0.00	100.00	+3.7	90	150	0,1,3	conservative	call,put
76	d6e9b4e	discard	shift_stop_loss	11.6000	11.600	11.220	57724.82	0.00	100.00	+3.4	90	50	0,1,3	conservative	call,put
77	2970383	discard	shift_profit_target	11.6540	11.654	11.220	58068.91	0.00	100.00	+3.9	95	100	0,1,3	conservative	call,put
78	a50a76a	discard	swap_tiers	11.6575	11.657	11.220	58029.41	0.00	100.00	+3.9	90	100	0,1,3	conservative	call,put
79	93394db	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	90	100	0,1,3	conservative	call
80	368f511	discard	swap_tiers	10.4381	10.548	11.220	54413.89	0.31	97.86	-6.0	90	100	0,1,3	aggressive	call,put
81	eb37990	discard	shift_stop_loss	11.6333	11.633	11.220	58467.64	0.00	100.00	+3.7	90	150	0,1,3	conservative	call,put
82	cc8250f	discard	swap_tiers	10.5073	10.680	11.220	48077.86	0.48	97.55	-4.8	90	100	0,1,3	conservative,moderate	call,put
83	2970383	discard	shift_profit_target	11.6540	11.654	11.220	58068.91	0.00	100.00	+3.9	95	100	0,1,3	conservative	call,put
84	65ec58b	discard	swap_tiers	9.0498	9.306	11.220	44462.33	0.83	93.58	-17.1	90	100	0,1,3	aggressive,moderate	call,put
85	2970383	discard	shift_profit_target	11.6540	11.654	11.220	58068.91	0.00	100.00	+3.9	95	100	0,1,3	conservative	call,put
86	36d959c	discard	toggle_dte	11.6575	11.657	11.220	58029.41	0.00	100.00	+3.9	90	100	0,1	conservative	call,put
87	cc8250f	discard	swap_tiers	10.5073	10.680	11.220	48077.86	0.48	97.55	-4.8	90	100	0,1,3	conservative,moderate	call,put
88	994ae4a	discard	toggle_side	11.6575	11.657	11.220	58029.41	0.00	100.00	+3.9	90	100	0,1,3	conservative	put
89	cdb454b	discard	swap_tiers	10.1162	10.277	11.220	49622.19	0.47	97.86	-8.4	90	100	0,1,3	moderate	call,put
90	36d959c	discard	toggle_dte	11.6575	11.657	11.220	58029.41	0.00	100.00	+3.9	90	100	0,1	conservative	call,put
91	368f511	discard	swap_tiers	10.4381	10.548	11.220	54413.89	0.31	97.86	-6.0	90	100	0,1,3	aggressive	call,put
92	a50a76a	discard	swap_tiers	11.6575	11.657	11.220	58029.41	0.00	100.00	+3.9	90	100	0,1,3	conservative	call,put
93	2d41e34	discard	swap_tiers	9.3810	9.657	11.220	42918.01	0.86	93.27	-13.9	90	100	0,1,3	aggressive,conservative,moderate	call,put
94	eb37990	discard	shift_stop_loss	11.6333	11.633	11.220	58467.64	0.00	100.00	+3.7	90	150	0,1,3	conservative	call,put
95	d6e9b4e	discard	shift_stop_loss	11.6000	11.600	11.220	57724.82	0.00	100.00	+3.4	90	50	0,1,3	conservative	call,put
96	cc8250f	discard	swap_tiers	10.5073	10.680	11.220	48077.86	0.48	97.55	-4.8	90	100	0,1,3	conservative,moderate	call,put
97	994ae4a	discard	toggle_side	11.6575	11.657	11.220	58029.41	0.00	100.00	+3.9	90	100	0,1,3	conservative	put
98	d0803e9	keep	shift_profit_target	11.6765	11.676	11.220	57876.93	0.00	100.00	+4.1	80	100	0,1,3	conservative	call,put
99	f55e85d	discard	swap_tiers	10.1556	10.318	11.220	49375.66	0.47	97.86	-8.0	80	100	0,1,3	moderate	call,put
100	f55e85d	discard	swap_tiers	10.1556	10.318	11.220	49375.66	0.47	97.86	-8.0	80	100	0,1,3	moderate	call,put
101	550c39b	discard	shift_profit_target	11.6752	11.675	11.220	57924.98	0.00	100.00	+4.1	85	100	0,1,3	conservative	call,put
102	d0803e9	discard	swap_tiers	11.6765	11.676	11.220	57876.93	0.00	100.00	+4.1	80	100	0,1,3	conservative	call,put
103	7121841	discard	shift_stop_loss	11.6510	11.651	11.220	58312.80	0.00	100.00	+3.8	80	150	0,1,3	conservative	call,put
