trial	hash	status	op	score	ann_sharpe	hold_sharpe	ann_roi	max_dd	win_d	improvement_pct	profit_target	stop_loss	apply_dtes	apply_tiers	apply_sides
61	7d7c24e	discard	swap_tiers	11.3903	11.390	11.220	56835.71	0.00	100.00	+1.5	35	9999	0	aggressive,conservative,moderate	put
62	222b80c	keep	shift_profit_target	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
63	fdf5b0b	discard	swap_tiers	11.3782	11.378	11.220	58122.26	0.00	100.00	+1.4	30	9999	0	conservative,moderate	put
64	222b80c	discard	swap_tiers	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
65	222b80c	discard	toggle_side	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
66	222b80c	discard	toggle_side	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
67	6eba387	discard	toggle_dte	11.1310	11.131	11.220	54810.15	0.00	100.00	-0.8	30	9999	0,1	aggressive,conservative,moderate	put
68	222b80c	discard	toggle_side	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
69	e3dc6e6	discard	toggle_dte	10.9347	10.935	11.220	54932.36	0.00	100.00	-2.5	30	9999	0,2	aggressive,conservative,moderate	put
70	d37b6fe	discard	toggle_side	11.3384	11.338	11.220	55779.03	0.00	100.00	+1.1	30	9999	0	aggressive,conservative,moderate	call,put
71	7817f59	discard	swap_tiers	11.2952	11.295	11.220	59141.65	0.00	100.00	+0.7	30	9999	0	conservative	put
72	c9eaf87	keep	toggle_dte	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
73	a975223	discard	swap_tiers	11.3604	11.360	11.220	56812.35	0.00	100.00	+1.3	30	9999	0,3	aggressive,moderate	put
74	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
75	222b80c	discard	toggle_dte	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
76	1cb4fc9	discard	toggle_dte	11.2609	11.261	11.220	59293.61	0.00	100.00	+0.4	30	9999	3	aggressive,conservative,moderate	put
77	ecd91da	discard	swap_tiers	11.4155	11.416	11.220	57842.14	0.00	100.00	+1.7	30	9999	0,3	conservative,moderate	put
78	e2b12fb	discard	swap_tiers	11.2465	11.246	11.220	58111.87	0.00	100.00	+0.2	30	9999	0,3	aggressive	put
79	0a63142	discard	toggle_dte	10.9581	10.958	11.220	54652.23	0.00	100.00	-2.3	30	9999	0,2,3	aggressive,conservative,moderate	put
