rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
325,30,20,10,7,both,0.015,0.0125,289,91.35,1294760.0,963336.83,1017110.57,-53773.74,0.9471,-0.38
326,20,10,10,6,both,0.015,0.0125,196,89.29,882256.0,740047.15,794076.06,-54028.91,0.932,-0.56
327,10,20,13,8,both,0.015,0.01,293,86.35,3061408.0,1300190.14,1355598.53,-55408.39,0.9591,-0.38
328,20,30,12,6,both,0.025,0.01,412,92.23,2679923.0,1135484.55,1190910.91,-55426.37,0.9535,-0.28
329,30,30,12,6,both,0.025,0.01,412,92.23,2679923.0,1135484.55,1190910.91,-55426.37,0.9535,-0.28
330,30,20,11,7,both,0.015,0.005,562,86.83,5783420.0,2868806.64,2924460.12,-55653.49,0.981,-0.2
331,10,30,12,6,both,0.025,0.01,412,92.23,2679629.0,1135190.55,1190910.91,-55720.37,0.9532,-0.28
332,20,30,9,7,both,0.02,0.01,350,92.0,1410370.0,831256.0,889707.24,-58451.24,0.9343,-0.34
333,10,30,13,6,both,0.02,0.0075,526,90.49,4434712.0,1822240.65,1880762.0,-58521.35,0.9689,-0.23
334,30,30,9,7,both,0.02,0.01,350,92.0,1410289.0,831175.0,889707.24,-58532.24,0.9342,-0.34
335,20,30,8,7,both,0.015,0.01,288,89.93,966246.0,659042.38,717587.88,-58545.5,0.9184,-0.42
336,30,30,7,6,both,0.015,0.0125,135,94.81,255093.0,190804.29,251318.46,-60514.18,0.7592,-0.92
337,20,30,10,8,both,0.015,0.0125,220,89.55,1204598.0,830547.16,891922.84,-61375.68,0.9312,-0.57
338,20,30,9,7,both,0.015,0.0075,469,88.91,2802014.0,1667026.61,1728787.12,-61760.51,0.9643,-0.27
339,30,10,13,7,both,0.015,0.0125,211,90.52,1772196.0,933167.69,995311.0,-62143.31,0.9376,-0.59
340,30,10,10,6,both,0.015,0.0125,196,89.8,864671.0,724847.51,789932.32,-65084.81,0.9176,-0.67
341,30,30,13,9,both,0.015,0.005,382,83.51,6559343.0,2663213.87,2731906.42,-68692.55,0.9749,-0.37
342,30,30,12,6,both,0.02,0.0125,322,94.1,1794768.0,703956.2,773681.55,-69725.36,0.9099,-0.44
343,10,20,12,6,both,0.015,0.0125,319,91.54,2076387.0,1034945.79,1104856.21,-69910.41,0.9367,-0.44
344,20,20,11,7,both,0.015,0.005,562,86.65,5831160.0,2903492.83,2973693.23,-70200.4,0.9764,-0.25
345,30,30,9,7,both,0.015,0.0075,469,88.91,2791174.0,1657468.23,1727974.01,-70505.79,0.9592,-0.31
346,30,30,9,6,both,0.02,0.01,400,92.5,1518244.0,910666.0,982623.32,-71957.32,0.9268,-0.37
347,30,10,8,7,both,0.015,0.01,139,90.65,401893.0,356683.16,428954.61,-72271.45,0.8315,-1.05
348,20,30,9,6,both,0.02,0.01,400,92.5,1517906.0,910328.0,982623.32,-72295.32,0.9264,-0.37
349,30,10,9,6,both,0.015,0.0125,174,90.23,663024.0,566129.58,641789.32,-75659.74,0.8821,-0.88
350,20,30,13,6,both,0.025,0.0075,523,90.44,4417177.0,1804705.65,1880762.0,-76056.35,0.9596,-0.3
351,30,30,13,6,both,0.025,0.0075,523,90.44,4417177.0,1804705.65,1880762.0,-76056.35,0.9596,-0.3
352,20,30,10,6,both,0.025,0.01,406,92.36,1909343.0,1033861.87,1110126.29,-76264.42,0.9313,-0.39
353,30,30,10,6,both,0.025,0.01,406,92.36,1909343.0,1033861.87,1110126.29,-76264.42,0.9313,-0.39
354,10,30,13,6,both,0.025,0.0075,523,90.44,4416908.0,1804436.65,1880762.0,-76325.35,0.9594,-0.3
355,20,30,12,6,both,0.02,0.0075,526,90.49,4043145.0,1766320.6,1843512.95,-77192.35,0.9581,-0.3
356,20,30,12,9,both,0.015,0.0125,182,85.16,1960042.0,812284.6,889676.54,-77391.94,0.913,-0.87
357,30,20,8,7,both,0.015,0.0125,211,92.89,571615.0,464989.16,542667.22,-77678.07,0.8569,-0.75
358,10,30,10,6,both,0.025,0.01,406,92.36,1907517.0,1032035.87,1110126.29,-78090.42,0.9297,-0.4
359,20,30,13,7,both,0.02,0.0125,287,92.68,1949719.0,663135.2,744482.8,-81347.6,0.8907,-0.58
360,10,30,9,7,both,0.02,0.01,350,92.0,1387422.0,808308.0,889707.24,-81399.24,0.9085,-0.48
361,20,30,11,7,both,0.025,0.01,357,91.04,2384328.0,1008687.91,1090227.05,-81539.14,0.9252,-0.47
362,30,30,11,7,both,0.025,0.01,357,91.04,2384328.0,1008687.91,1090227.05,-81539.14,0.9252,-0.47
363,30,30,9,6,both,0.02,0.0125,312,94.87,851459.0,571537.0,653147.73,-81610.73,0.8751,-0.54
364,20,10,10,7,both,0.015,0.0125,189,88.89,866809.0,729208.15,810834.94,-81626.79,0.8993,-0.87
365,10,30,11,7,both,0.025,0.01,357,91.04,2383947.0,1008306.91,1090227.05,-81920.14,0.9249,-0.47
366,20,30,9,6,both,0.02,0.0125,312,94.87,850986.0,571064.0,653147.73,-82083.73,0.8743,-0.54
367,20,10,9,6,both,0.015,0.0125,174,89.66,662892.0,563672.28,645933.06,-82260.78,0.8726,-0.95
368,20,30,7,6,both,0.015,0.0125,135,94.07,235588.0,170063.41,254649.1,-84585.68,0.6678,-1.29
369,30,30,12,9,both,0.015,0.01,236,84.75,2677159.0,1113037.72,1199863.05,-86825.33,0.9276,-0.75
