rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,20,20,13,6,both,0.015,0.005,95,88.42,2282311.0,1752495.62,508668.99,1243826.62,3.4453,26.49
2,10,20,13,6,both,0.015,0.005,95,88.42,2242782.0,1712966.62,508668.99,1204297.62,3.3675,25.62
3,30,20,13,6,both,0.015,0.005,95,88.42,2228945.0,1699129.62,508668.99,1190460.62,3.3403,25.35
4,20,20,12,6,both,0.015,0.005,95,88.42,2207729.0,1689453.62,510208.99,1179244.62,3.3113,25.1
5,30,20,12,6,both,0.015,0.005,95,88.42,2205133.0,1686857.62,510208.99,1176648.62,3.3062,25.05
6,20,10,13,6,both,0.015,0.005,95,88.42,2223186.0,1705543.2,548032.0,1157511.2,3.1121,24.55
7,30,20,11,6,both,0.015,0.005,95,89.47,2102864.0,1640773.62,496602.0,1144171.62,3.304,24.37
8,20,20,11,6,both,0.015,0.005,95,89.47,2102367.0,1640276.62,496602.0,1143674.62,3.303,24.36
9,10,20,12,6,both,0.015,0.005,95,88.42,2161790.0,1643514.62,510208.99,1133305.62,3.2213,24.1
10,10,20,11,6,both,0.015,0.005,95,89.47,2090428.0,1628337.62,496602.0,1131735.62,3.279,24.08
11,10,10,13,6,both,0.015,0.005,95,88.42,2183942.0,1666299.2,548032.0,1118267.2,3.0405,23.69
12,10,20,13,6,both,0.02,0.005,95,88.42,2154072.0,1624256.62,508668.99,1115587.62,3.1932,23.76
13,20,20,13,6,both,0.02,0.005,95,88.42,2154072.0,1624256.62,508668.99,1115587.62,3.1932,23.76
14,30,20,13,6,both,0.02,0.005,95,88.42,2154072.0,1624256.62,508668.99,1115587.62,3.1932,23.76
15,10,20,13,6,both,0.025,0.005,95,88.42,2154072.0,1624256.62,508668.99,1115587.62,3.1932,23.76
16,20,20,13,6,both,0.025,0.005,95,88.42,2154072.0,1624256.62,508668.99,1115587.62,3.1932,23.76
17,30,20,13,6,both,0.025,0.005,95,88.42,2154072.0,1624256.62,508668.99,1115587.62,3.1932,23.76
18,10,20,12,6,both,0.02,0.005,95,88.42,2135800.0,1617524.62,510208.99,1107315.62,3.1703,23.57
19,20,20,12,6,both,0.02,0.005,95,88.42,2135800.0,1617524.62,510208.99,1107315.62,3.1703,23.57
20,30,20,12,6,both,0.02,0.005,95,88.42,2135800.0,1617524.62,510208.99,1107315.62,3.1703,23.57
21,10,20,12,6,both,0.025,0.005,95,88.42,2135800.0,1617524.62,510208.99,1107315.62,3.1703,23.57
22,20,20,12,6,both,0.025,0.005,95,88.42,2135800.0,1617524.62,510208.99,1107315.62,3.1703,23.57
23,30,20,12,6,both,0.025,0.005,95,88.42,2135800.0,1617524.62,510208.99,1107315.62,3.1703,23.57
24,10,20,11,6,both,0.02,0.005,95,89.47,2064438.0,1602347.62,496602.0,1105745.62,3.2266,23.55
25,20,20,11,6,both,0.02,0.005,95,89.47,2064438.0,1602347.62,496602.0,1105745.62,3.2266,23.55
26,30,20,11,6,both,0.02,0.005,95,89.47,2064438.0,1602347.62,496602.0,1105745.62,3.2266,23.55
27,10,20,11,6,both,0.025,0.005,95,89.47,2064438.0,1602347.62,496602.0,1105745.62,3.2266,23.55
28,20,20,11,6,both,0.025,0.005,95,89.47,2064438.0,1602347.62,496602.0,1105745.62,3.2266,23.55
29,30,20,11,6,both,0.025,0.005,95,89.47,2064438.0,1602347.62,496602.0,1105745.62,3.2266,23.55
30,30,10,13,6,both,0.015,0.005,95,88.42,2169820.0,1652177.2,548032.0,1104145.2,3.0147,23.42
31,20,10,12,6,both,0.015,0.005,95,88.42,2166876.0,1649233.2,548032.0,1101201.2,3.0094,23.36
32,30,10,12,6,both,0.015,0.005,95,88.42,2164280.0,1646637.2,548032.0,1098605.2,3.0046,23.3
33,30,10,11,6,both,0.015,0.005,95,89.47,2001572.0,1571948.0,498376.0,1073572.0,3.1541,22.78
34,20,10,11,6,both,0.015,0.005,95,89.47,2000515.0,1570891.0,498376.0,1072515.0,3.152,22.76
35,10,10,11,6,both,0.015,0.005,95,89.47,1989136.0,1559512.0,498376.0,1061136.0,3.1292,22.49
36,20,10,9,6,both,0.015,0.005,95,90.53,1792156.0,1456151.0,398697.54,1057453.46,3.6523,22.44
37,10,10,12,6,both,0.015,0.005,95,88.42,2122332.0,1604689.2,548032.0,1056657.2,2.9281,22.39
38,30,10,9,6,both,0.015,0.005,95,90.53,1791213.0,1455208.0,398697.54,1056510.46,3.6499,22.42
39,20,20,13,6,both,0.015,0.0075,95,91.58,1800357.0,1421375.91,366876.13,1054499.77,3.8743,22.5
40,20,20,12,6,both,0.015,0.0075,95,92.63,1732759.0,1364381.91,317480.13,1046901.77,4.2975,22.34
41,20,20,13,7,both,0.015,0.005,95,88.42,2084828.0,1555012.62,508668.99,1046343.62,3.057,22.29
42,30,20,12,6,both,0.015,0.0075,95,92.63,1730111.0,1361733.91,317480.13,1044253.77,4.2892,22.28
43,10,10,9,6,both,0.015,0.005,95,90.53,1777097.0,1441092.0,398697.54,1042394.46,3.6145,22.09
44,10,10,11,6,both,0.02,0.005,95,89.47,1964536.0,1534912.0,498376.0,1036536.0,3.0798,21.97
45,20,10,11,6,both,0.02,0.005,95,89.47,1964536.0,1534912.0,498376.0,1036536.0,3.0798,21.97
46,30,10,11,6,both,0.02,0.005,95,89.47,1964536.0,1534912.0,498376.0,1036536.0,3.0798,21.97
47,10,10,11,6,both,0.025,0.005,95,89.47,1964536.0,1534912.0,498376.0,1036536.0,3.0798,21.97
48,20,10,11,6,both,0.025,0.005,95,89.47,1964536.0,1534912.0,498376.0,1036536.0,3.0798,21.97
49,30,10,11,6,both,0.025,0.005,95,89.47,1964536.0,1534912.0,498376.0,1036536.0,3.0798,21.97
50,10,10,12,6,both,0.02,0.005,95,88.42,2097732.0,1580089.2,548032.0,1032057.2,2.8832,21.88
51,10,10,13,6,both,0.02,0.005,95,88.42,2097732.0,1580089.2,548032.0,1032057.2,2.8832,21.88
52,20,10,12,6,both,0.02,0.005,95,88.42,2097732.0,1580089.2,548032.0,1032057.2,2.8832,21.88
53,20,10,13,6,both,0.02,0.005,95,88.42,2097732.0,1580089.2,548032.0,1032057.2,2.8832,21.88
54,30,10,12,6,both,0.02,0.005,95,88.42,2097732.0,1580089.2,548032.0,1032057.2,2.8832,21.88
55,30,10,13,6,both,0.02,0.005,95,88.42,2097732.0,1580089.2,548032.0,1032057.2,2.8832,21.88
56,10,10,12,6,both,0.025,0.005,95,88.42,2097732.0,1580089.2,548032.0,1032057.2,2.8832,21.88
57,10,10,13,6,both,0.025,0.005,95,88.42,2097732.0,1580089.2,548032.0,1032057.2,2.8832,21.88
58,20,10,12,6,both,0.025,0.005,95,88.42,2097732.0,1580089.2,548032.0,1032057.2,2.8832,21.88
59,20,10,13,6,both,0.025,0.005,95,88.42,2097732.0,1580089.2,548032.0,1032057.2,2.8832,21.88
60,30,10,12,6,both,0.025,0.005,95,88.42,2097732.0,1580089.2,548032.0,1032057.2,2.8832,21.88
61,30,10,13,6,both,0.025,0.005,95,88.42,2097732.0,1580089.2,548032.0,1032057.2,2.8832,21.88
62,10,20,13,6,both,0.015,0.0075,95,91.58,1760828.0,1381846.91,366876.13,1014970.77,3.7665,21.64
63,10,10,9,6,both,0.02,0.005,95,90.53,1746679.0,1410674.0,398697.54,1011976.46,3.5382,21.46
64,20,10,9,6,both,0.02,0.005,95,90.53,1746679.0,1410674.0,398697.54,1011976.46,3.5382,21.46
65,30,10,9,6,both,0.02,0.005,95,90.53,1746679.0,1410674.0,398697.54,1011976.46,3.5382,21.46
66,10,10,9,6,both,0.025,0.005,95,90.53,1746679.0,1410674.0,398697.54,1011976.46,3.5382,21.46
67,20,10,9,6,both,0.025,0.005,95,90.53,1746679.0,1410674.0,398697.54,1011976.46,3.5382,21.46
68,30,10,9,6,both,0.025,0.005,95,90.53,1746679.0,1410674.0,398697.54,1011976.46,3.5382,21.46
69,10,20,13,7,both,0.015,0.005,95,88.42,2039967.0,1510151.62,508668.99,1001482.62,2.9688,21.3
70,30,20,13,6,both,0.015,0.0075,95,91.58,1746939.0,1367957.91,366876.13,1001081.77,3.7287,21.36
71,10,20,12,6,both,0.015,0.0075,95,92.63,1685893.0,1317515.91,317480.13,1000035.77,4.1499,21.32
72,20,10,13,7,both,0.015,0.005,95,89.47,1949915.0,1494432.2,498192.0,996240.2,2.9997,21.14
73,30,20,13,7,both,0.015,0.005,95,88.42,2032038.0,1502222.62,508668.99,993553.62,2.9532,21.18
74,20,20,11,6,both,0.015,0.0075,95,92.63,1672321.0,1307343.91,316880.13,990463.77,4.1257,21.14
75,30,20,11,6,both,0.015,0.0075,95,92.63,1671839.0,1306861.91,316880.13,989981.77,4.1242,21.13
76,10,20,11,6,both,0.015,0.0075,95,92.63,1659455.0,1294477.91,316880.13,977597.77,4.0851,20.85
77,20,20,12,7,both,0.015,0.005,95,88.42,2004396.0,1486120.62,510208.99,975911.62,2.9128,20.78
78,30,20,12,7,both,0.015,0.005,95,88.42,1999826.0,1481550.62,510208.99,971341.62,2.9038,20.69
79,10,20,12,6,both,0.02,0.0075,95,92.63,1654864.0,1286486.91,317480.13,969006.77,4.0522,20.68
80,20,20,12,6,both,0.02,0.0075,95,92.63,1654864.0,1286486.91,317480.13,969006.77,4.0522,20.68
81,30,20,12,6,both,0.02,0.0075,95,92.63,1654864.0,1286486.91,317480.13,969006.77,4.0522,20.68
82,10,20,12,6,both,0.025,0.0075,95,92.63,1654864.0,1286486.91,317480.13,969006.77,4.0522,20.68
83,20,20,12,6,both,0.025,0.0075,95,92.63,1654864.0,1286486.91,317480.13,969006.77,4.0522,20.68
84,30,20,12,6,both,0.025,0.0075,95,92.63,1654864.0,1286486.91,317480.13,969006.77,4.0522,20.68
85,10,10,13,7,both,0.015,0.005,95,89.47,1906397.0,1450914.2,498192.0,952722.2,2.9124,20.19
86,10,20,11,6,both,0.02,0.0075,95,92.63,1628426.0,1263448.91,316880.13,946568.77,3.9872,20.21
87,20,20,11,6,both,0.02,0.0075,95,92.63,1628426.0,1263448.91,316880.13,946568.77,3.9872,20.21
88,30,20,11,6,both,0.02,0.0075,95,92.63,1628426.0,1263448.91,316880.13,946568.77,3.9872,20.21
89,10,20,11,6,both,0.025,0.0075,95,92.63,1628426.0,1263448.91,316880.13,946568.77,3.9872,20.21
90,20,20,11,6,both,0.025,0.0075,95,92.63,1628426.0,1263448.91,316880.13,946568.77,3.9872,20.21
91,30,20,11,6,both,0.025,0.0075,95,92.63,1628426.0,1263448.91,316880.13,946568.77,3.9872,20.21
92,20,10,13,6,both,0.015,0.0075,95,91.58,1768326.0,1345334.73,398881.0,946453.73,3.3728,20.08
93,30,10,13,7,both,0.015,0.005,95,89.47,1897125.0,1441642.2,498192.0,943450.2,2.8937,20.03
94,20,10,10,6,both,0.015,0.005,95,88.42,1885377.0,1440503.0,498828.54,941674.46,2.8878,19.98
95,30,10,10,6,both,0.015,0.005,95,88.42,1885184.0,1440310.0,498828.54,941481.46,2.8874,19.97
96,20,20,10,6,both,0.015,0.005,95,88.42,1953101.0,1484828.0,546727.0,938101.0,2.7158,19.99
97,30,20,10,6,both,0.015,0.005,95,88.42,1952671.0,1484398.0,546727.0,937671.0,2.7151,19.98
98,20,10,12,7,both,0.015,0.005,95,89.47,1888590.0,1433107.2,498192.0,934915.2,2.8766,19.84
99,20,20,11,7,both,0.015,0.005,95,89.47,1891193.0,1429102.62,496602.0,932500.62,2.8778,19.86
100,30,20,11,7,both,0.015,0.005,95,89.47,1889696.0,1427605.62,496602.0,931003.62,2.8747,19.84
101,30,10,12,7,both,0.015,0.005,95,89.47,1884580.0,1429097.2,498192.0,930905.2,2.8686,19.76
102,10,20,12,7,both,0.015,0.005,95,88.42,1958395.0,1440119.62,510208.99,929910.62,2.8226,19.77
103,10,10,10,6,both,0.015,0.005,95,88.42,1872748.0,1427874.0,498828.54,929045.46,2.8625,19.68
104,10,20,10,6,both,0.015,0.005,95,88.42,1940235.0,1471962.0,546727.0,925235.0,2.6923,19.69
105,10,20,11,7,both,0.015,0.005,95,89.47,1879752.0,1417661.62,496602.0,921059.62,2.8547,19.6
106,10,20,13,6,both,0.02,0.0075,95,91.58,1666152.0,1287170.91,366876.13,920294.77,3.5085,19.65
107,20,20,13,6,both,0.02,0.0075,95,91.58,1666152.0,1287170.91,366876.13,920294.77,3.5085,19.65
108,30,20,13,6,both,0.02,0.0075,95,91.58,1666152.0,1287170.91,366876.13,920294.77,3.5085,19.65
109,10,20,13,6,both,0.025,0.0075,95,91.58,1666152.0,1287170.91,366876.13,920294.77,3.5085,19.65
110,20,20,13,6,both,0.025,0.0075,95,91.58,1666152.0,1287170.91,366876.13,920294.77,3.5085,19.65
111,30,20,13,6,both,0.025,0.0075,95,91.58,1666152.0,1287170.91,366876.13,920294.77,3.5085,19.65
112,10,10,13,6,both,0.015,0.0075,95,91.58,1728745.0,1305753.73,398881.0,906872.73,3.2735,19.22
113,20,20,13,7,both,0.02,0.005,95,88.42,1942160.0,1412344.62,508668.99,903675.62,2.7765,19.26
114,30,20,13,7,both,0.02,0.005,95,88.42,1942160.0,1412344.62,508668.99,903675.62,2.7765,19.26
115,10,20,13,7,both,0.02,0.005,95,88.42,1942030.0,1412214.62,508668.99,903545.62,2.7763,19.25
116,10,20,13,7,both,0.025,0.005,95,88.42,1942030.0,1412214.62,508668.99,903545.62,2.7763,19.25
117,20,20,13,7,both,0.025,0.005,95,88.42,1942030.0,1412214.62,508668.99,903545.62,2.7763,19.25
118,30,20,13,7,both,0.025,0.005,95,88.42,1942030.0,1412214.62,508668.99,903545.62,2.7763,19.25
119,10,10,10,6,both,0.02,0.005,95,88.42,1844588.0,1399714.0,498828.54,900885.46,2.806,19.09
120,20,10,10,6,both,0.02,0.005,95,88.42,1844588.0,1399714.0,498828.54,900885.46,2.806,19.09
121,30,10,10,6,both,0.02,0.005,95,88.42,1844588.0,1399714.0,498828.54,900885.46,2.806,19.09
122,10,10,10,6,both,0.025,0.005,95,88.42,1844588.0,1399714.0,498828.54,900885.46,2.806,19.09
123,20,10,10,6,both,0.025,0.005,95,88.42,1844588.0,1399714.0,498828.54,900885.46,2.806,19.09
124,30,10,10,6,both,0.025,0.005,95,88.42,1844588.0,1399714.0,498828.54,900885.46,2.806,19.09
125,20,20,13,6,both,0.015,0.01,95,94.74,1498635.0,1148271.0,247636.0,900635.0,4.6369,19.22
126,20,10,11,6,both,0.015,0.0075,95,92.63,1616212.0,1245564.73,349225.0,896339.73,3.5667,19.02
127,20,20,12,7,both,0.02,0.005,95,88.42,1923888.0,1405612.62,510208.99,895403.62,2.755,19.07
128,30,20,12,7,both,0.02,0.005,95,88.42,1923888.0,1405612.62,510208.99,895403.62,2.755,19.07
129,30,10,11,6,both,0.015,0.0075,95,92.63,1615217.0,1244569.73,349225.0,895344.73,3.5638,19.0
130,10,20,12,7,both,0.02,0.005,95,88.42,1923758.0,1405482.62,510208.99,895273.62,2.7547,19.07
131,10,20,12,7,both,0.025,0.005,95,88.42,1923758.0,1405482.62,510208.99,895273.62,2.7547,19.07
132,20,20,12,7,both,0.025,0.005,95,88.42,1923758.0,1405482.62,510208.99,895273.62,2.7547,19.07
133,30,20,12,7,both,0.025,0.005,95,88.42,1923758.0,1405482.62,510208.99,895273.62,2.7547,19.07
134,10,20,10,6,both,0.02,0.005,95,88.42,1909860.0,1441587.0,546727.0,894860.0,2.6368,19.07
135,20,20,10,6,both,0.02,0.005,95,88.42,1909860.0,1441587.0,546727.0,894860.0,2.6368,19.07
