rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,20,10,7,6,both,0.015,0.01,1,100.0,132.0,132.0,0.0,132.0,inf,0.27
2,30,10,7,6,both,0.015,0.01,1,100.0,132.0,132.0,0.0,132.0,inf,0.27
3,20,10,7,6,both,0.015,0.0125,1,100.0,132.0,132.0,0.0,132.0,inf,0.27
4,30,10,7,6,both,0.015,0.0125,1,100.0,132.0,132.0,0.0,132.0,inf,0.27
5,10,10,9,8,both,0.015,0.0125,1,0.0,1683.0,0.0,49317.0,-49317.0,0.0,-100.0
6,20,10,9,8,both,0.015,0.0125,1,0.0,1683.0,0.0,49317.0,-49317.0,0.0,-100.0
7,30,10,9,8,both,0.015,0.0125,1,0.0,1683.0,0.0,49317.0,-49317.0,0.0,-100.0
8,10,10,9,8,both,0.02,0.0125,1,0.0,1683.0,0.0,49317.0,-49317.0,0.0,-100.0
9,20,10,9,8,both,0.02,0.0125,1,0.0,1683.0,0.0,49317.0,-49317.0,0.0,-100.0
10,30,10,9,8,both,0.02,0.0125,1,0.0,1683.0,0.0,49317.0,-49317.0,0.0,-100.0
11,10,10,9,8,both,0.025,0.0125,1,0.0,1683.0,0.0,49317.0,-49317.0,0.0,-100.0
12,20,10,9,8,both,0.025,0.0125,1,0.0,1683.0,0.0,49317.0,-49317.0,0.0,-100.0
13,30,10,9,8,both,0.025,0.0125,1,0.0,1683.0,0.0,49317.0,-49317.0,0.0,-100.0
14,10,10,9,8,both,0.015,0.01,1,0.0,3551.0,0.0,49449.0,-49449.0,0.0,-100.0
15,20,10,9,8,both,0.015,0.01,1,0.0,3551.0,0.0,49449.0,-49449.0,0.0,-100.0
16,30,10,9,8,both,0.015,0.01,1,0.0,3551.0,0.0,49449.0,-49449.0,0.0,-100.0
17,10,10,9,8,both,0.02,0.01,1,0.0,3551.0,0.0,49449.0,-49449.0,0.0,-100.0
18,20,10,9,8,both,0.02,0.01,1,0.0,3551.0,0.0,49449.0,-49449.0,0.0,-100.0
19,30,10,9,8,both,0.02,0.01,1,0.0,3551.0,0.0,49449.0,-49449.0,0.0,-100.0
20,10,10,9,8,both,0.025,0.01,1,0.0,3551.0,0.0,49449.0,-49449.0,0.0,-100.0
