rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
2549,10,10,11,10,both,0.015,0.005,39,89.74,323707.0,162081.0,199374.0,-37293.0,0.8129,-1.93
2550,20,30,12,7,both,0.02,0.005,45,82.22,892594.0,357195.0,394601.0,-37406.0,0.9052,-1.7
2551,30,30,12,7,both,0.02,0.005,45,82.22,892594.0,357195.0,394601.0,-37406.0,0.9052,-1.7
2552,10,10,13,11,both,0.02,0.01,18,77.78,311337.0,162078.89,199507.0,-37428.11,0.8124,-4.18
2553,10,30,9,6,both,0.025,0.0075,45,82.22,734758.0,313417.0,351114.8,-37697.8,0.8926,-1.71
2554,20,30,9,6,both,0.025,0.0075,45,82.22,734758.0,313417.0,351114.8,-37697.8,0.8926,-1.71
2555,30,30,9,6,both,0.025,0.0075,45,82.22,734758.0,313417.0,351114.8,-37697.8,0.8926,-1.71
2556,10,30,12,7,both,0.02,0.005,45,82.22,892204.0,356805.0,394601.0,-37796.0,0.9042,-1.72
2557,10,30,12,7,both,0.025,0.005,45,82.22,892204.0,356805.0,394601.0,-37796.0,0.9042,-1.72
2558,20,30,12,7,both,0.025,0.005,45,82.22,892204.0,356805.0,394601.0,-37796.0,0.9042,-1.72
2559,30,30,12,7,both,0.025,0.005,45,82.22,892204.0,356805.0,394601.0,-37796.0,0.9042,-1.72
2560,30,30,10,9,both,0.015,0.0125,37,89.19,304864.0,157927.0,196063.0,-38136.0,0.8055,-2.11
2561,10,10,13,11,both,0.025,0.01,18,77.78,310081.0,160822.89,199507.0,-38684.11,0.8061,-4.33
2562,20,10,11,10,both,0.015,0.005,39,89.74,322308.0,160682.0,199374.0,-38692.0,0.8059,-2.0
2563,20,30,13,7,both,0.02,0.005,45,82.22,912128.0,357195.0,396067.0,-38872.0,0.9019,-1.77
2564,30,30,13,7,both,0.02,0.005,45,82.22,912128.0,357195.0,396067.0,-38872.0,0.9019,-1.77
2565,30,10,11,10,both,0.015,0.005,39,89.74,322113.0,160487.0,199374.0,-38887.0,0.805,-2.02
2566,10,30,13,7,both,0.02,0.005,45,82.22,911920.0,356987.0,396067.0,-39080.0,0.9013,-1.78
2567,10,30,13,7,both,0.025,0.005,45,82.22,911920.0,356987.0,396067.0,-39080.0,0.9013,-1.78
2568,10,30,11,10,both,0.02,0.005,34,85.29,473784.0,207714.0,246930.0,-39216.0,0.8412,-2.37
2569,20,30,11,10,both,0.02,0.005,34,85.29,473784.0,207714.0,246930.0,-39216.0,0.8412,-2.37
2570,30,30,11,10,both,0.02,0.005,34,85.29,473784.0,207714.0,246930.0,-39216.0,0.8412,-2.37
2571,10,30,11,10,both,0.025,0.005,34,85.29,473784.0,207714.0,246930.0,-39216.0,0.8412,-2.37
2572,20,30,11,10,both,0.025,0.005,34,85.29,473784.0,207714.0,246930.0,-39216.0,0.8412,-2.37
2573,30,30,11,10,both,0.025,0.005,34,85.29,473784.0,207714.0,246930.0,-39216.0,0.8412,-2.37
2574,20,30,13,7,both,0.025,0.005,45,82.22,911738.0,356805.0,396067.0,-39262.0,0.9009,-1.78
2575,30,30,13,7,both,0.025,0.005,45,82.22,911738.0,356805.0,396067.0,-39262.0,0.9009,-1.78
