rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
2381,10,10,12,6,both,0.015,0.01,16,68.75,304581.0,28111.0,248530.0,-220419.0,0.1131,-27.73
2382,10,10,12,7,both,0.015,0.01,16,68.75,304581.0,28111.0,248530.0,-220419.0,0.1131,-27.73
2383,30,10,13,10,both,0.015,0.0125,11,54.55,292563.0,28633.0,249070.0,-220437.0,0.115,-40.34
2384,20,10,12,9,both,0.015,0.01,11,54.55,304432.0,27962.0,248530.0,-220568.0,0.1125,-40.43
2385,10,30,12,7,both,0.015,0.0125,17,70.59,346143.0,25083.0,245940.0,-220857.0,0.102,-26.52
2386,10,20,10,6,both,0.015,0.0125,21,76.19,112948.0,24842.0,245894.0,-221052.0,0.101,-21.29
2387,10,30,10,7,both,0.02,0.0125,15,66.67,114938.0,21504.0,242566.0,-221062.0,0.0887,-30.3
2388,20,30,10,7,both,0.02,0.0125,15,66.67,114938.0,21504.0,242566.0,-221062.0,0.0887,-30.3
2389,30,30,10,7,both,0.02,0.0125,15,66.67,114938.0,21504.0,242566.0,-221062.0,0.0887,-30.3
2390,10,30,10,7,both,0.025,0.0125,15,66.67,114938.0,21504.0,242566.0,-221062.0,0.0887,-30.3
2391,20,30,10,7,both,0.025,0.0125,15,66.67,114938.0,21504.0,242566.0,-221062.0,0.0887,-30.3
2392,30,30,10,7,both,0.025,0.0125,15,66.67,114938.0,21504.0,242566.0,-221062.0,0.0887,-30.3
2393,20,20,12,8,both,0.015,0.0125,11,54.55,346866.0,27558.0,248692.0,-221134.0,0.1108,-40.71
2394,10,30,11,6,both,0.02,0.0125,20,75.0,255861.0,23357.0,244496.0,-221139.0,0.0955,-22.76
2395,20,30,11,6,both,0.02,0.0125,20,75.0,255861.0,23357.0,244496.0,-221139.0,0.0955,-22.76
2396,30,30,11,6,both,0.02,0.0125,20,75.0,255861.0,23357.0,244496.0,-221139.0,0.0955,-22.76
2397,10,30,11,6,both,0.025,0.0125,20,75.0,255861.0,23357.0,244496.0,-221139.0,0.0955,-22.76
2398,20,30,11,6,both,0.025,0.0125,20,75.0,255861.0,23357.0,244496.0,-221139.0,0.0955,-22.76
2399,30,30,11,6,both,0.025,0.0125,20,75.0,255861.0,23357.0,244496.0,-221139.0,0.0955,-22.76
2400,10,10,11,7,both,0.015,0.01,16,68.75,242823.0,27001.0,248178.0,-221177.0,0.1088,-27.83
2401,10,10,11,6,both,0.015,0.01,16,68.75,242823.0,27001.0,248178.0,-221177.0,0.1088,-27.83
2402,20,20,10,6,both,0.015,0.0125,22,77.27,112806.0,24700.0,245894.0,-221194.0,0.1004,-20.35
2403,30,20,10,6,both,0.015,0.0125,22,77.27,112806.0,24700.0,245894.0,-221194.0,0.1004,-20.35
2404,20,10,11,6,both,0.015,0.01,17,70.59,242681.0,26859.0,248178.0,-221319.0,0.1082,-26.23
2405,30,10,11,6,both,0.015,0.01,17,70.59,242681.0,26859.0,248178.0,-221319.0,0.1082,-26.23
2406,20,10,11,7,both,0.015,0.01,16,68.75,242549.0,26727.0,248178.0,-221451.0,0.1077,-27.87
2407,30,10,11,7,both,0.015,0.01,16,68.75,242549.0,26727.0,248178.0,-221451.0,0.1077,-27.87
2408,20,20,13,9,both,0.02,0.0125,11,54.55,367013.0,15345.0,236800.0,-221455.0,0.0648,-40.82
2409,30,20,13,9,both,0.02,0.0125,11,54.55,367013.0,15345.0,236800.0,-221455.0,0.0648,-40.82
2410,10,30,13,7,both,0.015,0.0125,17,70.59,369294.0,25083.0,246789.0,-221706.0,0.1016,-26.59
2411,20,30,12,6,both,0.02,0.0125,21,76.19,345176.0,24116.0,245940.0,-221824.0,0.0981,-21.71
2412,30,30,12,6,both,0.02,0.0125,21,76.19,345176.0,24116.0,245940.0,-221824.0,0.0981,-21.71
2413,10,30,10,8,both,0.015,0.0125,10,50.0,99056.0,20156.0,242100.0,-221944.0,0.0833,-45.96
2414,20,30,10,8,both,0.015,0.0125,10,50.0,99056.0,20156.0,242100.0,-221944.0,0.0833,-45.96
2415,30,30,10,8,both,0.015,0.0125,10,50.0,99056.0,20156.0,242100.0,-221944.0,0.0833,-45.96
2416,10,30,10,8,both,0.02,0.0125,10,50.0,99056.0,20156.0,242100.0,-221944.0,0.0833,-45.96
2417,20,30,10,8,both,0.02,0.0125,10,50.0,99056.0,20156.0,242100.0,-221944.0,0.0833,-45.96
2418,30,30,10,8,both,0.02,0.0125,10,50.0,99056.0,20156.0,242100.0,-221944.0,0.0833,-45.96
2419,10,30,10,8,both,0.025,0.0125,10,50.0,99056.0,20156.0,242100.0,-221944.0,0.0833,-45.96
2420,20,30,10,8,both,0.025,0.0125,10,50.0,99056.0,20156.0,242100.0,-221944.0,0.0833,-45.96
2421,30,30,10,8,both,0.025,0.0125,10,50.0,99056.0,20156.0,242100.0,-221944.0,0.0833,-45.96
2422,30,10,13,11,both,0.015,0.0125,8,37.5,285043.0,27263.0,249220.0,-221957.0,0.1094,-55.91
