rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,30,30,13,6,both,0.015,0.01,231,91.34,1974827.0,1013062.04,603665.76,409396.29,1.6782,3.64
2,30,30,13,6,both,0.015,0.0125,192,94.79,1485444.0,830524.69,432836.99,397687.7,1.9188,4.24
3,20,30,13,6,both,0.015,0.0125,192,94.79,1466982.0,809763.77,432836.99,376926.78,1.8708,4.02
4,30,30,12,6,both,0.015,0.01,231,90.04,1767360.0,929804.68,574057.18,355747.5,1.6197,3.16
5,20,30,13,6,both,0.015,0.01,231,90.91,1970527.0,987028.12,653230.76,333797.36,1.511,2.96
6,30,30,13,7,both,0.015,0.0125,168,93.45,1448157.0,781837.69,453917.46,327920.23,1.7224,3.99
7,30,30,13,7,both,0.015,0.01,205,89.76,1932212.0,951012.04,653230.76,297781.29,1.4559,2.98
8,20,30,13,7,both,0.015,0.01,205,89.76,1930557.0,947058.12,653230.76,293827.36,1.4498,2.94
9,30,30,12,6,both,0.015,0.0125,192,92.71,1295350.0,763980.33,475605.96,288374.37,1.6063,3.08
10,20,30,13,7,both,0.015,0.0125,168,92.86,1439482.0,760063.77,475597.93,284465.84,1.5981,3.46
11,20,30,12,6,both,0.015,0.0125,192,92.71,1276814.0,742940.4,468596.47,274343.93,1.5855,2.92
12,30,20,13,6,both,0.015,0.0125,183,94.54,1392644.0,757784.69,484948.0,272836.69,1.5626,3.02
13,20,20,13,6,both,0.015,0.0125,183,94.54,1374182.0,737023.77,484948.0,252075.77,1.5198,2.79
14,30,20,13,6,both,0.015,0.01,223,89.69,1835579.0,873972.96,624941.02,249031.95,1.3985,2.27
15,30,30,11,6,both,0.015,0.01,231,89.61,1586450.0,823876.23,579188.29,244687.94,1.4225,2.18
16,30,30,12,7,both,0.015,0.01,203,88.18,1716596.0,864550.68,622567.18,241983.5,1.3887,2.45
17,30,20,13,7,both,0.015,0.0125,162,93.83,1361055.0,726195.69,484948.0,241247.69,1.4975,3.02
18,20,20,13,7,both,0.015,0.0125,162,93.83,1350540.0,713381.77,484948.0,228433.77,1.471,2.86
19,20,30,12,6,both,0.015,0.01,231,89.18,1751262.0,883251.76,665096.69,218155.07,1.328,1.94
20,30,30,12,7,both,0.015,0.0125,166,90.96,1256219.0,714049.33,497286.43,216762.9,1.4359,2.67
21,20,30,12,7,both,0.015,0.0125,166,90.96,1245950.0,701276.4,490276.94,210999.46,1.4304,2.6
22,30,30,11,6,both,0.015,0.0125,191,92.67,1072504.0,687293.43,476646.07,210647.36,1.4419,2.26
23,30,30,10,6,both,0.015,0.01,231,89.61,1301425.0,788877.38,589068.35,199809.03,1.3392,1.78
24,20,30,11,6,both,0.015,0.0125,191,92.15,1060186.0,672637.94,478782.65,193855.29,1.4049,2.08
25,20,30,12,7,both,0.015,0.01,203,87.68,1710508.0,842497.76,665096.69,177401.07,1.2667,1.79
26,30,30,10,6,both,0.015,0.0125,191,92.67,833819.0,652830.51,478121.62,174708.89,1.3654,1.88
27,30,20,12,6,both,0.015,0.0125,183,92.35,1184776.0,688974.33,516286.27,172688.06,1.3345,1.91
28,20,30,11,6,both,0.015,0.01,231,88.74,1577149.0,797747.74,629834.87,167912.87,1.2666,1.49
29,20,20,13,6,both,0.015,0.01,223,89.24,1819174.0,841029.04,674701.02,166328.02,1.2465,1.51
30,20,20,12,6,both,0.015,0.0125,183,92.35,1166240.0,667934.4,509276.78,158657.63,1.3115,1.76
31,30,20,13,7,both,0.015,0.01,198,87.88,1799852.0,824005.96,674701.02,149304.95,1.2213,1.53
32,20,30,10,6,both,0.015,0.0125,191,92.15,808078.0,624704.15,482265.36,142438.79,1.2954,1.53
33,30,20,12,7,both,0.015,0.0125,160,91.25,1152746.0,656944.33,516286.27,140658.06,1.2724,1.78
34,30,30,11,7,both,0.015,0.0125,165,90.3,1032383.0,636696.75,500838.01,135858.73,1.2713,1.69
35,20,20,12,7,both,0.015,0.0125,160,91.25,1142157.0,643851.4,509276.78,134574.63,1.2642,1.71
36,20,30,11,7,both,0.015,0.0125,165,90.3,1027850.0,630689.94,501651.12,129038.82,1.2572,1.6
37,30,30,11,7,both,0.015,0.01,202,87.13,1534744.0,758004.55,630209.77,127794.78,1.2028,1.3
38,30,20,12,6,both,0.015,0.01,223,87.89,1621786.0,781241.6,664395.45,116846.16,1.1759,1.06
39,20,30,10,6,both,0.015,0.01,231,88.74,1278961.0,749538.02,641722.09,107815.93,1.168,0.96
40,20,20,12,6,both,0.015,0.01,223,87.89,1603250.0,760201.68,657385.95,102815.72,1.1564,0.94
41,30,30,9,6,both,0.015,0.0125,189,92.59,719292.0,578460.58,479704.67,98755.92,1.2059,1.07
42,20,30,13,8,both,0.015,0.0125,124,89.52,1284174.0,596908.77,498607.38,98301.39,1.1972,1.62
43,30,20,11,6,both,0.015,0.0125,182,92.31,960169.0,610548.43,512865.95,97682.48,1.1905,1.09
