config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,avg_credit,avg_max_loss,avg_roi,rank
DTE0_p97_w30_with_flow,0,97,30,with_flow,29,29,2387015,4.69433316087247,3105.6567356677688,707515394874.8014,53
DTE0_p96_w30_with_flow,0,96,30,with_flow,29,29,2718833,4.973158241054159,3097.3351796671586,621167192063.922,54
DTE0_p95_w50_with_flow,0,95,50,with_flow,29,29,5313057,6.543918450338478,4925.113643119206,596002167502.0481,55
DTE0_p99_w50_with_flow,0,99,50,with_flow,29,29,1502606,3.5839402544645766,5021.595133900703,468311348277.45825,56
DTE0_p98_w50_with_flow,0,98,50,with_flow,29,29,3500028,5.305688043067084,4987.106164207829,402103892766.57935,57
DTE0_p96_w50_with_flow,0,96,50,with_flow,29,29,4722360,6.344952985371721,4973.514134998179,372529541266.3523,58
DTE0_p97_w50_with_flow,0,97,50,with_flow,29,29,4098127,5.866334835401636,4980.093473904054,343419050605.65485,59
DTE0_p96_w20_with_flow,0,96,20,with_flow,29,29,1684312,4.131252719211167,2106.114285429303,334231397416.78314,60
DTE1_p100_w15_neutral,1,100,15,neutral,29,5,61,8.678196721311476,6.321803278688525,1021.1695691138556,61
DTE5_p95_w20_neutral,5,95,20,neutral,23,4,32,10.8265625,9.1734375,908.344688767418,62
DTE5_p96_w30_neutral,5,96,30,neutral,23,1,26,20.215769230769233,9.78423076923077,738.378255610204,63
DTE1_p95_w15_neutral,1,95,15,neutral,29,12,1256,7.971035031847133,7.028964968152867,692.3233764649178,64
DTE5_p95_w30_neutral,5,95,30,neutral,23,1,31,20.22741935483871,9.772580645161293,675.0112859830289,65
DTE0_p99_w15_neutral,0,99,15,neutral,29,4,374,4.862593582887701,10.1374064171123,637.6093962946902,66
DTE1_p98_w15_neutral,1,98,15,neutral,29,11,515,7.958349514563107,7.041650485436894,626.8078582457741,67
DTE1_p97_w15_neutral,1,97,15,neutral,29,12,817,8.169804161566708,6.830195838433293,618.8394140526046,68
DTE1_p99_w15_neutral,1,99,15,neutral,29,8,298,8.152013422818792,6.847986577181208,543.2595382327942,69
DTE1_p96_w15_neutral,1,96,15,neutral,29,12,1025,7.863287804878048,7.136712195121952,531.900701978283,70
DTE1_p99_w20_neutral,1,99,20,neutral,29,21,84957,9.645021599161929,10.354978400838071,527.5234225522737,71
DTE1_p100_w20_neutral,1,100,20,neutral,29,18,26878,9.174481360220256,10.825518639779744,462.6059912117694,72
DTE0_p98_w25_neutral,0,98,25,neutral,29,6,1639,8.980298962782184,16.019701037217814,454.7315398765387,73
DTE1_p99_w30_neutral,1,99,30,neutral,29,22,99742,13.68379569288765,16.31620430711235,435.6287576810989,74
