date,hour,time,current_price,predicted_close,actual_close,eod_error,eod_error_pct,range_lower,range_upper,in_range,next_hour_actual,next_hour_error,next_hour_error_pct,confidence
2026-01-26,9.5,09:30,25639.97704329374,25704.51943534041,25713.20987189766,8.690436557248177,0.03379755619988184,25056.592710569334,25962.01234087212,True,25705.84308267425,65.86603938051121,0.2562298352505892,ConfidenceLevel.LOW
2026-01-26,10.0,10:00,25707.28236151267,25773.63900583747,25713.20987189766,-60.429133939811436,-0.23501202005065622,25277.820980591987,26009.021905875412,True,25713.05998074519,5.777619232521829,0.022469590304881278,ConfidenceLevel.LOW
2026-01-26,10.5,10:30,25728.43673852699,25788.577440240304,25713.20987189766,-75.36756834264452,-0.29310836227030074,25343.109652445117,26041.843140081397,True,25750.36313760555,21.92639907855846,0.08514986356265161,ConfidenceLevel.LOW
2026-01-26,11.0,11:00,25750.73356580614,25813.36711598964,25713.20987189766,-100.15724409198083,-0.38951669041306325,25253.599040291232,26005.947593455792,True,25770.9194202084,20.18585440226161,0.07832803352150784,ConfidenceLevel.LOW
2026-01-26,11.5,11:30,25770.72286634825,25840.953176388233,25713.20987189766,-127.74330449057379,-0.4968003027509463,25249.36126145805,26033.53182851364,True,25772.14016662859,1.4173002803399868,0.005499350349549928,ConfidenceLevel.LOW
2026-01-26,12.0,12:00,25794.63937645016,25849.554503100993,25713.20987189766,-136.34463120333385,-0.5302513061675231,25308.551072079594,26037.337257671494,True,25781.74119818773,-12.8981782624287,-0.05002834433593395,ConfidenceLevel.LOW
2026-01-26,12.5,12:30,25775.13333306244,25839.350429406742,25713.20987189766,-126.14055750908301,-0.4905671370377755,25284.124400987577,26008.472464184008,True,25758.77475313323,-16.358579929208645,-0.0635068247072537,ConfidenceLevel.LOW
2026-01-26,13.0,13:00,25758.83776897184,25818.830663176064,25713.20987189766,-105.6207912784048,-0.41076470734149495,25219.83606271557,25976.587637518318,True,25775.03378536051,16.196016388668795,0.06283606269361197,ConfidenceLevel.LOW
2026-01-26,13.5,13:30,25789.60069393052,25836.491305312684,25713.20987189766,-123.28143341502437,-0.47944785590444866,25289.913649674094,25966.095443940805,True,25768.6502577086,-20.950436221919517,-0.08130203178046654,ConfidenceLevel.LOW
2026-01-26,14.0,14:00,25763.77236424826,25812.396132736354,25713.20987189766,-99.18626083869458,-0.3857404864380494,25267.3018102348,25943.19269722923,True,25769.01819120228,5.24582695402205,0.020357108350418297,ConfidenceLevel.LOW
2026-01-26,14.5,14:30,25764.40761525181,25814.128509535447,25713.20987189766,-100.91863763778747,-0.39247778920080656,25285.822886921495,25929.681727928066,True,25748.67285135121,-15.734763900600228,-0.061109028769902284,ConfidenceLevel.LOW
2026-01-26,15.0,15:00,25753.64663343014,25806.944076458454,25713.20987189766,-93.73420456079475,-0.36453715824580196,25370.365426246524,25894.195658167286,True,25750.14732364632,-3.4993097838196263,-0.013589474808970181,ConfidenceLevel.LOW
2026-01-26,15.5,15:30,25753.55623501444,25806.85349096228,25713.20987189766,-93.64361906462,-0.36418486657694366,25385.228899962876,25892.570729335584,True,25713.25908646819,-40.29714854624763,-0.15671739008554667,ConfidenceLevel.MEDIUM
2026-01-27,9.5,09:30,25838.63078819833,25920.767271319248,25939.74427393451,18.97700261526188,0.07315801734534012,25275.26733871113,26123.038511497805,True,25920.73210830582,82.1013201074893,0.31673997387281144,ConfidenceLevel.LOW
2026-01-27,10.0,10:00,25925.72235763144,25991.644848981417,25939.74427393451,-51.90057504690776,-0.2000812903119478,25434.35661055523,26153.294072610286,True,25916.21099331511,-9.511364316327672,-0.03670044328154704,ConfidenceLevel.LOW
2026-01-27,10.5,10:30,25942.50525452578,26004.570754621,25939.74427393451,-64.82648068648996,-0.2499117955901774,25487.488852259983,26146.767186686953,True,25947.05060849188,4.545353966102994,0.017517805914385516,ConfidenceLevel.LOW
2026-01-27,11.0,11:00,25954.08586727593,26019.008483759186,25939.74427393451,-79.26420982467607,-0.30557051367821125,25383.46966831748,26128.356575520727,True,25958.64862692616,4.562759650227235,0.017577030745330926,ConfidenceLevel.LOW
2026-01-27,11.5,11:30,25961.53027938014,26025.183176827533,25939.74427393451,-85.43890289302362,-0.32937449957390946,25390.16893366691,26131.506976138455,True,25949.99323136539,-11.537048014746688,-0.04445877080538896,ConfidenceLevel.LOW
2026-01-27,12.0,12:00,25947.32457021122,26010.41408924387,25939.74427393451,-70.66981530936027,-0.2724383654790794,25377.42761287634,26121.156837305425,True,25952.91882539672,5.594255185496877,0.021555398925004583,ConfidenceLevel.LOW
