config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,avg_credit,avg_max_loss,avg_roi
DTE0_p100_w25_neutral,0,100,25,neutral,29,3,156,10.51948717948718,14.480512820512818,117.52813317502584
DTE0_p100_w25_with_flow,0,100,25,with_flow,29,29,246915,1.753150233886155,3158.667776198287,0.1833417281882737
DTE0_p100_w30_neutral,0,100,30,neutral,29,11,10212,10.353988444966705,19.646011555033294,111.93770387542803
DTE0_p100_w30_with_flow,0,100,30,with_flow,29,29,292044,2.116283402500993,3359.936622803413,4.012499256965012
DTE0_p100_w50_neutral,0,100,50,neutral,29,10,11678,15.617667408802877,34.38233259119713,92.14891765989658
DTE0_p100_w50_with_flow,0,100,50,with_flow,29,29,477909,2.1695026459012072,5391.909013808068,2.321462189673698
DTE1_p95_w15_neutral,1,95,15,neutral,29,12,1256,7.971035031847133,7.028964968152867,692.3233764649178
DTE1_p95_w15_with_flow,1,95,15,with_flow,29,29,488466,3.7738132234382746,1700.4623563973746,2.16364310113178
DTE1_p95_w20_neutral,1,95,20,neutral,29,26,205449,10.272274773788142,9.727725226211858,49321725400026.414
DTE1_p95_w20_with_flow,1,95,20,with_flow,29,29,875178,5.795869034642096,1648.6711302386486,11578329393232.316
DTE1_p95_w25_neutral,1,95,25,neutral,29,17,6432,11.934376554726368,13.065623445273632,109404142067773.69
DTE1_p95_w25_with_flow,1,95,25,with_flow,29,29,970215,5.253003622908325,2781.483937158259,725290210706.1261
DTE1_p95_w30_neutral,1,95,30,neutral,29,26,272469,14.659594375873953,15.34040562412605,27892436832576.6
DTE1_p95_w30_with_flow,1,95,30,with_flow,29,29,1428103,7.447338609329999,2580.256554310158,5321622019795.275
DTE1_p95_w50_neutral,1,95,50,neutral,29,27,366606,22.01223487886178,27.98776512113822,24953046985734.066
DTE1_p95_w50_with_flow,1,95,50,with_flow,29,29,2467371,10.102287884554046,4393.086003126405,3707564344094.4355
DTE1_p96_w15_neutral,1,96,15,neutral,29,12,1025,7.863287804878048,7.136712195121952,531.900701978283
DTE1_p96_w15_with_flow,1,96,15,with_flow,29,29,426675,3.763164961621843,1706.9419608132653,1.6594885810031157
DTE1_p96_w20_neutral,1,96,20,neutral,29,26,176450,10.106798243128363,9.893201756871635,35094641472014.293
DTE1_p96_w20_with_flow,1,96,20,with_flow,29,29,761071,5.740055540153284,1657.4933606063032,8136493819547.894
DTE1_p96_w25_neutral,1,96,25,neutral,29,17,5625,11.611269333333333,13.388730666666667,125099989649695.9
DTE1_p96_w25_with_flow,1,96,25,with_flow,29,29,856939,5.260612225607656,2802.4891767208637,821163982243.5719
DTE1_p96_w30_neutral,1,96,30,neutral,29,25,226466,14.313404572871864,15.686595427128132,29829640834239.266
DTE1_p96_w30_with_flow,1,96,30,with_flow,29,29,1244775,7.318366443734812,2617.7778871844307,5427004431457.222
DTE1_p96_w50_neutral,1,96,50,neutral,29,26,295806,21.535011257378148,28.464988742621852,23788815703136.258
DTE1_p96_w50_with_flow,1,96,50,with_flow,29,29,2152621,9.8984488769737,4468.477858601212,3268979731166.082
DTE1_p97_w15_neutral,1,97,15,neutral,29,12,817,8.169804161566708,6.830195838433293,618.8394140526046
DTE1_p97_w15_with_flow,1,97,15,with_flow,29,29,386598,3.6736087356892693,1712.7379714069912,1.6797133577625998
DTE1_p97_w20_neutral,1,97,20,neutral,29,26,160306,10.034932566466633,9.965067433533369,35117210424468.957
DTE1_p97_w20_with_flow,1,97,20,with_flow,29,29,688315,5.634058519718443,1658.9021757480225,8178667520401.425
DTE1_p97_w25_neutral,1,97,25,neutral,29,16,4883,11.474331353676018,13.525668646323984,144109654265618.34
DTE1_p97_w25_with_flow,1,97,25,with_flow,29,29,776444,5.135615227885076,2816.1705143448853,906295163307.6766
DTE1_p97_w30_neutral,1,97,30,neutral,29,25,207864,14.236898404726169,15.763101595273831,32499131360679.5
DTE1_p97_w30_with_flow,1,97,30,with_flow,29,29,1128030,7.195417648466796,2618.3734026134057,5988670018666.68
DTE1_p97_w50_neutral,1,97,50,neutral,29,26,268746,21.26475828477447,28.73524171522553,20947286784980.035
DTE1_p97_w50_with_flow,1,97,50,with_flow,29,29,1937588,9.623494096784249,4475.646621608928,2905416184615.4673
DTE1_p98_w15_neutral,1,98,15,neutral,29,11,515,7.958349514563107,7.041650485436894,626.8078582457741
DTE1_p98_w15_with_flow,1,98,15,with_flow,29,29,353094,3.5656165213795763,1722.002360419605,1.2736014051703872
DTE1_p98_w20_neutral,1,98,20,neutral,29,26,147892,9.963284626619425,10.036715373380575,26645455291925.992
DTE1_p98_w20_with_flow,1,98,20,with_flow,29,29,628844,5.516963873393083,1660.2629521948209,6266498009098.731
DTE1_p98_w25_neutral,1,98,25,neutral,29,14,4463,11.4157853461797,13.584214653820302,157671396320600.34
DTE1_p98_w25_with_flow,1,98,25,with_flow,29,29,710263,4.973515092296797,2834.7036468885467,990742079735.3376
DTE1_p98_w30_neutral,1,98,30,neutral,29,25,189615,14.13511394140759,15.86488605859241,31173559639339.113
DTE1_p98_w30_with_flow,1,98,30,with_flow,29,29,1026964,7.003768233355794,2626.971733546648,5755775773068.522
DTE1_p98_w50_neutral,1,98,50,neutral,29,26,245897,21.13772636510409,28.86227363489591,20032013780281.547
DTE1_p98_w50_with_flow,1,98,50,with_flow,29,29,1754992,9.320339089864797,4483.43578916599,2806743331325.894
DTE1_p99_w15_neutral,1,99,15,neutral,29,8,298,8.152013422818792,6.847986577181208,543.2595382327942
DTE1_p99_w15_with_flow,1,99,15,with_flow,29,29,211895,3.1245014747870408,1748.3982477170298,1.0760934748075652
DTE1_p99_w20_neutral,1,99,20,neutral,29,21,84957,9.645021599161929,10.354978400838071,527.5234225522737
DTE1_p99_w20_with_flow,1,99,20,with_flow,29,29,366381,4.92108384441333,1678.828257742623,122.54424171943393
DTE1_p99_w25_neutral,1,99,25,neutral,29,13,2788,11.287162840746054,13.712837159253946,252398652000555.2
DTE1_p99_w25_with_flow,1,99,25,with_flow,29,29,433794,4.329630999967726,2933.8609971322794,1622169605337.2363
DTE1_p99_w30_neutral,1,99,30,neutral,29,22,99742,13.68379569288765,16.31620430711235,435.6287576810989
DTE1_p99_w30_with_flow,1,99,30,with_flow,29,29,598053,6.037607101711721,2734.0869820066114,72.86285290133152
DTE1_p99_w50_neutral,1,99,50,neutral,29,23,135260,20.624252328848144,29.375747671151856,15607439933305.336
DTE1_p99_w50_with_flow,1,99,50,with_flow,29,29,1014416,7.834699718853015,4620.939560919781,2081061739344.6714
DTE1_p100_w15_neutral,1,100,15,neutral,29,5,61,8.678196721311476,6.321803278688525,1021.1695691138556
DTE1_p100_w15_with_flow,1,100,15,with_flow,29,29,96625,2.8457322639068563,1783.1196339456662,0.9242359837954129
DTE1_p100_w20_neutral,1,100,20,neutral,29,18,26878,9.174481360220256,10.825518639779744,462.6059912117694
DTE1_p100_w20_with_flow,1,100,20,with_flow,29,29,152463,4.181494264182129,1807.5193541383808,81.76573754114114
DTE1_p100_w25_neutral,1,100,25,neutral,29,13,2162,11.214287696577243,13.785712303422757,325479852810951.8
DTE1_p100_w25_with_flow,1,100,25,with_flow,29,29,217515,4.213869526239569,3092.526265820748,3235121448071.759
DTE1_p100_w30_neutral,1,100,30,neutral,29,17,27581,13.17324208694391,16.82675791305609,397.94511919510023
DTE1_p100_w30_with_flow,1,100,30,with_flow,29,29,269757,5.072095330241662,3045.264426168737,40.886674755283885
DTE1_p100_w50_neutral,1,100,50,neutral,29,23,53179,19.294995957050716,30.705004042949284,314.4414176944681
DTE1_p100_w50_with_flow,1,100,50,with_flow,29,29,488938,6.695497670461286,4972.804110971125,34.35468572289801
DTE3_p95_w15_neutral,3,95,15,neutral,25,0,0,0.0,0.0,0.0
DTE3_p95_w15_with_flow,3,95,15,with_flow,25,24,8820,3.9142675736961445,1887.3714285714286,0.3421546729300757
DTE3_p95_w20_neutral,3,95,20,neutral,25,5,144,8.292152777777778,11.70784722222222,179.2705713761002
DTE3_p95_w20_with_flow,3,95,20,with_flow,25,24,10904,4.255890498899486,2131.6003237344094,2.6861921737542627
DTE3_p95_w25_neutral,3,95,25,neutral,25,11,647,11.02372488408037,13.97627511591963,299.2644670117127
DTE3_p95_w25_with_flow,3,95,25,with_flow,25,25,29745,5.279361573373675,3511.0881375021013,6.741585571511409
DTE3_p95_w30_neutral,3,95,30,neutral,25,5,184,14.463315217391301,15.536684782608695,228.9669198154115
DTE3_p95_w30_with_flow,3,95,30,with_flow,25,25,30900,5.271574110032363,3659.58963592233,1.595640798083849
DTE3_p95_w50_neutral,3,95,50,neutral,25,19,3782,19.837231623479642,30.162768376520358,274.2420039678382
DTE3_p95_w50_with_flow,3,95,50,with_flow,25,25,67359,7.15443088525661,5868.933410383172,15.566132456505446
DTE3_p96_w15_neutral,3,96,15,neutral,25,0,0,0.0,0.0,0.0
DTE3_p96_w15_with_flow,3,96,15,with_flow,25,23,6965,3.70240631730079,1910.6638908829864,0.3178080371964195
DTE3_p96_w20_neutral,3,96,20,neutral,25,4,107,8.793271028037383,11.206728971962617,215.4779904728569
DTE3_p96_w20_with_flow,3,96,20,with_flow,25,23,8665,4.070517022504328,2164.129731102135,2.9582309900463266
DTE3_p96_w25_neutral,3,96,25,neutral,25,12,623,10.008282504012842,14.991717495987158,222.29352432318163
DTE3_p96_w25_with_flow,3,96,25,with_flow,25,25,25649,5.201274513626262,3578.798660376623,5.6195739942366325
DTE3_p96_w30_neutral,3,96,30,neutral,25,4,115,14.835391304347825,15.164608695652172,270.44686072333116
DTE3_p96_w30_with_flow,3,96,30,with_flow,25,25,26315,5.15775641269238,3729.1170408512257,1.4035662562580467
DTE3_p96_w50_neutral,3,96,50,neutral,25,19,3263,18.90335580753908,31.09664419246093,262.75691926847816
DTE3_p96_w50_with_flow,3,96,50,with_flow,25,25,57924,6.9720407775706095,5958.226026344866,14.962961537269928
DTE3_p97_w15_neutral,3,97,15,neutral,25,0,0,0.0,0.0,0.0
DTE3_p97_w15_with_flow,3,97,15,with_flow,25,22,5794,3.5083741801864,1921.5132896099412,0.29480142197578985
DTE3_p97_w20_neutral,3,97,20,neutral,25,4,44,9.386363636363635,10.613636363636365,306.56626376113155
DTE3_p97_w20_with_flow,3,97,20,with_flow,25,22,6961,3.671373365895705,2165.008475793708,2.2102191539121296
DTE3_p97_w25_neutral,3,97,25,neutral,25,12,524,10.194790076335877,14.805209923664123,212.57078109065665
DTE3_p97_w25_with_flow,3,97,25,with_flow,25,25,22427,5.064343871226646,3642.001200784768,5.1735126213202
DTE3_p97_w30_neutral,3,97,30,neutral,25,3,79,14.169873417721522,15.830126582278478,258.82580978721523
DTE3_p97_w30_with_flow,3,97,30,with_flow,25,25,22994,4.989623814908237,3792.056692180569,1.0971719821297135
DTE3_p97_w50_neutral,3,97,50,neutral,25,19,2681,18.08809772472958,31.91190227527042,186.65319853200646
DTE3_p97_w50_with_flow,3,97,50,with_flow,25,25,50460,6.769012286959968,6024.20806202933,10.071880371195098
DTE3_p98_w15_neutral,3,98,15,neutral,25,0,0,0.0,0.0,0.0
DTE3_p98_w15_with_flow,3,98,15,with_flow,25,21,4603,3.4528046925917875,1952.2428850749511,0.28088838583459064
DTE3_p98_w20_neutral,3,98,20,neutral,25,2,14,7.292142857142857,12.707857142857145,64.3629251141635
DTE3_p98_w20_with_flow,3,98,20,with_flow,25,22,5302,3.620688419464353,2137.4383081855904,0.43909671438054343
DTE3_p98_w25_neutral,3,98,25,neutral,25,11,443,9.83803611738149,15.16196388261851,185.91396191224445
DTE3_p98_w25_with_flow,3,98,25,with_flow,25,25,19103,5.1089200649112705,3704.4166753912996,4.5143292764927665
DTE3_p98_w30_neutral,3,98,30,neutral,25,3,25,12.646799999999999,17.3532,98.782771355458
DTE3_p98_w30_with_flow,3,98,30,with_flow,25,25,19260,4.941379543094496,3844.156481308411,0.3312672344284595
DTE3_p98_w50_neutral,3,98,50,neutral,25,16,2270,17.38537444933921,32.61462555066079,189.08995860358763
DTE3_p98_w50_with_flow,3,98,50,with_flow,25,25,44181,6.800725424956429,6164.080265272401,9.867774605689137
DTE3_p99_w15_neutral,3,99,15,neutral,25,0,0,0.0,0.0,0.0
DTE3_p99_w15_with_flow,3,99,15,with_flow,25,19,2851,3.073367239565065,2021.1445106980007,0.2467742153356382
DTE3_p99_w20_neutral,3,99,20,neutral,25,0,0,0.0,0.0,0.0
DTE3_p99_w20_with_flow,3,99,20,with_flow,25,19,3177,3.0716650928548948,2171.4296506137866,0.231721331444546
DTE3_p99_w25_neutral,3,99,25,neutral,25,9,388,8.814020618556702,16.1859793814433,94.46362210965157
DTE3_p99_w25_with_flow,3,99,25,with_flow,25,25,13212,4.127374356645474,3859.7621223130486,2.927770615928898
DTE3_p99_w30_neutral,3,99,30,neutral,25,0,0,0.0,0.0,0.0
DTE3_p99_w30_with_flow,3,99,30,with_flow,25,25,13139,3.964272775705914,4017.0364563513203,0.15588350789690536
DTE3_p99_w50_neutral,3,99,50,neutral,25,13,1387,15.326964671953856,34.67303532804614,70.41269935445344
DTE3_p99_w50_with_flow,3,99,50,with_flow,25,25,30197,5.34885286617876,6401.464069278405,3.3506674292723395
DTE3_p100_w15_neutral,3,100,15,neutral,25,0,0,0.0,0.0,0.0
DTE3_p100_w15_with_flow,3,100,15,with_flow,25,19,1969,2.7526764855256474,2045.961401726765,0.2320092833268556
DTE3_p100_w20_neutral,3,100,20,neutral,25,0,0,0.0,0.0,0.0
DTE3_p100_w20_with_flow,3,100,20,with_flow,25,19,2196,2.8545901639344264,2178.3387978142077,0.22107671605376913
DTE3_p100_w25_neutral,3,100,25,neutral,25,6,351,8.55965811965812,16.44034188034188,92.75001279765942
DTE3_p100_w25_with_flow,3,100,25,with_flow,25,25,8842,3.422596697579733,3863.204541958833,3.808235900335613
DTE3_p100_w30_neutral,3,100,30,neutral,25,0,0,0.0,0.0,0.0
DTE3_p100_w30_with_flow,3,100,30,with_flow,25,25,8591,3.1833977418228376,4044.0161797229657,0.13022539594253096
DTE3_p100_w50_neutral,3,100,50,neutral,25,10,676,15.149393491124263,34.85060650887574,53.504735265335164
DTE3_p100_w50_with_flow,3,100,50,with_flow,25,25,19727,4.190686368935976,6586.160643280783,1.9264811137904603
DTE5_p95_w15_neutral,5,95,15,neutral,23,0,0,0.0,0.0,0.0
DTE5_p95_w15_with_flow,5,95,15,with_flow,23,14,2702,2.268508512213175,2020.3734270910436,0.16710011588389967
DTE5_p95_w20_neutral,5,95,20,neutral,23,4,32,10.8265625,9.1734375,908.3446887674179
DTE5_p95_w20_with_flow,5,95,20,with_flow,23,14,3231,2.46909316001238,2258.487944908697,9.157723865147661
DTE5_p95_w25_neutral,5,95,25,neutral,23,2,108,9.99157407407407,15.008425925925929,274.98373951892944
DTE5_p95_w25_with_flow,5,95,25,with_flow,23,23,11670,4.686689802913453,3814.4955364181665,2.7294768506472398
DTE5_p95_w30_neutral,5,95,30,neutral,23,1,31,20.22741935483871,9.772580645161291,675.0112859830289
DTE5_p95_w30_with_flow,5,95,30,with_flow,23,23,12045,4.667077625570776,3904.4012411789126,1.9211297379826904
DTE5_p95_w50_neutral,5,95,50,neutral,23,17,1205,20.501734439834024,29.49826556016598,231.72737263752833
DTE5_p95_w50_with_flow,5,95,50,with_flow,23,23,27440,6.944387026239068,6266.74950473761,10.324932012236426
DTE5_p96_w15_neutral,5,96,15,neutral,23,0,0,0.0,0.0,0.0
