config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,avg_credit,avg_max_loss,avg_roi
DTE10_p95_w25_with_flow,10,95,25,with_flow,15,13,744,4.334354838709678,3705.596989247312,1.2815763710797043
DTE10_p95_w30_neutral,10,95,30,neutral,15,0,0,0.0,0.0,0.0
DTE10_p95_w30_with_flow,10,95,30,with_flow,15,13,739,4.270527740189445,3730.592692828146,0.18254505578547509
DTE10_p95_w50_neutral,10,95,50,neutral,15,2,4,9.914999999999996,40.08500000000001,24.99483760659713
DTE10_p95_w50_with_flow,10,95,50,with_flow,15,15,2067,5.740609579100145,7006.551688437349,0.18206260096139382
DTE10_p96_w15_neutral,10,96,15,neutral,15,0,0,0.0,0.0,0.0
DTE10_p96_w15_with_flow,10,96,15,with_flow,15,10,186,3.0468817204301075,2195.3118279569894,0.19452987566759794
DTE10_p96_w20_neutral,10,96,20,neutral,15,0,0,0.0,0.0,0.0
DTE10_p96_w20_with_flow,10,96,20,with_flow,15,10,186,3.0468817204301075,2195.3118279569894,0.19452987566759794
DTE10_p96_w25_neutral,10,96,25,neutral,15,1,2,11.640000000000004,13.359999999999996,90.58531374679322
DTE10_p96_w25_with_flow,10,96,25,with_flow,15,13,498,3.740722891566265,3676.8408032128514,0.5152260384303508
DTE10_p96_w30_neutral,10,96,30,neutral,15,0,0,0.0,0.0,0.0
DTE10_p96_w30_with_flow,10,96,30,with_flow,15,13,496,3.708870967741935,3691.6129032258063,0.15204020089662962
DTE10_p96_w50_neutral,10,96,50,neutral,15,0,0,0.0,0.0,0.0
DTE10_p96_w50_with_flow,10,96,50,with_flow,15,15,1455,4.885134020618557,7174.716838487972,0.11025948332883122
DTE10_p97_w15_neutral,10,97,15,neutral,15,0,0,0.0,0.0,0.0
DTE10_p97_w15_with_flow,10,97,15,with_flow,15,9,161,2.7677018633540373,2223.2298136645963,0.16669537482387983
DTE10_p97_w20_neutral,10,97,20,neutral,15,0,0,0.0,0.0,0.0
DTE10_p97_w20_with_flow,10,97,20,with_flow,15,9,161,2.7677018633540373,2223.2298136645963,0.16669537482387983
DTE10_p97_w25_neutral,10,97,25,neutral,15,0,0,0.0,0.0,0.0
DTE10_p97_w25_with_flow,10,97,25,with_flow,15,13,439,3.3853075170842826,3744.612756264237,0.1301168661400945
DTE10_p97_w30_neutral,10,97,30,neutral,15,0,0,0.0,0.0,0.0
DTE10_p97_w30_with_flow,10,97,30,with_flow,15,13,439,3.3853075170842826,3744.612756264237,0.1301168661400945
DTE10_p97_w50_neutral,10,97,50,neutral,15,0,0,0.0,0.0,0.0
DTE10_p97_w50_with_flow,10,97,50,with_flow,15,15,1338,4.646248131539611,7291.354260089686,0.09938400954031246
DTE10_p98_w15_neutral,10,98,15,neutral,15,0,0,0.0,0.0,0.0
DTE10_p98_w15_with_flow,10,98,15,with_flow,15,9,125,2.4956799999999997,2250.432,0.13646204168076684
DTE10_p98_w20_neutral,10,98,20,neutral,15,0,0,0.0,0.0,0.0
DTE10_p98_w20_with_flow,10,98,20,with_flow,15,9,125,2.4956799999999997,2250.432,0.13646204168076684
DTE10_p98_w25_neutral,10,98,25,neutral,15,0,0,0.0,0.0,0.0
DTE10_p98_w25_with_flow,10,98,25,with_flow,15,11,330,2.8774545454545457,3765.2848484848487,0.10503932827729215
DTE10_p98_w30_neutral,10,98,30,neutral,15,0,0,0.0,0.0,0.0
DTE10_p98_w30_with_flow,10,98,30,with_flow,15,11,330,2.8774545454545457,3765.2848484848487,0.10503932827729215
DTE10_p98_w50_neutral,10,98,50,neutral,15,0,0,0.0,0.0,0.0
DTE10_p98_w50_with_flow,10,98,50,with_flow,15,15,1039,4.237603464870067,7386.634263715111,0.0890856169981372
DTE10_p99_w15_neutral,10,99,15,neutral,15,0,0,0.0,0.0,0.0
DTE10_p99_w15_with_flow,10,99,15,with_flow,15,8,84,2.095714285714286,2290.4285714285716,0.10806460646105195
DTE10_p99_w20_neutral,10,99,20,neutral,15,0,0,0.0,0.0,0.0
DTE10_p99_w20_with_flow,10,99,20,with_flow,15,8,84,2.095714285714286,2290.4285714285716,0.10806460646105195
DTE10_p99_w25_neutral,10,99,25,neutral,15,0,0,0.0,0.0,0.0
DTE10_p99_w25_with_flow,10,99,25,with_flow,15,11,241,2.303153526970954,3898.3153526970955,0.08187211829772723
DTE10_p99_w30_neutral,10,99,30,neutral,15,0,0,0.0,0.0,0.0
DTE10_p99_w30_with_flow,10,99,30,with_flow,15,11,241,2.303153526970954,3898.3153526970955,0.08187211829772723
DTE10_p99_w50_neutral,10,99,50,neutral,15,0,0,0.0,0.0,0.0
DTE10_p99_w50_with_flow,10,99,50,with_flow,15,15,763,4.030838794233289,7470.4416775884665,0.08558295013179444
DTE10_p100_w15_neutral,10,100,15,neutral,15,0,0,0.0,0.0,0.0
DTE10_p100_w15_with_flow,10,100,15,with_flow,15,8,60,2.214833333333333,2278.516666666667,0.11840201957670653
DTE10_p100_w20_neutral,10,100,20,neutral,15,0,0,0.0,0.0,0.0
DTE10_p100_w20_with_flow,10,100,20,with_flow,15,8,60,2.214833333333333,2278.516666666667,0.11840201957670653
DTE10_p100_w25_neutral,10,100,25,neutral,15,0,0,0.0,0.0,0.0
DTE10_p100_w25_with_flow,10,100,25,with_flow,15,11,176,2.4239204545454545,3905.3352272727275,0.09037796730146735
DTE10_p100_w30_neutral,10,100,30,neutral,15,0,0,0.0,0.0,0.0
DTE10_p100_w30_with_flow,10,100,30,with_flow,15,11,176,2.4239204545454545,3905.3352272727275,0.09037796730146735
DTE10_p100_w50_neutral,10,100,50,neutral,15,0,0,0.0,0.0,0.0
DTE10_p100_w50_with_flow,10,100,50,with_flow,15,15,623,3.6873836276083463,7785.354735152488,0.073435410087345
