position_size,max_positions,positions_per_day,expected_daily_pnl,daily_return_pct,annual_return_pct,max_drawdown,max_drawdown_pct,sharpe_ratio,capital_utilization,config,capital,method,kelly_fraction,kelly_f,fractional_kelly,risk_pct,contracts
1000.0,25.0,25.0,160.31194730421686,0.6412477892168674,160.31194730421686,298.0658900602412,1.1922635602409648,31.61291371337963,100.0,DTE1_p99_w25_neutral,25000,fixed,,,,,
24.08613253012048,1037.0,207.5,1305.84969375,5.223398775,1305.84969375,12500.0,50.0,31.62156578941524,19.99149,DTE1_p99_w25_neutral,25000,kelly,0.25,0.9714106230510621,0.24285265576276552,,
24.08613253012048,1037.0,207.5,1305.84969375,5.223398775,1305.84969375,12500.0,50.0,31.62156578941524,19.99149,DTE1_p99_w25_neutral,25000,kelly,0.5,0.9714106230510621,0.48570531152553104,,
493.76571686746985,50.0,50.0,12901.165649096385,51.604662596385545,12901.165649096385,12500.0,50.0,31.62265404385661,98.75314337349397,DTE1_p99_w25_neutral,25000,risk_based,,,,2.0,41.0
746.6701084337349,33.0,33.0,12875.992642951807,51.50397057180724,12875.992642951805,12500.0,50.0,31.622653804251858,98.560454313253,DTE1_p99_w25_neutral,25000,risk_based,,,,3.0,62.0
1000.0,50.0,50.0,320.6238946084337,0.6412477892168674,160.31194730421686,596.1317801204824,1.1922635602409648,31.61291371337963,100.0,DTE1_p99_w25_neutral,50000,fixed,,,,,
24.08613253012048,2075.0,207.5,1305.84969375,2.6116993875,652.924846875,25000.0,50.0,31.620354977146683,9.995745,DTE1_p99_w25_neutral,50000,kelly,0.25,0.9714106230510621,0.24285265576276552,,
24.08613253012048,2075.0,207.5,1305.84969375,2.6116993875,652.924846875,25000.0,50.0,31.620354977146683,9.995745,DTE1_p99_w25_neutral,50000,kelly,0.5,0.9714106230510621,0.48570531152553104,,
999.5745,50.0,50.0,26116.993875,52.23398775,13058.496937499998,25000.0,50.0,31.622655520456938,99.95745,DTE1_p99_w25_neutral,50000,risk_based,,,,2.0,83.0
1493.3402168674697,33.0,33.0,25751.985285903615,51.50397057180724,12875.992642951805,25000.0,50.0,31.622653804251858,98.560454313253,DTE1_p99_w25_neutral,50000,risk_based,,,,3.0,124.0
1000.0,100.0,100.0,641.2477892168674,0.6412477892168674,160.31194730421686,1192.2635602409648,1.1922635602409648,31.61291371337963,100.0,DTE1_p99_w25_neutral,100000,fixed,,,,,
24.08613253012048,4151.0,207.5,1305.84969375,1.30584969375,326.4624234375,50000.0,50.0,31.617933352609565,4.9978725,DTE1_p99_w25_neutral,100000,kelly,0.25,0.9714106230510621,0.24285265576276552,,
24.08613253012048,4151.0,207.5,1305.84969375,1.30584969375,326.4624234375,50000.0,50.0,31.617933352609565,4.9978725,DTE1_p99_w25_neutral,100000,kelly,0.5,0.9714106230510621,0.48570531152553104,,
1999.149,50.0,50.0,52233.98775,52.23398775,13058.496937499998,50000.0,50.0,31.622655520456938,99.95745,DTE1_p99_w25_neutral,100000,risk_based,,,,2.0,166.0
2998.7234999999996,33.0,33.0,51711.6478725,51.7116478725,12927.911968125,50000.0,50.0,31.622654297414243,98.95787549999999,DTE1_p99_w25_neutral,100000,risk_based,,,,3.0,249.0
1000.0,250.0,207.5,1330.5891626250002,0.5322356650500001,133.05891626250002,2473.946887500002,0.9895787550000009,31.610893603726968,83.0,DTE1_p99_w25_neutral,250000,fixed,,,,,
24.08613253012048,10379.0,207.5,1305.84969375,0.5223398775,130.584969375,125000.0,50.0,31.610668478998214,1.9991489999999996,DTE1_p99_w25_neutral,250000,kelly,0.25,0.9714106230510621,0.24285265576276552,,
24.08613253012048,10379.0,207.5,1305.84969375,0.5223398775,130.584969375,125000.0,50.0,31.610668478998214,1.9991489999999996,DTE1_p99_w25_neutral,250000,kelly,0.5,0.9714106230510621,0.48570531152553104,,
4997.8724999999995,50.0,50.0,130584.969375,52.23398775,13058.496937499998,125000.0,50.0,31.622655520456938,99.95745,DTE1_p99_w25_neutral,250000,risk_based,,,,2.0,415.0
7490.787216867469,33.0,33.0,129175.28103090361,51.67011241236145,12917.528103090362,125000.0,50.0,31.622654199098918,98.8783912626506,DTE1_p99_w25_neutral,250000,risk_based,,,,3.0,622.0
1000.0,500.0,207.5,1330.5891626250002,0.26611783252500004,66.52945813125001,2473.946887500002,0.49478937750000046,31.59901060577015,41.5,DTE1_p99_w25_neutral,500000,fixed,,,,,
24.08613253012048,20758.0,207.5,1305.84969375,0.26116993875,65.2924846875,247394.68874999997,49.47893774999999,31.598560356312646,0.9995744999999998,DTE1_p99_w25_neutral,500000,kelly,0.25,0.9714106230510621,0.24285265576276552,,
24.08613253012048,20758.0,207.5,1305.84969375,0.26116993875,65.2924846875,247394.68874999997,49.47893774999999,31.598560356312646,0.9995744999999998,DTE1_p99_w25_neutral,500000,kelly,0.5,0.9714106230510621,0.48570531152553104,,
9995.744999999999,50.0,50.0,261169.93875,52.23398775,13058.496937499998,250000.0,50.0,31.622655520456938,99.95745,DTE1_p99_w25_neutral,500000,risk_based,,,,2.0,830.0
14993.617499999998,33.0,33.0,258558.2393625,51.7116478725,12927.911968125,250000.0,50.0,31.622654297414243,98.95787549999999,DTE1_p99_w25_neutral,500000,risk_based,,,,3.0,1245.0
1000.0,25.0,25.0,149.8961496740045,0.599584598696018,149.89614967400448,322.0665164049358,1.288266065619743,31.612228373236807,100.0,DTE1_p100_w25_neutral,25000,fixed,,,,,
