config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,filtered_by_loss_limit,avg_credit,avg_max_loss,avg_roi,median_roi,min_roi,max_roi,total_profit_potential,win_rate,sharpe_estimate,consistency_pct,avg_spreads_per_day,roi_score,sharpe_score,consistency_score,volume_score,composite_score
DTE2_p96_w50_neutral,2,96,50,neutral,17,17,16847,0,20.642850359114384,29.35714964088562,41769302652229.195,54.27337241592102,15.021854152288933,7.036874417766399e+17,173885.05000000002,96.0,0.00770439803976107,100.0,991.0,0.09853386359655404,0.0003156430579716323,1.0,0.045764346225427924,0.24371863226837243
DTE1_p98_w20_neutral,1,98,20,neutral,20,17,100995,0,10.267420169315312,9.732579830684688,22296151430754.375,94.93177387914227,15.008625646923509,5.629499534213119e+17,518479.05,98.0,0.006293417005552884,85.0,5940.882352941177,0.052596663202583216,0.00025783628759463604,0.85,0.27434974458580713,0.24334324010996422
DTE1_p99_w10_neutral,1,99,10,neutral,20,16,43179,0,5.377866323907456,4.622133676092544,65187933188175.68,110.5263157894737,15.074798619102406,5.629499534213119e+17,116105.445,99.0,0.011343586028326007,80.0,2698.6875,0.1537784571216005,0.00046473769447874275,0.8,0.11729439696490487,0.23739752380916085
DTE2_p95_w20_neutral,2,95,20,neutral,17,13,6260,0,10.874065495207667,9.125934504792333,89928107575935.84,122.46941045606226,15.008625646923516,5.629499534213119e+17,34035.825,95.0,0.012639003479229836,76.47058823529412,481.53846153846155,0.21214057508117382,0.0005178099167916207,0.7647058823529411,0.01700509333241401,0.23072084889467978
DTE1_p99_w50_neutral,1,99,50,neutral,20,15,117951,0,21.362447287432918,28.637552712567082,17897790823091.805,59.54052329291641,15.02185415228893,7.036874417766399e+17,1259861.01,99.0,0.005043284821548913,75.0,7863.4,0.04222092224822111,0.00020661936663710908,0.75,0.3204101858868314,0.22891101480590298
DTE1_p99_w100_neutral,1,99,100,neutral,20,15,131261,0,36.78194894142206,63.21805105857794,5360978827121.449,43.12294260770001,15.008625646923504,7.036874417766399e+17,2414017.7,99.0,0.0027601465767043303,75.0,8750.733333333334,0.012646559146407188,0.00011308100923974404,0.75,0.35656638273258706,0.22576784250006987
DTE2_p95_w100_neutral,2,95,100,neutral,17,16,30962,0,40.07664944125057,59.92335055874943,329.36414658812726,50.33072760072157,15.008625646923518,999899.9999994885,620426.61,95.0,0.050528806884396066,94.11764705882352,1935.125,7.769706419022043e-13,0.0020701250166902667,0.9411764705882352,0.08410730028086302,0.20557428542826417
DTE1_p99_w30_neutral,1,99,30,neutral,20,15,85332,0,14.071074743355364,15.928925256644636,474.61399545591104,73.11021350259665,15.030674846625757,299900.0000000597,600356.475,99.0,0.09548101758950887,75.0,5688.8,1.1196153088462543e-12,0.003911781324726369,0.75,0.23180169716318724,0.19733828476421095
DTE2_p95_w30_neutral,2,95,30,neutral,17,14,8657,0,15.413905509991913,14.586094490008085,32514147708843.688,99.07100199071002,15.030674846625763,2.814749767106559e+17,66719.09,95.0,0.010747718703135135,82.35294117647058,618.3571428571429,0.07670093566023259,0.0004403254842453191,0.8235294117647058,0.02351646852695017,0.19636458491047393
DTE1_p100_w10_neutral,1,100,10,neutral,20,13,16696,0,5.11449209391471,4.88550790608529,67435308268563.336,91.20458891013384,15.074798619102408,5.629499534213119e+17,42695.78,99.5,0.010945151741443613,65.0,1284.3076923076924,0.15908001916741535,0.0004484141587445732,0.65,0.04535415946932656,0.19486094214214683
DTE0_p99_w20_neutral,0,99,20,neutral,20,1,2,0,4.649999999999997,15.350000000000003,30.305602716468567,30.305602716468567,29.032258064516103,31.57894736842103,4.649999999999997,99.0,16.829141392239794,5.0,2.0,7.149097386514554e-14,0.6894765333604543,0.05,5.432937166905434e-06,0.18237021992757202
DTE0_p100_w20_neutral,0,100,20,neutral,20,1,2,0,4.649999999999997,15.350000000000003,30.305602716468567,30.305602716468567,29.032258064516103,31.57894736842103,4.649999999999997,99.5,16.829141392239794,5.0,2.0,7.149097386514554e-14,0.6894765333604543,0.05,5.432937166905434e-06,0.18237021992757202
DTE7_p98_w100_neutral,7,98,100,neutral,13,11,258,0,32.102868217054265,67.89713178294573,69.45053420120026,30.145630318119007,15.03508570113885,334.2162396873643,4141.27,98.0,0.8724984720190394,84.61538461538461,23.454545454545453,1.6383394093661412e-13,0.03574556822770374,0.8461538461538461,0.000700848894530801,0.17830733106665866
DTE1_p99_w20_neutral,1,99,20,neutral,20,14,68025,0,9.788803381109886,10.211196618890114,561.9011578511995,83.31805682859759,15.008625646923509,199900.0000001819,332941.675,99.0,0.11215236190431,70.0,4858.928571428572,1.3255258892741178e-12,0.004594793037369528,0.7,0.18478777538937108,0.17810625333768051
DTE2_p96_w100_neutral,2,96,100,neutral,17,14,21985,0,37.95097657493746,62.04902342506254,301.26240555502164,43.10246136233543,15.008625646923516,999899.9999994885,417176.11,96.0,0.04044462132657893,82.35294117647058,1570.357142857143,7.106785818973687e-13,0.0016569839574931897,0.8235294117647058,0.05972156180720798,0.1770644407040048
DTE1_p100_w50_neutral,1,100,50,neutral,20,15,48408,0,19.868877664848785,30.13112233515122,340.9559613391504,51.285930408472026,15.021854152288933,499900.0000004547,480906.315,99.5,0.05542190822154531,75.0,3227.2,8.043157547240215e-13,0.0022705914854594176,0.75,0.13149881118777912,0.1768674101092022
DTE5_p95_w50_neutral,5,95,50,neutral,15,13,992,0,20.694697580645162,29.305302419354838,185.41344208272446,57.75359282003399,15.207373271889402,13057.894736841772,10264.57,95.0,0.27738249679834803,86.66666666666667,76.3076923076923,4.3739065895493744e-13,0.01136414020477482,0.8666666666666667,0.0026947368347850953,0.17671331575163715
DTE5_p96_w50_neutral,5,96,50,neutral,15,13,739,0,21.46082543978349,28.539174560216505,207.3494906438597,59.89766549408378,15.207373271889402,13057.894736841772,7929.775000000001,96.0,0.2815338712011452,86.66666666666667,56.84615384615385,4.891378388101159e-13,0.011534218711170979,0.8666666666666667,0.0020074702831715577,0.1766183820679316
DTE5_p95_w100_neutral,5,95,100,neutral,15,13,823,0,35.83024301336574,64.16975698663425,211.50324397203727,44.82259232440261,15.048320294523702,26215.789473684526,14744.145000000002,95.0,0.17818096852795717,86.66666666666667,63.30769230769231,4.989365507316456e-13,0.007299932517538483,0.8666666666666667,0.002235653644181586,0.1756054471917289
DTE0_p100_w100_neutral,0,100,100,neutral,20,1,5,0,13.585999999999999,86.41400000000002,15.728483879772057,15.233924867480987,15.048320294523698,17.343346632245947,33.964999999999996,99.5,16.162840071430967,5.0,5.0,3.7103523084729976e-14,0.6621786983647487,0.05,1.3582342917263585e-05,0.17554739105978365
DTE7_p97_w100_neutral,7,97,100,neutral,13,11,444,0,34.156824324324326,65.84317567567568,84.30144567397737,34.88905927549464,15.008625646923521,1603.57751277683,7582.8150000000005,97.0,0.588087264016734,84.61538461538461,40.36363636363637,1.9886726906101898e-13,0.024093467317035096,0.8461538461538461,0.0012061120510530063,0.17549535847030823
DTE2_p97_w100_neutral,2,97,100,neutral,17,14,18688,0,36.58585348886986,63.41414651113014,289.0312831913023,39.120756816917094,15.008625646923516,999899.9999994885,341858.21499999997,97.0,0.03604661766833293,82.35294117647058,1334.857142857143,6.818253412135632e-13,0.0014768012467226742,0.8235294117647058,0.050765364887564376,0.17522815564237337
DTE1_p100_w100_neutral,1,100,100,neutral,20,15,45290,0,33.90109781408699,66.098902185913,288.77886744791687,36.6120218579235,15.008625646923516,499900.0000000995,767690.3599999999,99.5,0.057091097655281975,75.0,3019.3333333333335,6.812298919996886e-13,0.0023389768485311984,0.75,0.12302886214457355,0.17519051664128596
DTE7_p95_w100_neutral,7,95,100,neutral,13,11,608,0,34.59983552631579,65.40016447368421,85.42562288865668,37.22126994269904,15.008625646923521,2214.814814814811,10518.35,95.0,0.5461680125276457,84.61538461538461,55.27272727272727,2.0151920522695957e-13,0.02237606893501847,0.8461538461538461,0.0016516128987392519,0.17515510904434226
DTE7_p96_w100_neutral,7,96,100,neutral,13,11,505,0,34.84188118811881,65.1581188118812,89.61345788253394,34.916351861845655,15.008625646923521,2214.814814814811,8797.575,96.0,0.5349137419068941,84.61538461538461,45.90909090909091,2.1139831586204112e-13,0.021914990421727575,0.8461538461538461,0.001371816634643622,0.17498388016320385
DTE2_p98_w100_neutral,2,98,100,neutral,17,14,15466,0,36.66989525410579,63.33010474589421,307.50784547365316,38.927479855515415,15.008625646923516,999899.9999994885,283568.30000000005,98.0,0.03505828778236268,82.35294117647058,1104.7142857142858,7.254115864238417e-13,0.0014363101576223404,0.8235294117647058,0.04201290311167972,0.1734675405149366
DTE10_p95_w100_neutral,10,95,100,neutral,11,1,11,0,27.88545454545454,72.11454545454546,38.71153942095504,38.293458719402565,34.661998384056005,43.55440712029859,153.36999999999998,95.0,14.997350186603102,9.090909090909092,11.0,9.132059437706311e-14,0.6144295050619736,0.09090909090909091,2.9881154417979885e-05,0.17179517067822717
DTE2_p99_w100_neutral,2,99,100,neutral,17,14,10795,0,36.00488652153774,63.99511347846225,225.24896051714524,38.67702121758424,15.008625646923516,249899.99999987212,194336.37499999997,99.0,0.06924002019088744,82.35294117647058,771.0714285714286,5.313627219409052e-13,0.0028367085389771804,0.8235294117647058,0.02932427835837208,0.17127991515954585
DTE2_p100_w100_neutral,2,100,100,neutral,17,14,7597,0,34.71468474397789,65.28531525602212,229.40247352350235,36.14703880190605,15.008625646923516,249899.99999987212,131863.73,99.5,0.063653386027816,82.35294117647058,542.6428571428571,5.41160866942808e-13,0.002607828582113562,0.8235294117647058,0.02063701182849029,0.16948524186435704
DTE3_p95_w50_neutral,3,95,50,neutral,17,14,3432,0,20.17041375291375,29.82958624708625,245.57542993226417,55.400159152946216,15.021854152288933,49899.99999999929,34612.42999999999,95.0,0.15543116053858697,82.35294117647058,245.14285714285714,5.793129015602426e-13,0.006367890984251481,0.8235294117647058,0.009322920178409725,0.16816243913488874
DTE2_p95_w10_neutral,2,95,10,neutral,17,14,3130,0,5.421530351437699,4.578469648562301,597.4860718655053,110.5263157894737,15.074798619102413,99900.00000001989,8484.695,95.0,0.16896560286656387,82.35294117647058,223.57142857142858,1.409470768430332e-12,0.006922386318253696,0.8235294117647058,0.008502546666207004,0.1681369882662393
DTE3_p95_w100_neutral,3,95,100,neutral,17,14,4015,0,33.27961394769614,66.72038605230385,177.1504711614789,35.50135501355013,15.008625646923518,71328.57142857839,66808.825,95.0,0.09261284314063684,82.35294117647058,286.7857142857143,4.1789829499484986e-13,0.003794274499512267,0.8235294117647058,0.010906621362562659,0.16783577525047802
DTE3_p96_w50_neutral,3,96,50,neutral,17,14,3054,0,18.887586771447282,31.112413228552718,222.49277036886085,49.23148790184938,15.021854152288933,49899.99999999929,28841.344999999998,96.0,0.13881391090349268,82.35294117647058,218.14285714285714,5.248608641919651e-13,0.005687095487597492,0.8235294117647058,0.008296095053864598,0.1677868752357972
DTE3_p97_w50_neutral,3,97,50,neutral,17,14,2554,0,18.160438527799528,31.839561472200472,182.41144902177282,45.18003546878103,15.021854152288933,41566.66666666755,23190.879999999997,97.0,0.1502806416858267,82.35294117647058,182.42857142857142,4.3030895167223705e-13,0.0061568783246724055,0.8235294117647058,0.006937860762138239,0.16763267408668753
DTE5_p97_w50_neutral,5,97,50,neutral,15,12,657,0,20.890776255707763,29.10922374429224,196.06115914857466,57.38117721120555,15.207373271889402,13057.894736841772,6862.62,97.0,0.2658779297703594,80.0,54.75,4.625086435599591e-13,0.010892807246818436,0.8,0.0017847198593284352,0.16308014578373223
DTE5_p96_w100_neutral,5,96,100,neutral,15,12,743,0,34.470026917900405,65.5299730820996,204.5607608964784,39.29516645772392,15.035085701138847,26215.789473684526,12805.615,96.0,0.16993472722849787,80.0,61.916666666666664,4.825592200856432e-13,0.006962090572314425,0.8,0.002018336157505369,0.1621441898747486
DTE5_p97_w100_neutral,5,97,100,neutral,15,12,668,0,34.14251497005988,65.85748502994011,217.0133762761749,37.36276436223461,15.035085701138847,26215.789473684526,11403.6,97.0,0.171123932251113,80.0,55.666666666666664,5.119349632111484e-13,0.007010811355944278,0.8,0.001814601013746415,0.16211562304191457
DTE5_p98_w100_neutral,5,98,100,neutral,15,12,459,0,35.39124183006536,64.60875816993465,243.49206547491963,36.593361562628054,15.035085701138847,26215.789473684526,8122.29,98.0,0.16715771714217967,80.0,38.25,5.743982408829728e-13,0.006848318678502624,0.8,0.001246859079804797,0.1619614514857877
DTE7_p97_w50_neutral,7,97,50,neutral,13,10,183,0,17.26792349726776,32.732076502732234,95.02083080380592,41.3627367825841,15.048320294523698,1262.3978201634845,1580.0149999999999,97.0,0.5633546234875095,76.92307692307693,18.3,2.2415431876389658e-13,0.023080190712157132,0.7692307692307694,0.0004971137507718472,0.15971562427442598
DTE7_p96_w50_neutral,7,96,50,neutral,13,10,209,0,16.928995215311005,33.071004784688995,91.3215828302915,40.17381553125876,15.048320294523698,1262.3978201634845,1769.08,96.0,0.5252701349071177,76.92307692307693,20.9,2.15427785829724e-13,0.021519899515523504,0.7692307692307694,0.0005677419339416178,0.15933967711189848
DTE7_p95_w50_neutral,7,95,50,neutral,13,10,281,0,16.464483985765124,33.53551601423487,83.69429320956543,39.431121026213056,15.048320294523698,1497.444089456864,2313.2599999999998,95.0,0.48805748009298433,76.92307692307693,28.1,1.974349952543725e-13,0.019995326654651417,0.7692307692307694,0.0007633276719502135,0.1589976510442759
DTE2_p96_w10_neutral,2,96,10,neutral,17,13,2013,0,5.286661698956781,4.713338301043219,655.2593644084382,103.2520325203252,15.074798619102413,99900.00000001989,5321.025,96.0,0.15763092800372064,76.47058823529412,154.84615384615384,1.5457580743101045e-12,0.0064580137071349455,0.7647058823529411,0.005468251258490319,0.15564933014961105
DTE7_p98_w50_neutral,7,98,50,neutral,13,9,126,0,14.13579365079365,35.86420634920634,47.608043856006454,33.22735729532489,15.048320294523698,438.21313240043065,890.555,98.0,0.9282379986313587,69.23076923076923,14.0,1.1230746508898557e-13,0.038029172285931924,0.6923076923076923,0.00034227504151504234,0.14803728654136378
DTE0_p95_w100_neutral,0,95,100,neutral,20,11,213,0,18.255774647887325,81.74422535211266,22.662734278644255,21.256214380987025,15.035085701138847,50.738619234247814,1944.2400000000002,95.0,3.4200488204052863,55.00000000000001,19.363636363636363,5.346143283092869e-14,0.14011667913752762,0.55,0.0005786078082754288,0.14514489134605574
DTE3_p96_w100_neutral,3,96,100,neutral,17,12,2654,0,29.91771665410701,70.08228334589299,85.68429579540174,31.39741203814729,15.008625646923518,16566.66666666722,39700.810000000005,96.0,0.1879606564377578,70.58823529411765,221.16666666666666,2.021294151009801e-13,0.007700598550358538,0.7058823529411765,0.007209507620483511,0.1445435217499924
DTE2_p96_w20_neutral,2,96,20,neutral,17,12,3131,0,10.747547109549664,9.252452890450336,670.7917774439443,114.36227224008574,15.008625646923516,199900.00000003978,16825.285,96.0,0.1291717509088016,70.58823529411765,260.9166666666667,1.5823990659040646e-12,0.0052920638640405115,0.7058823529411765,0.008505263134790457,0.1442005391817574
DTE3_p97_w100_neutral,3,97,100,neutral,17,12,2204,0,29.409768602540833,70.59023139745916,84.91567735388132,30.52274414397268,15.008625646923518,16566.66666666722,32409.565,97.0,0.17371369445945686,70.58823529411765,183.66666666666666,2.003162427503393e-13,0.007116911853172271,0.7058823529411765,0.005987096757929788,0.14415311790318447
DTE3_p98_w50_neutral,3,98,50,neutral,17,12,2221,0,17.612435839711843,32.38756416028816,189.55543068856386,41.884222474460834,15.021854152288933,41566.66666666755,19558.61,98.0,0.14600575483874684,70.58823529411765,185.08333333333334,4.4716161787432174e-13,0.005981739611702061,0.7058823529411765,0.006033276723848484,0.14387856083608702
DTE3_p98_w100_neutral,3,98,100,neutral,17,12,1606,0,29.04046077210461,70.95953922789539,118.52949216072936,29.676462145622054,15.008625646923518,16566.66666666722,23319.49,98.0,0.16640354421889658,70.58823529411765,133.83333333333334,2.796112951651306e-13,0.006817420813865316,0.7058823529411765,0.0043626485450250635,0.1437533555008045
DTE2_p97_w10_neutral,2,97,10,neutral,17,12,1615,0,5.270557275541795,4.729442724458205,696.5841076742339,103.2520325203252,15.074798619102413,99900.00000001989,4255.974999999999,97.0,0.15283143670757665,70.58823529411765,134.58333333333334,1.6432432214770808e-12,0.006261382367268437,0.7058823529411765,0.004387096762276138,0.14361923553308278
DTE5_p100_w50_neutral,5,100,50,neutral,15,10,214,0,18.57228971962617,31.427710280373834,222.6380648056465,45.01171070500168,15.101289134438304,7042.857142857113,1987.2350000000001,99.5,0.29542918707483073,66.66666666666666,21.4,5.252036140418914e-13,0.012103498747225279,0.6666666666666665,0.0005813242768588814,0.13647547287569523
DTE5_p98_w50_neutral,5,98,50,neutral,15,10,562,0,20.674003558718862,29.325996441281138,206.60509438401283,57.554941917905616,15.207373271889402,13057.894736841772,5809.395,98.0,0.26101052614299836,66.66666666666666,56.2,4.873818066316466e-13,0.010693393592773883,0.6666666666666665,0.001526655343900427,0.13631201280047744
