dte,band,time_pst,time_et,spread_type,flow_mode,spread_width,n_trades,n_wins,win_rate_pct,avg_credit,avg_max_risk,avg_pnl,total_pnl,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days
1,P95,11:30,14:30,iron_condor,against_flow,150,60,57,95.0,2885.38,15747.17,1090.62,65437.0,445.25,-11891.0,20306.0,3472.19,0.314,1.0
1,P95,11:30,14:30,iron_condor,with_flow,150,60,57,95.0,2885.38,15747.17,1090.62,65437.0,445.25,-11891.0,20306.0,3472.19,0.314,1.0
1,P98,07:15,10:15,iron_condor,neutral,300,32,32,100.0,3988.91,26902.66,2043.69,65398.0,904.0,1.0,10183.0,2697.57,0.758,1.0
1,P99,09:00,12:00,put_spread,neutral,300,25,25,100.0,5229.92,26350.08,2614.96,65374.0,622.5,7.5,14727.5,3886.07,0.673,1.0
1,P99,07:00,10:00,iron_condor,neutral,150,75,71,94.7,3059.05,16178.4,871.24,65343.0,455.0,-15692.0,14547.5,4099.72,0.213,1.0
1,P98,07:15,10:15,iron_condor,against_flow,200,64,63,98.4,2598.92,20351.92,1020.46,65309.5,314.0,-18843.0,10125.0,3328.67,0.307,1.0
1,P98,07:15,10:15,iron_condor,with_flow,200,64,63,98.4,2598.92,20351.92,1020.46,65309.5,314.0,-18843.0,10125.0,3328.67,0.307,1.0
1,P97,11:30,14:30,iron_condor,against_flow,100,55,55,100.0,2428.76,10550.29,1185.08,65179.5,405.5,1.0,6632.5,1720.37,0.689,1.0
1,P97,11:30,14:30,iron_condor,with_flow,100,55,55,100.0,2428.76,10550.29,1185.08,65179.5,405.5,1.0,6632.5,1720.37,0.689,1.0
3,P99,09:00,12:00,iron_condor,neutral,100,65,59,90.8,3201.95,13665.68,1002.25,65146.0,211.0,-10982.0,21349.0,4101.61,0.244,2.6
1,P97,09:30,12:30,iron_condor,neutral,250,55,54,98.2,2918.82,24449.38,1184.46,65145.5,282.0,-14965.0,10319.5,3341.87,0.354,1.0
3,P99,10:00,13:00,iron_condor,neutral,50,58,52,89.7,4822.19,9636.9,1122.91,65128.5,299.0,-4929.0,15744.0,3003.93,0.374,2.5
5,P98,12:30,15:30,iron_condor,neutral,100,62,58,93.5,3396.0,12396.23,1049.98,65099.0,536.0,-12444.0,11677.5,2859.65,0.367,3.7
3,P100,07:15,10:15,iron_condor,neutral,250,46,43,93.5,21251.87,24576.0,1412.78,64988.0,263.75,-7118.0,26895.0,4794.12,0.295,2.7
1,P98,11:30,14:30,iron_condor,with_flow,50,61,59,96.7,2381.08,6464.48,1064.89,64958.5,274.0,-5459.0,14460.0,2473.08,0.431,1.0
1,P98,11:30,14:30,iron_condor,against_flow,50,61,59,96.7,2381.08,6464.48,1064.89,64958.5,274.0,-5459.0,14460.0,2473.08,0.431,1.0
3,P95,12:30,15:30,iron_condor,with_flow,150,61,56,91.8,3349.16,17031.87,1064.38,64927.0,426.5,-15633.0,14528.5,4126.78,0.258,2.9
3,P95,12:30,15:30,iron_condor,against_flow,150,61,56,91.8,3349.16,17031.87,1064.38,64927.0,426.5,-15633.0,14528.5,4126.78,0.258,2.9
1,P100,07:00,10:00,call_spread,neutral,250,47,45,95.7,4060.6,22684.09,1379.77,64849.0,514.5,-23275.0,12756.5,5204.1,0.265,1.0
3,P100,07:15,10:15,iron_condor,with_flow,100,55,53,96.4,17206.82,12610.96,1178.97,64843.5,153.0,-7173.0,26895.0,4021.54,0.293,2.8
3,P100,07:15,10:15,iron_condor,against_flow,100,55,53,96.4,17206.82,12610.96,1178.97,64843.5,153.0,-7173.0,26895.0,4021.54,0.293,2.8
1,P95,09:00,12:00,call_spread,neutral,250,49,46,93.9,4188.31,22179.04,1321.24,64741.0,720.0,-24743.0,13908.0,5797.48,0.228,1.0
1,P99,07:00,10:00,iron_condor,with_flow,50,60,56,93.3,2745.1,5766.33,1078.77,64726.0,451.5,-4945.0,11968.0,2552.54,0.423,1.0
1,P99,07:00,10:00,iron_condor,against_flow,50,60,56,93.3,2745.1,5766.33,1078.77,64726.0,451.5,-4945.0,11968.0,2552.54,0.423,1.0
5,P100,07:15,10:15,iron_condor,neutral,250,41,40,97.6,23879.66,24517.88,1575.72,64604.5,468.0,-3875.0,26900.0,4337.0,0.363,3.6
1,P99,10:30,13:30,iron_condor,with_flow,200,57,55,96.5,2671.4,20711.32,1133.04,64583.5,277.5,-1157.0,13048.0,2243.66,0.505,1.0
1,P99,10:30,13:30,iron_condor,against_flow,200,57,55,96.5,2671.4,20711.32,1133.04,64583.5,277.5,-1157.0,13048.0,2243.66,0.505,1.0
3,P100,06:30,09:30,iron_condor,neutral,250,61,59,96.7,2362.25,25411.89,1056.22,64429.5,211.0,-5802.0,10291.0,2343.79,0.451,2.9
1,P98,08:00,11:00,iron_condor,with_flow,50,64,61,95.3,3233.86,6818.16,1005.4,64345.5,220.5,-4970.0,17620.0,3326.91,0.302,1.0
1,P98,08:00,11:00,iron_condor,against_flow,50,64,61,95.3,3233.86,6818.16,1005.4,64345.5,220.5,-4970.0,17620.0,3326.91,0.302,1.0
3,P100,08:45,11:45,put_spread,neutral,300,31,30,96.8,5142.68,25550.87,2074.94,64323.0,1257.5,-13905.0,14100.5,4549.31,0.456,2.9
3,P99,10:00,13:00,iron_condor,against_flow,50,53,47,88.7,5257.6,9525.98,1213.34,64307.0,317.5,-4929.0,15744.0,3128.85,0.388,2.5
3,P99,10:00,13:00,iron_condor,with_flow,50,53,47,88.7,5257.6,9525.98,1213.34,64307.0,317.5,-4929.0,15744.0,3128.85,0.388,2.5
1,P99,11:00,14:00,iron_condor,neutral,150,74,72,97.3,2426.95,16666.81,867.63,64204.5,329.0,-16985.0,18382.5,3160.59,0.275,1.0
1,P97,09:30,12:30,iron_condor,with_flow,250,53,52,98.1,2992.38,24440.4,1210.87,64176.0,282.0,-14965.0,10319.5,3402.08,0.356,1.0
1,P97,09:30,12:30,iron_condor,against_flow,250,53,52,98.1,2992.38,24440.4,1210.87,64176.0,282.0,-14965.0,10319.5,3402.08,0.356,1.0
1,P98,08:45,11:45,iron_condor,against_flow,100,59,55,93.2,3398.47,10822.71,1086.67,64113.5,229.0,-9938.0,15309.5,4094.89,0.265,1.0
1,P98,08:45,11:45,iron_condor,with_flow,100,59,55,93.2,3398.47,10822.71,1086.67,64113.5,229.0,-9938.0,15309.5,4094.89,0.265,1.0
3,P98,10:00,13:00,iron_condor,against_flow,50,59,54,91.5,4795.24,8651.78,1085.58,64049.0,315.0,-4929.0,15744.0,2976.91,0.365,2.5
3,P98,10:00,13:00,iron_condor,with_flow,50,59,54,91.5,4795.24,8651.78,1085.58,64049.0,315.0,-4929.0,15744.0,2976.91,0.365,2.5
3,P95,08:15,11:15,iron_condor,neutral,50,58,54,93.1,2689.88,8036.59,1103.3,63991.5,135.25,-4717.0,17945.0,3720.6,0.297,2.9
1,P99,08:15,11:15,iron_condor,neutral,200,56,53,94.6,3636.88,20640.71,1142.21,63964.0,440.75,-12186.0,13078.0,3673.8,0.311,1.0
3,P97,12:30,15:30,iron_condor,against_flow,200,52,49,94.2,3222.67,20541.27,1229.02,63909.0,463.75,-3628.0,7883.0,2109.02,0.583,2.9
3,P97,12:30,15:30,iron_condor,with_flow,200,52,49,94.2,3222.67,20541.27,1229.02,63909.0,463.75,-3628.0,7883.0,2109.02,0.583,2.9
1,P97,08:45,11:45,iron_condor,with_flow,50,62,61,98.4,2221.44,6963.5,1030.63,63899.0,192.75,-4931.0,13115.0,2345.91,0.439,1.0
1,P97,08:45,11:45,iron_condor,against_flow,50,62,61,98.4,2221.44,6963.5,1030.63,63899.0,192.75,-4931.0,13115.0,2345.91,0.439,1.0
5,P99,07:15,10:15,iron_condor,with_flow,150,50,47,94.0,2957.86,17935.58,1277.83,63891.5,321.25,-9745.0,26895.0,4543.88,0.281,3.7
5,P99,07:15,10:15,iron_condor,against_flow,150,50,47,94.0,2957.86,17935.58,1277.83,63891.5,321.25,-9745.0,26895.0,4543.88,0.281,3.7
10,P100,07:15,10:15,iron_condor,neutral,100,56,48,85.7,30011.66,12574.52,1139.12,63790.5,318.5,-9980.0,26895.0,5184.07,0.22,6.3
