timestamp,ticker,type,strike,expiration,bid,ask,day_close,vwap,fmv,delta,gamma,theta,vega,implied_volatility,volume
2025-10-02T13:30:00+00:00,O:NDXP251002P19300000,put,19300,2025-10-02,0.05,0.05,0.05,0.05,,,,,,,1
2025-10-02T13:30:00+00:00,O:NDXP251002P22700000,put,22700,2025-10-02,0.1,0.13,0.13,0.115,,,,,,,2
2025-10-02T13:30:00+00:00,O:NDXP251002P23100000,put,23100,2025-10-02,0.05,0.05,0.05,0.05,,,,,,,1
2025-10-02T13:30:00+00:00,O:NDXP251002C23520000,call,23520,2025-10-02,1400.66,1400.66,1400.66,1400.66,,,,,,,2
2025-10-02T13:30:00+00:00,O:NDXP251002C23530000,call,23530,2025-10-02,1390.6,1390.6,1390.6,1390.6,,,,,,,2
2025-10-02T13:30:00+00:00,O:NDXP251002P23800000,put,23800,2025-10-02,0.37,0.38,0.37,0.375,,,,,,,2
2025-10-02T13:30:00+00:00,O:NDXP251002P23830000,put,23830,2025-10-02,0.35,0.35,0.35,0.35,,,,,,,1
2025-10-02T13:30:00+00:00,O:NDXP251002P23980000,put,23980,2025-10-02,0.3,0.34,0.34,0.32,,,,,,,6
2025-10-02T13:30:00+00:00,O:NDXP251002P23990000,put,23990,2025-10-02,0.52,0.52,0.52,0.52,,,,,,,1
2025-10-02T13:30:00+00:00,O:NDXP251002C24000000,call,24000,2025-10-02,908.46,908.46,908.46,908.46,,,,,,,1
2025-10-02T13:30:00+00:00,O:NDXP251002P24000000,put,24000,2025-10-02,0.32,0.5,0.5,0.3892,,,,,,,26
2025-10-02T13:30:00+00:00,O:NDXP251002P24070000,put,24070,2025-10-02,0.61,0.61,0.61,0.61,,,,,,,2
2025-10-02T13:30:00+00:00,O:NDXP251002P24100000,put,24100,2025-10-02,0.5,0.65,0.65,0.6333,,,,,,,18
2025-10-02T13:30:00+00:00,O:NDXP251002P24110000,put,24110,2025-10-02,0.62,0.67,0.62,0.645,,,,,,,2
2025-10-02T13:30:00+00:00,O:NDXP251002P24140000,put,24140,2025-10-02,0.68,0.68,0.68,0.68,,,,,,,1
2025-10-02T13:30:00+00:00,O:NDXP251002P24170000,put,24170,2025-10-02,0.8,0.8,0.8,0.8,,,,,,,3
2025-10-02T13:30:00+00:00,O:NDXP251002P24200000,put,24200,2025-10-02,0.75,0.75,0.75,0.75,,,,,,,1
2025-10-02T13:30:00+00:00,O:NDXP251002P24210000,put,24210,2025-10-02,0.92,0.92,0.92,0.92,,,,,,,5
2025-10-02T13:30:00+00:00,O:NDXP251002P24260000,put,24260,2025-10-02,0.95,0.95,0.95,0.95,,,,,,,1
2025-10-02T13:30:00+00:00,O:NDXP251002P24280000,put,24280,2025-10-02,0.98,1.0,1.0,0.9812,,,,,,,17
2025-10-02T13:30:00+00:00,O:NDXP251002P24290000,put,24290,2025-10-02,1.08,1.17,1.08,1.1475,,,,,,,4
2025-10-02T13:30:00+00:00,O:NDXP251002P24300000,put,24300,2025-10-02,1.05,1.45,1.05,1.1374,,,,,,,23
2025-10-02T13:30:00+00:00,O:NDXP251002P24310000,put,24310,2025-10-02,1.13,1.13,1.13,1.13,,,,,,,16
2025-10-02T13:30:00+00:00,O:NDXP251002P24330000,put,24330,2025-10-02,1.29,1.29,1.29,1.29,,,,,,,6
2025-10-02T13:30:00+00:00,O:NDXP251002P24340000,put,24340,2025-10-02,1.22,1.35,1.25,1.259,,,,,,,10
2025-10-02T13:30:00+00:00,O:NDXP251002P24350000,put,24350,2025-10-02,1.28,1.38,1.37,1.34,,,,,,,15
2025-10-02T13:30:00+00:00,O:NDXP251002P24370000,put,24370,2025-10-02,1.35,1.35,1.35,1.35,,,,,,,2
2025-10-02T13:30:00+00:00,O:NDXP251002P24400000,put,24400,2025-10-02,1.48,1.57,1.56,1.5382,,,,,,,11
2025-10-02T13:30:00+00:00,O:NDXP251002P24430000,put,24430,2025-10-02,1.8,1.82,1.8,1.8025,,,,,,,8
2025-10-02T13:30:00+00:00,O:NDXP251002P24440000,put,24440,2025-10-02,1.78,1.8,1.78,1.79,,,,,,,2
2025-10-02T13:30:00+00:00,O:NDXP251002P24450000,put,24450,2025-10-02,1.85,1.85,1.85,1.85,,,,,,,10
2025-10-02T13:30:00+00:00,O:NDXP251002P24480000,put,24480,2025-10-02,2.15,2.17,2.17,2.166,,,,,,,5
2025-10-02T13:30:00+00:00,O:NDXP251002P24490000,put,24490,2025-10-02,2.25,2.28,2.28,2.274,,,,,,,5
2025-10-02T13:30:00+00:00,O:NDXP251002P24500000,put,24500,2025-10-02,2.25,2.51,2.51,2.4514,,,,,,,52
2025-10-02T13:30:00+00:00,O:NDXP251002P24510000,put,24510,2025-10-02,2.47,2.47,2.47,2.47,,,,,,,1
2025-10-02T13:30:00+00:00,O:NDXP251002P24520000,put,24520,2025-10-02,2.65,2.65,2.65,2.65,,,,,,,1
2025-10-02T13:30:00+00:00,O:NDXP251002P24530000,put,24530,2025-10-02,2.75,2.77,2.77,2.7633,,,,,,,3
2025-10-02T13:30:00+00:00,O:NDXP251002P24550000,put,24550,2025-10-02,2.9,3.05,3.05,2.9571,,,,,,,7
2025-10-02T13:30:00+00:00,O:NDXP251002P24560000,put,24560,2025-10-02,2.9,3.18,2.9,3.0475,,,,,,,8
2025-10-02T13:30:00+00:00,O:NDXP251002P24570000,put,24570,2025-10-02,3.0,3.37,3.32,3.307,,,,,,,10
