timestamp,ticker,type,strike,expiration,bid,ask,day_close,fmv,delta,gamma,theta,vega,implied_volatility,volume
2026-01-22T06:01:00.209129,O:NDXP260122C24390000,call,24390,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24550000,call,24550,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24580000,call,24580,2026-01-22,0,0,758,,,,,,,12
2026-01-22T06:01:00.209129,O:NDXP260122C24440000,call,24440,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24560000,call,24560,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24470000,call,24470,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24450000,call,24450,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24570000,call,24570,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24430000,call,24430,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24590000,call,24590,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24600000,call,24600,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24610000,call,24610,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24620000,call,24620,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24630000,call,24630,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24650000,call,24650,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24640000,call,24640,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24660000,call,24660,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24670000,call,24670,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24730000,call,24730,2026-01-22,0,0,369.25,,,,,,,1
2026-01-22T06:01:00.209129,O:NDXP260122C24680000,call,24680,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24710000,call,24710,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24700000,call,24700,2026-01-22,0,0,395.08,,,,,,,1
2026-01-22T06:01:00.209129,O:NDXP260122C24840000,call,24840,2026-01-22,0,0,255,,,,,,,2
2026-01-22T06:01:00.209129,O:NDXP260122C24770000,call,24770,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24690000,call,24690,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24760000,call,24760,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24720000,call,24720,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24820000,call,24820,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24890000,call,24890,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24830000,call,24830,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24780000,call,24780,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24880000,call,24880,2026-01-22,0,0,268.05,,,,,,,1
2026-01-22T06:01:00.209129,O:NDXP260122C24850000,call,24850,2026-01-22,0,0,270.35,,,,,,,2
2026-01-22T06:01:00.209129,O:NDXP260122C24860000,call,24860,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24800000,call,24800,2026-01-22,0,0,740,,,,,,,2
2026-01-22T06:01:00.209129,O:NDXP260122C24810000,call,24810,2026-01-22,0,0,301.93,,,,,,,1
2026-01-22T06:01:00.209129,O:NDXP260122C24870000,call,24870,2026-01-22,0,0,276.05,,,,,,,1
2026-01-22T06:01:00.209129,O:NDXP260122C24790000,call,24790,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24750000,call,24750,2026-01-22,0,0,786.6,,,,,,,2
2026-01-22T06:01:00.209129,O:NDXP260122C24740000,call,24740,2026-01-22,0,0,,,,,,,,
2026-01-22T06:01:00.209129,O:NDXP260122C24900000,call,24900,2026-01-22,0,0,241.75,,,,,,,2
2026-01-22T06:01:00.209129,O:NDXP260122C24920000,call,24920,2026-01-22,0,0,227.5,,,,,,,3
2026-01-22T06:01:00.209129,O:NDXP260122C24910000,call,24910,2026-01-22,0,0,205.8,,,,,,,4
2026-01-22T06:01:00.209129,O:NDXP260122C24940000,call,24940,2026-01-22,0,0,177.6,,,,,,,3
2026-01-22T06:01:00.209129,O:NDXP260122C24950000,call,24950,2026-01-22,0,0,402.62,,,,,,,2
2026-01-22T06:01:00.209129,O:NDXP260122C24960000,call,24960,2026-01-22,0,0,369.45,,,,,,,1
2026-01-22T06:01:00.209129,O:NDXP260122C24970000,call,24970,2026-01-22,0,0,182.4,,,,,,,2
2026-01-22T06:01:00.209129,O:NDXP260122C25010000,call,25010,2026-01-22,0,0,146,,,,,,,7
2026-01-22T06:01:00.209129,O:NDXP260122C24930000,call,24930,2026-01-22,0,0,231,,,,,,,7
2026-01-22T06:01:00.209129,O:NDXP260122C25000000,call,25000,2026-01-22,0,0,483.9,,,,,,,15
2026-01-22T06:01:00.209129,O:NDXP260122C25020000,call,25020,2026-01-22,0,0,147,,,,,,,4
2026-01-22T06:01:00.209129,O:NDXP260122C24990000,call,24990,2026-01-22,0,0,380,,,,,,,52
2026-01-22T06:01:00.209129,O:NDXP260122C25050000,call,25050,2026-01-22,0,0,177.3,,,,,,,91
2026-01-22T06:01:00.209129,O:NDXP260122C25060000,call,25060,2026-01-22,0,0,124,,,,,,,10
2026-01-22T06:01:00.209129,O:NDXP260122C25080000,call,25080,2026-01-22,0,0,134.08,,,,,,,17
2026-01-22T06:01:00.209129,O:NDXP260122C25070000,call,25070,2026-01-22,0,0,270,,,,,,,32
2026-01-22T06:01:00.209129,O:NDXP260122C25040000,call,25040,2026-01-22,0,0,132.2,,,,,,,5
2026-01-22T06:01:00.209129,O:NDXP260122C25110000,call,25110,2026-01-22,0,0,265.73,,,,,,,55
2026-01-22T06:01:00.209129,O:NDXP260122C25120000,call,25120,2026-01-22,0,0,276.4,,,,,,,32
2026-01-22T06:01:00.209129,O:NDXP260122C25090000,call,25090,2026-01-22,0,0,131.7,,,,,,,54
2026-01-22T06:01:00.209129,O:NDXP260122C25130000,call,25130,2026-01-22,0,0,102.7,,,,,,,12
2026-01-22T06:01:00.209129,O:NDXP260122C25030000,call,25030,2026-01-22,0,0,129.8,,,,,,,8
2026-01-22T06:01:00.209129,O:NDXP260122C24980000,call,24980,2026-01-22,0,0,180,,,,,,,8
2026-01-22T06:01:00.209129,O:NDXP260122C25160000,call,25160,2026-01-22,0,0,214.92,,,,,,,22
2026-01-22T06:01:00.209129,O:NDXP260122C25100000,call,25100,2026-01-22,0,0,293.6,,,,,,,149
2026-01-22T06:01:00.209129,O:NDXP260122C25140000,call,25140,2026-01-22,0,0,230.12,,,,,,,39
2026-01-22T06:01:00.209129,O:NDXP260122C25150000,call,25150,2026-01-22,0,0,215.98,,,,,,,78
2026-01-22T06:01:00.209129,O:NDXP260122C25170000,call,25170,2026-01-22,0,0,186,,,,,,,20
2026-01-22T06:01:00.209129,O:NDXP260122C25180000,call,25180,2026-01-22,0,0,198.15,,,,,,,54
2026-01-22T06:01:00.209129,O:NDXP260122C25190000,call,25190,2026-01-22,0,0,191.75,,,,,,,16
2026-01-22T06:01:00.209129,O:NDXP260122C25200000,call,25200,2026-01-22,0,0,184.2,,,,,,,74
2026-01-22T06:01:00.209129,O:NDXP260122C25210000,call,25210,2026-01-22,0,0,179.3,,,,,,,27
2026-01-22T06:01:00.209129,O:NDXP260122C25220000,call,25220,2026-01-22,0,0,176.07,,,,,,,21
2026-01-22T06:01:00.209129,O:NDXP260122C25230000,call,25230,2026-01-22,0,0,169.03,,,,,,,23
2026-01-22T06:01:00.209129,O:NDXP260122C25240000,call,25240,2026-01-22,0,0,163.49,,,,,,,44
2026-01-22T06:01:00.209129,O:NDXP260122C25260000,call,25260,2026-01-22,0,0,255,,,,,,,27
2026-01-22T06:01:00.209129,O:NDXP260122C25250000,call,25250,2026-01-22,0,0,151.15,,,,,,,91
