date,dte,method,p95_lo,p95_hi,p97_lo,p97_hi,p98_lo,p98_hi,p99_lo,p99_hi,actual_close,actual_return_pct,p95_hit,p97_hit,p98_hit,p99_hit,p95_width_pct,p97_width_pct,p98_width_pct,p99_width_pct,midpoint,midpoint_error_pct,vix,position_vs_sma20,return_5d,vol_regime
2025-12-09,1,baseline,6681.080256266935,6965.439145033909,6650.735881134722,6981.922751336464,6620.920228382429,6999.415732711083,6532.567128812351,7050.757494588138,6886.68,0.6749496748049498,True,True,True,True,4.156983744881213,4.841552314107308,5.533147445565528,7.5753177142608745,6816.329316235593,1.0284420864000963,16.93,1.1298421449814515,-0.13445805084003487,medium
2025-12-09,1,conditional,6760.450402773287,6911.756857995445,6723.938952191891,6916.563644716069,6716.621483641144,6918.073098455438,6655.972644745042,6924.483084216499,6886.68,0.6749496748049498,True,True,True,True,2.2119177549942566,2.815940515022675,2.9449794651903844,3.9252985445742667,6820.25129845398,0.9711074400303548,16.93,1.1298421449814515,-0.13445805084003487,medium
2025-12-09,1,ensemble,6567.177018760305,7165.885010521433,6531.963890089164,7187.481414448072,6508.184516273389,7208.745970842403,6484.808766471138,7245.9722827181395,6886.68,0.6749496748049498,True,True,True,True,8.752388224871071,9.582875024799442,10.241362918393717,11.127291916055983,6859.722652268618,0.39408388747889367,16.93,1.1298421449814515,-0.13445805084003487,medium
2025-12-09,1,ensemble_combined,6567.177018760305,7165.885010521433,6531.963890089164,7187.481414448072,6508.184516273389,7208.745970842403,6484.808766471138,7245.9722827181395,6886.68,0.6749496748049498,True,True,True,True,8.752388224871071,9.582875024799442,10.241362918393717,11.127291916055983,6859.722652268618,0.39408388747889367,16.93,1.1298421449814515,-0.13445805084003487,medium
2025-12-09,2,baseline,6636.985524047299,7030.7455483316735,6611.128751196641,7100.420965562875,6578.918710515647,7121.9388659646465,6450.229198649155,7206.918332080421,6900.999999999999,0.8842907911836818,True,True,True,True,5.756296303702131,7.152861619473308,7.938299270799977,11.061881839676673,6855.774858379758,0.6611369856961062,16.93,1.1298421449814515,-0.13445805084003487,medium
2025-12-09,2,conditional,6707.567942110606,6932.675699594041,6690.563608245089,6940.462888579395,6638.324027183141,6942.77261448041,6633.075783986367,6969.033067309782,6900.999999999999,0.8842907911836818,True,True,True,True,3.2908037190711705,3.6532258608540333,4.450670889996054,4.911289996263657,6815.513248412242,1.2497131293976147,16.93,1.1298421449814515,-0.13445805084003487,medium
2025-12-09,2,ensemble,6568.829822429165,7206.726877553837,6536.991960841866,7236.835927976604,6525.1489198980735,7252.628465058495,6483.546099842017,7285.622559693048,6900.999999999999,0.8842907911836818,True,True,True,True,9.325285031739915,10.23087411808093,10.634872913867845,11.725389771391773,6886.913944409234,0.205921131476524,16.93,1.1298421449814515,-0.13445805084003487,medium
2025-12-09,2,ensemble_combined,6568.829822429165,7206.726877553837,6536.991960841866,7236.835927976604,6525.1489198980735,7252.628465058495,6483.546099842017,7285.622559693048,6900.999999999999,0.8842907911836818,True,True,True,True,9.325285031739915,10.23087411808093,10.634872913867845,11.725389771391773,6886.913944409234,0.205921131476524,16.93,1.1298421449814515,-0.13445805084003487,medium
2025-12-09,3,baseline,6607.69807068157,7107.062444783045,6564.15932838282,7128.595865400821,6424.946192538644,7211.896826783846,6199.516666656528,7336.262485651752,6827.41,-0.19150618886604015,True,True,True,True,7.300104438140941,8.251380920691604,11.50426845725249,16.61785187062403,6846.37759689182,0.27728337348852633,16.93,1.1298421449814515,-0.13445805084003487,medium
2025-12-09,3,conditional,6675.390482531324,6955.088473919767,6661.414437557226,6971.81739345544,6659.131712550182,6979.503942547848,6609.511538705689,6995.036209385092,6827.41,-0.19150618886604015,True,True,True,True,4.088847050708842,4.537716572276245,4.683455327127161,5.635905373713397,6816.615915506332,0.1577964873038336,16.93,1.1298421449814515,-0.13445805084003487,medium
2025-12-09,3,ensemble,6551.266990339431,7207.903563417993,6512.3681554109635,7247.188813362556,6462.507619290103,7265.778148811591,6431.6070822276815,7327.854212568248,6827.41,-0.19150618886604015,True,True,True,True,9.599234166437325,10.742191122468832,11.742845628783341,13.102051314018492,6879.778484386759,0.7655640352365469,16.93,1.1298421449814515,-0.13445805084003487,medium
2025-12-09,3,ensemble_combined,6551.266990339431,7207.903563417993,6512.3681554109635,7247.188813362556,6462.507619290103,7265.778148811591,6431.6070822276815,7327.854212568248,6827.41,-0.19150618886604015,True,True,True,True,9.599234166437325,10.742191122468832,11.742845628783341,13.102051314018492,6879.778484386759,0.7655640352365469,16.93,1.1298421449814515,-0.13445805084003487,medium
2025-12-09,4,baseline,6595.739102495141,7129.320567373433,6526.129709693243,7151.43987373255,6350.9829756076115,7200.781355245594,6156.56349711407,7307.660757307699,6816.51,-0.3508510330370104,True,True,True,True,7.800317006747911,9.141279875905553,12.423026640381817,16.827652619375296,6838.784791712897,0.32563057013141317,16.93,1.1298421449814515,-0.13445805084003487,medium
2025-12-09,4,conditional,6660.455373636494,6976.336523387353,6645.565988170952,6994.403899093279,6630.655392875356,6997.322801905114,6619.326845550944,7008.258744979568,6816.51,-0.3508510330370104,True,True,True,True,4.617801154458639,5.099589225398793,5.3602349682956145,5.685714945649142,6819.984943632115,0.05079948179469726,16.93,1.1298421449814515,-0.13445805084003487,medium
